row	case	parameter	cell	kind	left_fold	right_fold	a	b	nr	subdivisions	angular	mu0_grad	muhalf_grad	accepted_nodes	rejected_nodes	mu0_partial_sum	muhalf_partial_sum
17	caustic-cross	a	1	arcs	1	1	0.55440951894073376	0.56266096077992589	512	1	128	0.31173977946356807	0.31172899854363989	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	2	empty	1	0	0.56266096077992589	0.67004418472761151	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	3	empty	0	0	0.67004418472761151	0.81649658092772603	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	4	empty	0	0	0.81649658092772603	0.83746378957463308	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	5	arcs	0	0	0.83746378957463308	0.84972672439230301	512	1	128	44.552882970547429	49.393931869364835	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	6	arcs	0	0	0.84972672439230301	0.85720378575239498	512	1	128	16.067805719503461	9.2974873377749336	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	7	arcs	0	1	0.85720378575239498	0.88965961535403337	512	1	128	-62.411503705959774	-60.748959933867269	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	8	empty	1	0	0.88965961535403337	1	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	9	empty	0	0	1	1.2330836802811773	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	10	empty	0	0	1.2330836802811773	1.2990013190433436	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	11	empty	0	1	1.2990013190433436	1.4027942668116613	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	12	arcs	1	1	1.4027942668116613	1.4148028287947072	512	1	128	-0.86142223941237361	-0.8613651329915839	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	13	empty	1	0	1.4148028287947072	1.6585311203645845	512	1	128	0	0	2560	0	-2.340497475857692	-2.6071768611754456
17	caustic-cross	a	0	empty	0	1	0	0.55440951894073376	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	1	arcs	1	1	0.55440951894073376	0.56266096077992589	1024	1	128	0.31173977293051036	0.31172899462380488	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	2	empty	1	0	0.56266096077992589	0.67004418472761151	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	3	empty	0	0	0.67004418472761151	0.81649658092772603	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	4	empty	0	0	0.81649658092772603	0.83746378957463308	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	5	arcs	0	0	0.83746378957463308	0.84972672439230301	1024	1	128	44.569584651450093	49.403952877906434	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	6	arcs	0	0	0.84972672439230301	0.85720378575239498	1024	1	128	16.067805719503461	9.2974873377749621	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	7	arcs	0	1	0.85720378575239498	0.88965961535403337	1024	1	128	-62.46028562473434	-60.778341126263307	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	8	empty	1	0	0.88965961535403337	1	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	9	empty	0	0	1	1.2330836802811773	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	10	empty	0	0	1.2330836802811773	1.2990013190433436	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	11	empty	0	1	1.2990013190433436	1.4027942668116613	1024	1	128	0	0	5120	0	-2.3725775830321694	-2.6265369666114027
17	caustic-cross	a	12	arcs	1	1	1.4027942668116613	1.4148028287947072	1024	1	128	-0.86142210218189608	-0.86136505065329816	5120	0	-2.3725775830321694	-2.6265369666114027
