row	case	parameter	cell	a	b	h_scale	nr	subdivisions	angular	fd_mu0	fd_muhalf	spread_mu0_by_offset	spread_muhalf_by_offset	fail_count	fd_mu0_m2	fd_mu0_m1	fd_mu0_p1	fd_mu0_p2	fd_muhalf_m2	fd_muhalf_m1	fd_muhalf_p1	fd_muhalf_p2
99	rand035	X	8	1.04569464696713	1.1271804457293775	0.001	48	2	128	8.4933624919922703	8.442056351133246	0.0025478302111103801	0.0025364559998424241	0	3.6523842097831105	3.6530584217088471	3.6543363436852259	3.6549320399942209	3.6450945482943595	3.6457517799508437	3.6470224844099621	3.647631004294202
99	rand035	X	11	3.0353038119173275	3.0353038123352656	0.001	48	2	128	1.0946113927655337e-17	1.099622350344398e-17	3.2672285522925692e-21	3.2923483093730234e-21	0	7.6975430052353061e-18	7.6986222389307072e-18	7.7002671580239676e-18	7.7008102337875987e-18	7.6967812245990587e-18	7.6977687109817227e-18	7.6994224306168344e-18	7.7000735729084317e-18
99	rand035	X	2	0.88716938242769516	0.88723369079252823	0.001	64	4	256	-0.38256711313322195	-0.24203624833693199	0.0001025777322114807	6.5023700861363104e-05	0	0.0001446906213669188	0.0001253462344901451	6.9307751663811562e-05	4.2112889155438092e-05	9.0984319970381823e-05	7.8400287139982562e-05	4.293097028810996e-05	2.5960619109018726e-05
99	rand035	X	3	0.88723369079252823	0.95630209345982764	0.001	64	4	256	8.8492594037865651	8.6679767798074963	0.0026425665377711738	0.0025966710721476716	0	2.652256767128057	2.6529373720675911	2.6542673395816201	2.6548993336658282	2.6450142179866498	2.6456760637767598	2.6469798159686069	2.6476108890587975
99	rand035	X	8	1.04569464696713	1.1271804457293775	0.001	64	4	256	8.4813647048944052	8.4348576788707916	0.0025470974751051756	0.0025360163582397455	0	3.6523832160303296	3.6530562601383609	3.6543327352061308	3.6549303135054347	3.645093952042691	3.6457504830085528	3.6470203193225053	3.6476299684009308
99	rand035	X	11	3.0353038119173275	3.0353038123352656	0.001	64	4	256	1.0936129440857046e-17	1.098556835927272e-17	3.267197665101723e-21	3.2918392289101729e-21	0	7.6975431345968943e-18	7.6986197331136874e-18	7.7002635204596583e-18	7.700810332261996e-18	7.6967820247150877e-18	7.6977672985927734e-18	7.6994197509463758e-18	7.7000738639439979e-18
99	rand035	X	2	0.88716938242769516	0.88723369079252823	0.00050000000000000001	32	1	64	-0.40003411047706861	-0.25275521690134256	5.6038482826323201e-05	3.5469316851866043e-05	0	0.00012534623449014332	0.00011411205608378011	8.4512542665409767e-05	6.9307751663820114e-05	7.8400287139981478e-05	7.1171173103640783e-05	5.2461403223972127e-05	4.2930970288115435e-05
99	rand035	X	3	0.88723369079252823	0.95630209345982764	0.00050000000000000001	32	1	64	8.988063548928146	8.7517166637852526	0.0013323943537071337	0.0013052082956535038	0	2.6529500399501273	2.6532901947122345	2.6539644072824018	2.6542824343038345	2.645683664506282	2.6460143753346523	2.6466718403167175	2.6469888728019355
99	rand035	X	8	1.04569464696713	1.1271804457293775	0.00050000000000000001	32	1	64	9.0006471202032845	8.7465885967374497	0.0013047718252954255	0.001286814368466338	0	3.6531028353333412	3.6534423558029778	3.6541138263016251	3.6544076071586367	3.645778428125543	3.6461083194905548	3.6467631955885409	3.6470652424940093
99	rand035	X	11	3.0353038119173275	3.0353038123352656	0.00050000000000000001	32	1	64	1.0909010375592968e-17	1.0962615432006641e-17	1.6402917459513881e-21	1.6512225343547336e-21	0	7.6987072430428959e-18	7.6992413495767705e-18	7.7000625481264842e-18	7.7003475347888473e-18	7.697819074952387e-18	7.6983089876018171e-18	7.6991345802177203e-18	7.6994702974867418e-18
