max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	relative_error
0	0.01	budget	caustic-cross	0.5	0	64	0.001	3	2651	1	33.28933563882105	77.73421255098614	15.383128953052578	2	0	0	Converged	2	15.326857782568554	0.0562574162391091	9.38802722847426e-10	77.45309452467096	0.003629526076916657
0	0.001	budget	caustic-cross	0.5	0	8	0.001	3	361	1	33.28933563882105	84.19172584582064	99.23808656691	2	0	0	Converged	2	99.23582107096509	0.0022517424357517	2.0307602540746127e-10	77.45309452467096	0.08700273839934493
0	0.001	budget	caustic-cross	0.5	0	32	0.001	3	1363	1	33.28933563882105	84.08964697064262	44.6042892671707	2	0	0	Converged	2	44.54802006379365	0.0562554494822935	5.886409569031701e-10	77.45309452467096	0.08568479396078531
0	0.001	budget	caustic-cross	0.5	0	64	0.001	3	2651	1	33.28933563882105	77.73421255098614	15.383128953052578	2	0	0	Converged	2	15.326857782568554	0.0562574162391091	9.38802722847426e-10	77.45309452467096	0.003629526076916657
4	0.01	budget	caustic-cross	0.5	0	8	0.001	3	165	1	33.28933563882105	90.2621585543105	122.660301733678	2	0	0	Converged	2	122.65804040262142	0.0022474915655307	1.6277250072725362e-10	77.45309452467096	0.16537833779590952
4	0.01	budget	caustic-cross	0.5	0	32	0.001	3	343	1	33.28933563882105	77.0276824968915	29.890989706031316	2	0	0	Converged	2	29.834721280151616	0.0562546723572732	2.1630924228447816e-10	77.45309452467096	0.005492511698728227
4	0.01	budget	caustic-cross	0.5	0	64	0.001	3	586	1	33.28933563882105	77.41431866126759	9.064018580483932	2	0	0	Converged	2	8.901127013630061	0.1628778129901945	5.575660303069513e-10	77.45309452467096	0.000500636722668606
4	0.001	budget	caustic-cross	0.5	0	8	0.001	3	165	1	33.28933563882105	90.2621585543105	122.660301733678	2	0	0	Converged	2	122.65804040262142	0.0022474915655307	1.6277250072725362e-10	77.45309452467096	0.16537833779590952
4	0.001	budget	caustic-cross	0.5	0	32	0.001	3	343	1	33.28933563882105	77.0276824968915	29.890989706031316	2	0	0	Converged	2	29.834721280151616	0.0562546723572732	2.1630924228447816e-10	77.45309452467096	0.005492511698728227
4	0.001	budget	caustic-cross	0.5	0	64	0.001	3	586	1	33.28933563882105	77.41431866126759	9.064018580483932	2	0	0	Converged	2	8.901127013630061	0.1628778129901945	5.575660303069513e-10	77.45309452467096	0.000500636722668606
5	0.01	budget	caustic-cross	0.5	0	8	0.001	3	183	1	33.28933563882105	76.78554994506926	93.4929347810895	2	0	0	Converged	2	93.49067066248097	0.0022502791158561	1.6441017704188718e-10	77.45309452467096	0.008618694755818496
5	0.01	budget	caustic-cross	0.5	0	32	0.001	3	412	1	33.28933563882105	77.95115424348394	33.424768531640254	2	0	0	Converged	2	33.36850043432337	0.0562543437592092	2.5156209936144056e-10	77.45309452467096	0.006430468942132922
