name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,1,1.0e-05,1,0,Converged,6.0267740817994939,5.769977e-05,3219,3219,2948,10,12.938283,0.219039,0.030593,0.000237,0.002340,0.023127,0.004754,8,0,0,0,0,0,0,0,208,0,0,31,31,5.890288,2.781675,0.049252,1.081023,6.027232423426514,0,0,4.5576713e-14,8.7047571e-15,2.6764253e-15,5.3515593766904308,-16.945458080767875,-10.617977035322902,-4.9307707193286623,1.2299369781837546,2.5420447e-06,3.7076652e-06,4.8528277e-06,2.1445166e-06,1.2635384e-06
plan15,0.0,1,1,1.0e-05,0,0,Converged,6.0267740817994939,5.769977e-05,3219,6167,0,10,22.075740,0.218188,0.028575,0.000019,0.002273,0.022028,0.004148,8,0,0,0,0,0,0,0,347,0,0,31,31,11.166257,2.770733,0.047620,1.119535,6.027232423426514,0,0,4.5442016e-14,8.7047571e-15,2.6764253e-15,5.3515593767098828,-16.945458080754754,-10.617977035299459,-4.9307707193202441,1.2299369781865959,2.542014e-06,3.7076515e-06,4.8527869e-06,2.1445097e-06,1.2635385e-06
plan15,0.0,1,1,1.0e-06,1,0,EventLocationLimited,6.0267740818625253,2.6054181e-06,3219,3219,2948,10,12.828320,0.216671,0.025298,0.000019,0.001933,0.020702,0.002539,8,0,0,0,0,0,0,0,264,0,0,15,15,5.827353,2.766808,0.048356,1.075729,6.027232423426514,0,0,4.554222e-14,8.7047379e-15,2.6764253e-15,5.3515593766904308,-16.945458080767875,-10.617977035322902,-4.9307707193286623,1.2299369781837546,2.5420447e-06,3.7076652e-06,4.8528277e-06,2.1445166e-06,1.2635384e-06
plan15,0.0,1,1,1.0e-06,0,0,EventLocationLimited,6.0267740818625253,2.6054181e-06,3219,6167,0,10,21.842765,0.219521,0.026700,0.000018,0.002203,0.021503,0.002848,8,0,0,0,0,0,0,0,456,0,0,15,15,10.984245,2.775090,0.048446,1.096083,6.027232423426514,0,0,4.5404197e-14,8.7047379e-15,2.6764253e-15,5.3515593767098828,-16.945458080754754,-10.617977035299459,-4.9307707193202441,1.2299369781865959,2.542014e-06,3.7076515e-06,4.8527869e-06,2.1445097e-06,1.2635385e-06
plan15,0.0,1,1,1.0e-08,1,0,EventLocationLimited,6.026774081862742,2.203267e-08,328,328,254,0,0.742074,0.213684,0.022534,0.000021,0.001426,0.019366,0.001601,8,0,0,0,0,0,0,0,328,0,0,0,0,0.333629,0.107844,0.008977,1.057871,6.027232423426514,0,0,4.5653303e-14,8.6679913e-15,2.6764253e-15,5.3515593739624769,-16.945458078820991,-10.617977031974872,-4.930770722777674,1.2299369678159813,2.4553195e-06,3.6219099e-06,4.2485086e-06,2.0610311e-06,1.0659583e-06
plan15,0.0,1,1,1.0e-08,0,0,EventLocationLimited,6.026774081862742,2.203267e-08,328,582,0,0,1.006937,0.217216,0.021924,0.000021,0.001393,0.018790,0.001605,8,0,0,0,0,0,0,0,582,0,0,0,0,0.544952,0.110205,0.009084,1.053274,6.027232423426514,0,0,4.5637747e-14,8.6679913e-15,2.6764253e-15,5.3515593739818792,-16.945458078807835,-10.617977031951368,-4.9307707227693189,1.2299369678186329,2.4552886e-06,3.621896e-06,4.2484674e-06,2.0610239e-06,1.0659573e-06
plan15,0.5,0,0,1.0e-03,1,0,Converged,6.1205006645589846,0.0043222585,128,128,64,0,0.662238,0.332373,0.027950,0.000021,0.002356,0.019474,0.005982,8,0,0,0,0,0,0,0,128,56,56,0,0,0.196906,0.007985,0.002108,0.929275,6.1209627244296385,0,1.1114462e-09,5.5408994e-14,7.8908089e-15,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-03,0,0,Converged,6.1205006645589854,0.0043222585,128,192,0,0,0.676684,0.323523,0.023512,0.000019,0.001372,0.020294,0.001724,8,0,0,0,0,0,0,0,192,56,56,0,0,0.260849,0.007352,0.001736,0.924651,6.1209627244296385,0,1.1114462e-09,5.5220894e-14,7.8908089e-15,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,1,0,Converged,6.1205016288542389,0.00042465197,176,176,109,0,0.632325,0.330815,0.023181,0.000019,0.001323,0.020217,0.001507,8,0,0,0,0,0,0,0,176,56,56,0,0,0.235350,0.009645,0.002106,0.915303,6.1209627244296385,0,1.019971e-09,5.519433e-14,7.8367845e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,0,0,Converged,6.1205016288542389,0.00042465197,176,285,0,0,0.788813,0.314874,0.021490,0.000018,0.001186,0.018769,0.001406,8,0,0,0,0,0,0,0,285,56,56,0,0,0.345821,0.008907,0.002005,0.916437,6.1209627244296385,0,1.019971e-09,5.4981781e-14,7.8367845e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,1,0,Converged,6.1205016227633129,2.1517843e-05,216,216,146,0,0.687561,0.315847,0.022632,0.000024,0.001119,0.020013,0.001364,8,0,0,0,0,0,0,0,216,56,56,0,0,0.299660,0.010647,0.002658,0.920123,6.1209627244296385,0,1.0754381e-09,5.5011934e-14,7.7825318e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,0,0,Converged,6.120501622763312,2.1517843e-05,216,362,0,0,0.952564,0.327236,0.023033,0.000021,0.001222,0.020108,0.001578,8,0,0,0,0,0,0,0,362,56,56,0,0,0.471360,0.010527,0.002530,0.917517,6.1209627244296385,0,1.0754382e-09,5.4839016e-14,7.7825318e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,1,0,Converged,6.1205016227777014,5.8046703e-06,248,248,177,0,0.727986,0.315624,0.021551,0.000019,0.001176,0.018986,0.001269,8,0,0,0,0,0,0,0,248,56,56,0,0,0.327427,0.013782,0.002546,0.915769,6.1209627244296385,0,1.1649493e-09,5.4926974e-14,7.7825101e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
