case	profile	db	epoch	trajectory_pos	qf_base	qf_candidate	delta
112	linear	4	23	3	0.0	0.0	0.0
112	linear	4	15	2	0.0	0.0	0.0
112	linear	4	7	1	0.0	0.0	0.0
113	uniform	0	23	3	0.0	0.0	0.0
112	uniform	2	7	1	0.0	0.0	0.0
113	linear	3	15	2	0.0	0.0	0.0
113	uniform	2	7	1	0.0	0.0	0.0
113	uniform	2	0	0	0.0	0.0	0.0
113	uniform	1	23	3	0.0	0.0	0.0
113	uniform	1	15	2	0.0	0.0	0.0
113	uniform	1	7	1	0.0	0.0	0.0
113	linear	2	0	0	0.0	0.0	0.0
113	linear	1	23	3	0.0	0.0	0.0
113	linear	1	15	2	0.0	0.0	0.0
113	uniform	0	7	1	0.0	0.0	0.0
113	uniform	0	0	0	0.0	0.0	0.0
113	linear	4	23	3	0.0	0.0	0.0
113	linear	4	15	2	0.0	0.0	0.0
114	uniform	1	23	3	0.0	0.0	0.0
114	uniform	1	0	0	0.0	0.0	0.0
114	uniform	0	23	3	0.0	0.0	0.0
114	uniform	0	15	2	0.0	0.0	0.0
113	linear	3	7	1	0.0	0.0	0.0
113	linear	3	0	0	0.0	0.0	0.0
113	linear	2	23	3	0.0	0.0	0.0
113	linear	2	15	2	0.0	0.0	0.0
113	linear	2	7	1	0.0	0.0	0.0
114	linear	4	0	0	0.0	0.0	0.0
114	linear	3	23	3	0.0	0.0	0.0
114	linear	3	15	2	0.0	0.0	0.0
114	uniform	2	7	1	0.0	0.0	0.0
114	uniform	2	0	0	0.0	0.0	0.0
113	linear	4	7	1	0.0	0.0	0.0
117	linear	2	7	1	0.0	0.0	0.0
118	linear	4	0	0	0.0	0.0	0.0
118	linear	3	23	3	0.0	0.0	0.0
118	linear	3	15	2	0.0	0.0	0.0
118	uniform	2	7	1	0.0	0.0	0.0
118	uniform	2	0	0	0.0	0.0	0.0
118	uniform	1	23	3	0.0	0.0	0.0
118	uniform	1	15	2	0.0	0.0	0.0
118	uniform	1	7	1	0.0	0.0	0.0
116	uniform	1	0	0	0.0	0.0	0.0
116	uniform	0	23	3	0.0	0.0	0.0
116	uniform	0	15	2	0.0	0.0	0.0
116	uniform	4	7	1	0.0	0.0	0.0
114	uniform	2	15	2	0.0	0.0	0.0
116	uniform	3	23	3	0.0	0.0	0.0
116	uniform	3	15	2	0.0	0.0	0.0
116	uniform	3	7	1	0.0	0.0	0.0
116	linear	4	0	0	0.0	0.0	0.0
116	linear	3	23	3	0.0	0.0	0.0
116	linear	3	15	2	0.0	0.0	0.0
116	uniform	2	7	1	0.0	0.0	0.0
116	uniform	2	0	0	0.0	0.0	0.0
116	uniform	1	23	3	0.0	0.0	0.0
116	uniform	1	15	2	0.0	0.0	0.0
116	uniform	1	7	1	0.0	0.0	0.0
117	uniform	3	0	0	0.0	0.0	0.0
117	uniform	2	23	3	0.0	0.0	0.0
116	uniform	4	0	0	0.0	0.0	0.0
119	uniform	0	7	1	0.0	0.0	0.0
119	uniform	0	0	0	0.0	0.0	0.0
119	linear	4	23	3	0.0	0.0	0.0
119	linear	4	15	2	0.0	0.0	0.0
119	linear	4	7	1	0.0	0.0	0.0
117	linear	4	0	0	0.0	0.0	0.0
117	linear	3	23	3	0.0	0.0	0.0
117	linear	3	15	2	0.0	0.0	0.0
117	uniform	2	7	1	0.0	0.0	0.0
117	uniform	2	0	0	0.0	0.0	0.0
117	uniform	1	23	3	0.0	0.0	0.0
117	uniform	1	15	2	0.0	0.0	0.0
117	uniform	1	7	1	0.0	0.0	0.0
117	linear	2	15	2	0.0	0.0	0.0
117	linear	1	23	3	0.0	0.0	0.0
117	linear	1	15	2	0.0	0.0	0.0
117	uniform	0	7	1	0.0	0.0	0.0
117	uniform	0	0	0	0.0	0.0	0.0
117	linear	4	23	3	0.0	0.0	0.0
117	linear	4	15	2	0.0	0.0	0.0
117	linear	4	7	1	0.0	0.0	0.0
118	uniform	1	0	0	0.0	0.0	0.0
118	uniform	0	23	3	0.0	0.0	0.0
118	uniform	0	15	2	0.0	0.0	0.0
117	linear	3	7	1	0.0	0.0	0.0
117	linear	3	0	0	0.0	0.0	0.0
117	linear	2	23	3	0.0	0.0	0.0
117	linear	2	0	0	0.0	0.0	0.0
115	uniform	3	7	1	0.0	0.0	0.0
117	linear	0	0	0	0.0	0.0	0.0
116	uniform	4	23	3	0.0	0.0	0.0
116	uniform	4	15	2	0.0	0.0	0.0
115	uniform	2	7	1	0.0	0.0	0.0
115	uniform	2	0	0	0.0	0.0	0.0
115	uniform	1	23	3	0.0	0.0	0.0
115	uniform	1	15	2	0.0	0.0	0.0
115	uniform	1	7	1	0.0	0.0	0.0
116	uniform	3	0	0	0.0	0.0	0.0
116	uniform	2	23	3	0.0	0.0	0.0
116	uniform	2	15	2	0.0	0.0	0.0
117	linear	1	7	1	0.0	0.0	0.0
117	uniform	2	15	2	0.0	0.0	0.0
117	linear	0	23	3	0.0	0.0	0.0
117	linear	0	15	2	0.0	0.0	0.0
117	linear	0	7	1	0.0	0.0	0.0
115	linear	0	0	0	0.0	0.0	0.0
114	uniform	4	23	3	0.0	0.0	0.0
114	uniform	4	15	2	0.0	0.0	0.0
115	linear	3	7	1	0.0	0.0	0.0
115	linear	3	0	0	0.0	0.0	0.0
115	linear	2	23	3	0.0	0.0	0.0
115	linear	2	15	2	0.0	0.0	0.0
115	linear	2	7	1	0.0	0.0	0.0
114	uniform	3	0	0	0.0	0.0	0.0
114	uniform	2	23	3	0.0	0.0	0.0
117	linear	1	0	0	0.0	0.0	0.0
116	uniform	0	7	1	0.0	0.0	0.0
116	uniform	0	0	0	0.0	0.0	0.0
116	linear	4	23	3	0.0	0.0	0.0
116	linear	4	15	2	0.0	0.0	0.0
116	linear	4	7	1	0.0	0.0	0.0
117	uniform	1	0	0	0.0	0.0	0.0
117	uniform	0	23	3	0.0	0.0	0.0
117	uniform	0	15	2	0.0	0.0	0.0
117	uniform	4	7	1	0.0	0.0	0.0
117	uniform	4	0	0	0.0	0.0	0.0
117	uniform	3	23	3	0.0	0.0	0.0
117	uniform	3	15	2	0.0	0.0	0.0
117	uniform	3	7	1	0.0	0.0	0.0
115	uniform	3	15	2	0.0	0.0	0.0
115	uniform	2	23	3	0.0	0.0	0.0
115	uniform	2	15	2	0.0	0.0	0.0
116	linear	1	7	1	0.0	0.0	0.0
116	linear	1	0	0	0.0	0.0	0.0
116	linear	0	23	3	0.0	0.0	0.0
116	linear	0	15	2	0.0	0.0	0.0
116	linear	0	7	1	0.0	0.0	0.0
115	uniform	1	0	0	0.0	0.0	0.0
115	uniform	0	23	3	0.0	0.0	0.0
115	uniform	0	15	2	0.0	0.0	0.0
115	uniform	4	7	1	0.0	0.0	0.0
115	uniform	4	0	0	0.0	0.0	0.0
115	uniform	3	23	3	0.0	0.0	0.0
115	uniform	3	0	0	0.0	0.0	0.0
130	uniform	3	15	2	0.0	0.0	0.0
130	uniform	3	7	1	0.0	0.0	0.0
132	linear	0	0	0	0.0	0.0	0.0
131	uniform	4	23	3	0.0	0.0	0.0
131	uniform	4	15	2	0.0	0.0	0.0
132	linear	3	7	1	0.0	0.0	0.0
132	linear	3	0	0	0.0	0.0	0.0
132	linear	2	23	3	0.0	0.0	0.0
132	linear	2	15	2	0.0	0.0	0.0
132	linear	2	7	1	0.0	0.0	0.0
130	linear	2	0	0	0.0	0.0	0.0
130	linear	1	23	3	0.0	0.0	0.0
113	uniform	1	0	0	0.0	0.0	0.0
130	uniform	0	7	1	0.0	0.0	0.0
130	uniform	0	0	0	0.0	0.0	0.0
130	linear	4	23	3	0.0	0.0	0.0
130	linear	4	15	2	0.0	0.0	0.0
130	linear	4	7	1	0.0	0.0	0.0
130	linear	0	0	0	0.0	0.0	0.0
129	uniform	4	23	3	0.0	0.0	0.0
129	uniform	4	15	2	0.0	0.0	0.0
130	linear	3	7	1	0.0	0.0	0.0
130	linear	3	0	0	0.0	0.0	0.0
130	linear	2	23	3	0.0	0.0	0.0
130	linear	2	15	2	0.0	0.0	0.0
130	linear	2	7	1	0.0	0.0	0.0
130	linear	1	15	2	0.0	0.0	0.0
132	uniform	2	15	2	0.0	0.0	0.0
133	linear	1	7	1	0.0	0.0	0.0
133	linear	1	0	0	0.0	0.0	0.0
133	linear	0	23	3	0.0	0.0	0.0
133	linear	0	15	2	0.0	0.0	0.0
133	linear	0	7	1	0.0	0.0	0.0
131	linear	0	0	0	0.0	0.0	0.0
130	uniform	4	23	3	0.0	0.0	0.0
130	uniform	4	15	2	0.0	0.0	0.0
131	linear	3	7	1	0.0	0.0	0.0
131	linear	3	0	0	0.0	0.0	0.0
131	linear	2	23	3	0.0	0.0	0.0
131	linear	2	15	2	0.0	0.0	0.0
130	uniform	3	23	3	0.0	0.0	0.0
130	uniform	3	0	0	0.0	0.0	0.0
130	uniform	2	23	3	0.0	0.0	0.0
130	uniform	2	15	2	0.0	0.0	0.0
131	linear	1	7	1	0.0	0.0	0.0
131	linear	1	0	0	0.0	0.0	0.0
131	linear	0	23	3	0.0	0.0	0.0
131	linear	0	15	2	0.0	0.0	0.0
131	linear	0	7	1	0.0	0.0	0.0
132	linear	2	0	0	0.0	0.0	0.0
132	linear	1	23	3	0.0	0.0	0.0
132	linear	1	15	2	0.0	0.0	0.0
130	uniform	4	7	1	0.0	0.0	0.0
130	uniform	4	0	0	0.0	0.0	0.0
131	linear	2	7	1	0.0	0.0	0.0
129	linear	4	23	3	0.0	0.0	0.0
129	linear	4	15	2	0.0	0.0	0.0
129	linear	4	7	1	0.0	0.0	0.0
130	uniform	1	0	0	0.0	0.0	0.0
130	uniform	0	23	3	0.0	0.0	0.0
130	uniform	0	15	2	0.0	0.0	0.0
129	linear	3	7	1	0.0	0.0	0.0
129	linear	3	0	0	0.0	0.0	0.0
129	linear	2	23	3	0.0	0.0	0.0
129	linear	2	15	2	0.0	0.0	0.0
129	linear	2	7	1	0.0	0.0	0.0
130	linear	4	0	0	0.0	0.0	0.0
130	linear	3	23	3	0.0	0.0	0.0
131	linear	4	0	0	0.0	0.0	0.0
130	uniform	2	7	1	0.0	0.0	0.0
130	uniform	2	0	0	0.0	0.0	0.0
130	uniform	1	23	3	0.0	0.0	0.0
130	uniform	1	15	2	0.0	0.0	0.0
130	uniform	1	7	1	0.0	0.0	0.0
128	uniform	1	0	0	0.0	0.0	0.0
128	uniform	0	23	3	0.0	0.0	0.0
128	uniform	0	15	2	0.0	0.0	0.0
128	uniform	4	7	1	0.0	0.0	0.0
128	uniform	4	0	0	0.0	0.0	0.0
128	uniform	3	23	3	0.0	0.0	0.0
128	uniform	3	15	2	0.0	0.0	0.0
128	uniform	3	7	1	0.0	0.0	0.0
130	linear	3	15	2	0.0	0.0	0.0
131	linear	3	23	3	0.0	0.0	0.0
131	linear	3	15	2	0.0	0.0	0.0
130	linear	1	7	1	0.0	0.0	0.0
130	linear	1	0	0	0.0	0.0	0.0
130	linear	0	23	3	0.0	0.0	0.0
130	linear	0	15	2	0.0	0.0	0.0
130	linear	0	7	1	0.0	0.0	0.0
131	linear	2	0	0	0.0	0.0	0.0
131	linear	1	23	3	0.0	0.0	0.0
131	linear	1	15	2	0.0	0.0	0.0
131	uniform	0	7	1	0.0	0.0	0.0
131	uniform	0	0	0	0.0	0.0	0.0
131	linear	4	23	3	0.0	0.0	0.0
129	uniform	0	0	0	0.0	0.0	0.0
131	linear	4	7	1	0.0	0.0	0.0
129	linear	4	0	0	0.0	0.0	0.0
129	linear	3	23	3	0.0	0.0	0.0
129	linear	3	15	2	0.0	0.0	0.0
129	uniform	2	7	1	0.0	0.0	0.0
129	uniform	2	0	0	0.0	0.0	0.0
129	uniform	1	23	3	0.0	0.0	0.0
129	uniform	1	15	2	0.0	0.0	0.0
129	uniform	1	7	1	0.0	0.0	0.0
129	linear	2	0	0	0.0	0.0	0.0
129	linear	1	23	3	0.0	0.0	0.0
129	linear	1	15	2	0.0	0.0	0.0
129	uniform	0	7	1	0.0	0.0	0.0
131	linear	4	15	2	0.0	0.0	0.0
133	uniform	2	0	0	0.0	0.0	0.0
133	uniform	1	23	3	0.0	0.0	0.0
133	uniform	1	15	2	0.0	0.0	0.0
133	uniform	1	7	1	0.0	0.0	0.0
133	linear	2	0	0	0.0	0.0	0.0
133	linear	1	23	3	0.0	0.0	0.0
133	linear	1	15	2	0.0	0.0	0.0
133	uniform	0	7	1	0.0	0.0	0.0
133	uniform	0	0	0	0.0	0.0	0.0
133	linear	4	23	3	0.0	0.0	0.0
