kind name u parameter safety tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
adaptive caustic-cross 0.5 0 2 9.9999999999999995e-08 3 905 0 33.288801323745794 78.144129105550803 27.81126464478551 2 0 0 InnerAccuracyLimited 3 27.617768733446578 0.19348269013917976 9.435582825817256e-10
adaptive caustic-cross 0.5 0 2 1e-08 3 905 0 33.288801323745794 78.144129105550803 27.81126464478551 2 0 0 InnerAccuracyLimited 3 27.617768733446578 0.19348269013917976 9.435582825817256e-10
adaptive caustic-cross 0.5 0 4 0.001 3 123 1 33.28912992359642 75.730210558819067 96.400164775472518 2 0 0 Converged 2 96.343897631628053 0.056253943862929139 3.1264910800799829e-09
adaptive caustic-cross 0.5 0 4 0.0001 3 235 1 33.288812283749962 78.9494822712673 60.302461188892273 2 0 0 Converged 2 60.246193223519541 0.056254771633824627 1.0749458239196668e-08
adaptive caustic-cross 0.5 0 4 1.0000000000000001e-05 3 411 1 33.288807454863885 77.000521602151139 45.512295701284536 2 0 0 Converged 2 45.349404362113603 0.16287821878940276 4.5925885218565831e-08
adaptive caustic-cross 0.5 0 4 9.9999999999999995e-07 3 905 1 33.288801323745794 78.144129105550803 27.81126464478551 2 0 0 Converged 2 27.617768733446578 0.19348269013917976 9.435582825817256e-10
adaptive caustic-cross 0.5 0 4 9.9999999999999995e-08 3 1175 0 33.288801686609055 77.796620658541613 22.301144491972558 2 0 0 InnerAccuracyLimited 3 22.107649204454908 0.19348206631779138 9.4366299658445519e-10
adaptive caustic-cross 0.5 0 4 1e-08 3 1175 0 33.288801686609055 77.796620658541613 22.301144491972558 2 0 0 InnerAccuracyLimited 3 22.107649204454908 0.19348206631779138 9.4366299658445519e-10
dense caustic-cross 0.5 0 2 1e-8 5 921 0 33.288801323745822 78.144129105090983 27.810904122636313 2 0 0 InnerAccuracyLimited 3 27.617408320168622 0.19348269013786207 2.0997349642619277e-09
dense caustic-cross 0.5 0 2 1e-8 6 1017 0 33.28880132374583 78.144129106461975 27.810904040402896 2 0 0 InnerAccuracyLimited 3 27.617408287519886 0.19348269014522443 6.7459817027384125e-09
dense caustic-cross 0.5 0 2 1e-8 7 1655 0 33.288801674849338 77.795338353787145 21.988086697257245 2 0 0 InnerAccuracyLimited 3 21.793325725555523 0.19474790137696091 2.7918308781248843e-08
fd caustic-cross 0.5 0 0 0 0 0 1 33.288791163833992 77.452834843860785 0 0 128 2.0000000000000002e-05 NA 0 0 0 0
fd caustic-cross 0.5 0 0 0 0 0 1 33.288796371558824 77.452911914595774 0 0 128 5.9999999999999993e-06 NA 0 0 0 0
fd caustic-cross 0.5 0 0 0 0 0 1 33.288796829380765 77.452918691989211 0 0 128 2.0000000000000003e-06 NA 0 0 0 0
fd caustic-cross 0.5 0 0 0 0 0 1 33.288794915940983 77.453010676364897 0 0 256 2.0000000000000002e-05 NA 0 0 0 0
fd caustic-cross 0.5 0 0 0 0 0 1 33.288800123664359 77.453087747277522 0 0 256 5.9999999999999993e-06 NA 0 0 0 0
fd caustic-cross 0.5 0 0 0 0 0 1 33.288800581486171 77.453094524670959 0 0 256 2.0000000000000003e-06 NA 0 0 0 0
adaptive rand030 0 2 1 0.001 3 51 1 2.537749286931501 -0.97907580468175603 48.14501010860495 2 0 0 Converged 2 48.14460367864919 0 2.3064899523514354e-08
adaptive rand030 0 2 1 0.0001 3 67 1 2.5376970830853254 0.0043815670548352443 5.998812735084698 2 0 0 Converged 2 5.9984063051253909 0 2.3068443213219856e-08
adaptive rand030 0 2 1 1.0000000000000001e-05 3 115 1 2.5376968629817345 0.012996624708504012 0.1049731148333693 2 0 0 Converged 2 0.10456649387815309 0 3.609486908608973e-08
adaptive rand030 0 2 1 9.9999999999999995e-07 3 115 1 2.5376968629817345 0.012996624708504012 0.1049731148333693 2 0 0 Converged 2 0.10456649387815309 0 3.609486908608973e-08
adaptive rand030 0 2 1 9.9999999999999995e-08 3 195 1 2.5376968629556012 0.01299872029839585 0.00050168511091753436 2 0 0 Converged 2 9.493798293471038e-05 0 1.2443849181238591e-07
adaptive rand030 0 2 1 1e-08 3 195 1 2.5376968629556012 0.01299872029839585 0.00050168511091753436 2 0 0 Converged 2 9.493798293471038e-05 0 1.2443849181238591e-07
adaptive rand030 0 2 2 0.001 3 67 1 2.5376970830853254 0.0043815670548352443 5.998812735084698 2 0 0 Converged 2 5.9984063051253909 0 2.3068443213219856e-08
adaptive rand030 0 2 2 0.0001 3 83 1 2.537697083089665 0.0043815686068999432 5.5046277461885182 2 0 0 Converged 2 5.5042211252309325 0 3.60972384279188e-08
adaptive rand030 0 2 2 1.0000000000000001e-05 3 115 1 2.5376968629817345 0.012996624708504012 0.1049731148333693 2 0 0 Converged 2 0.10456649387815309 0 3.609486908608973e-08
adaptive rand030 0 2 2 9.9999999999999995e-07 3 115 1 2.5376968629817345 0.012996624708504012 0.1049731148333693 2 0 0 Converged 2 0.10456649387815309 0 3.609486908608973e-08
adaptive rand030 0 2 2 9.9999999999999995e-08 3 195 1 2.5376968629556012 0.01299872029839585 0.00050168511091753436 2 0 0 Converged 2 9.493798293471038e-05 0 1.2443849181238591e-07
adaptive rand030 0 2 2 1e-08 3 203 1 2.5376968630083336 0.012998690193075544 0.0004570955709956102 2 0 0 Converged 2 5.0348422244492503e-05 0 1.2443853845767274e-07
adaptive rand030 0 2 4 0.001 3 67 1 2.5376970830853254 0.0043815670548352443 5.998812735084698 2 0 0 Converged 2 5.9984063051253909 0 2.3068443213219856e-08
adaptive rand030 0 2 4 0.0001 3 83 1 2.537697083089665 0.0043815686068999432 5.5046277461885182 2 0 0 Converged 2 5.5042211252309325 0 3.60972384279188e-08
adaptive rand030 0 2 4 1.0000000000000001e-05 3 115 1 2.5376968629817345 0.012996624708504012 0.1049731148333693 2 0 0 Converged 2 0.10456649387815309 0 3.609486908608973e-08
adaptive rand030 0 2 4 9.9999999999999995e-07 3 115 1 2.5376968629817345 0.012996624708504012 0.1049731148333693 2 0 0 Converged 2 0.10456649387815309 0 3.609486908608973e-08
adaptive rand030 0 2 4 9.9999999999999995e-08 3 195 1 2.5376968629556012 0.01299872029839585 0.00050168511091753436 2 0 0 Converged 2 9.493798293471038e-05 0 1.2443849181238591e-07
adaptive rand030 0 2 4 1e-08 3 203 1 2.5376968630083336 0.012998690193075544 0.0004570955709956102 2 0 0 Converged 2 5.0348422244492503e-05 0 1.2443853845767274e-07
dense rand030 0 2 2 1e-8 5 251 1 2.537696863008335 0.012998720067732108 0.00045729627496514364 2 0 0 Converged 2 5.029057715770739e-05 0 3.8056095830468061e-07
dense rand030 0 2 2 1e-8 6 379 1 2.537696863008347 0.012997889558684684 0.00046356457200546976 2 0 0 Converged 2 5.541280976729474e-05 0 1.5157732564677665e-06
dense rand030 0 2 2 1e-8 7 635 1 2.5376968630083385 0.012998208511512644 0.00046581193246402277 2 0 0 Converged 2 5.3158983704503049e-05 0 6.0215517334479096e-06
fd rand030 0 2 0 0 0 0 1 2.5376968630311119 0.012998668868684862 0 0 128 3.5031939953417339e-06 NA 0 0 0 0
fd rand030 0 2 0 0 0 0 1 2.5376968630103685 0.012998668234850123 0 0 128 1.0509581986025201e-06 NA 0 0 0 0
fd rand030 0 2 0 0 0 0 1 2.5376968630085806 0.01299866189650274 0 0 128 3.5031939953417341e-07 NA 0 0 0 0
fd rand030 0 2 0 0 0 0 1 2.5376968630310954 0.012998667981316228 0 0 256 3.5031939953417339e-06 NA 0 0 0 0
fd rand030 0 2 0 0 0 0 1 2.5376968630103711 0.012998673094249784 0 0 256 1.0509581986025201e-06 NA 0 0 0 0
fd rand030 0 2 0 0 0 0 1 2.5376968630085628 0.012998658093494309 0 0 256 3.5031939953417341e-07 NA 0 0 0 0
