case_id	profile	d_bin_index	epoch_index	target	warm_nodes	warm_panels	warm_splits	other_ms
3	linear	1	15	0.0001	98	6	0	0.02279700000000001
3	linear	1	23	0.0001	98	6	0	0.02291600000000002
3	linear	2	0	0.001	81	7	0	0.02905300000000005
3	linear	2	7	0.001	81	7	0	0.024118
3	linear	2	15	0.001	74	6	0	0.024562999999999946
3	linear	2	23	0.001	74	6	0	0.023311999999999958
3	linear	2	0	0.0001	105	7	0	0.03418799999999997
3	linear	2	7	0.0001	89	7	0	0.026679999999999954
3	linear	2	15	0.0001	90	6	0	0.028774999999999995
3	linear	2	23	0.0001	82	6	0	0.025903999999999983
3	linear	3	0	0.001	82	6	0	0.03046299999999999
3	linear	3	7	0.001	82	6	0	0.027170000000000055
3	linear	3	15	0.001	82	6	0	0.027034999999999948
3	linear	3	23	0.001	82	6	0	0.02706800000000001
3	linear	3	0	0.0001	98	6	0	0.03423000000000001
3	linear	3	7	0.0001	98	6	0	0.02905799999999986
3	linear	3	15	0.0001	90	6	0	0.02798400000000001
3	linear	3	23	0.0001	82	6	0	0.02675500000000003
3	linear	4	0	0.001	60	4	0	0.024133000000000016
3	linear	4	7	0.001	60	4	0	0.022127999999999995
3	linear	4	15	0.001	68	4	0	0.024547000000000013
3	linear	4	23	0.001	68	4	0	0.02297700000000001
3	linear	4	0	0.0001	76	4	0	0.027351
3	linear	4	7	0.0001	76	4	0	0.02453000000000001
3	linear	4	15	0.0001	84	4	0	0.02728599999999999
3	linear	4	23	0.0001	68	4	0	0.022964000000000054
3	uniform	0	0	0.001	73	7	0	0.02386999999999996
3	uniform	0	7	0.001	73	7	0	0.021468000000000043
3	uniform	0	15	0.001	73	7	0	0.021593999999999974
3	uniform	0	23	0.001	73	7	0	0.021931999999999965
3	uniform	0	0	0.0001	97	7	0	0.03135100000000003
3	uniform	0	7	0.0001	105	7	0	0.029815000000000036
3	uniform	0	15	0.0001	105	7	0	0.029768000000000017
3	uniform	0	23	0.0001	105	7	0	0.02987300000000004
3	uniform	1	0	0.001	59	5	0	0.017395000000000008
3	uniform	1	7	0.001	66	6	0	0.01696700000000001
3	uniform	1	15	0.001	58	6	0	0.01450499999999999
3	uniform	1	23	0.001	58	6	0	0.014619000000000007
3	uniform	1	0	0.0001	91	5	0	0.024720999999999965
3	uniform	1	7	0.0001	98	6	0	0.02233700000000005
3	uniform	1	15	0.0001	98	6	0	0.022003999999999968
3	uniform	1	23	0.0001	98	6	0	0.02221800000000003
3	uniform	2	0	0.001	73	7	0	0.026066999999999993
3	uniform	2	7	0.001	65	7	0	0.019753000000000007
3	uniform	2	15	0.001	66	6	0	0.022279999999999953
3	uniform	2	23	0.001	58	6	0	0.01930100000000004
3	uniform	2	0	0.0001	105	7	0	0.03533900000000001
3	uniform	2	7	0.0001	97	7	0	0.027715000000000045
3	uniform	2	15	0.0001	90	6	0	0.02822900000000006
3	uniform	2	23	0.0001	82	6	0	0.025157
3	uniform	3	0	0.001	66	6	0	0.024831000000000047
3	uniform	3	7	0.001	66	6	0	0.022594000000000003
3	uniform	3	15	0.001	66	6	0	0.02246999999999995
3	uniform	3	23	0.001	66	6	0	0.022683000000000023
3	uniform	3	0	0.0001	90	6	0	0.031241999999999992
3	uniform	3	7	0.0001	90	6	0	0.027783999999999948
3	uniform	3	15	0.0001	82	6	0	0.026335000000000053
3	uniform	3	23	0.0001	82	6	0	0.026752999999999957
3	uniform	4	0	0.001	44	4	0	0.019743999999999963
3	uniform	4	7	0.001	44	4	0	0.018169999999999985
3	uniform	4	15	0.001	44	4	0	0.018237000000000003
3	uniform	4	23	0.001	52	4	0	0.019056999999999977
3	uniform	4	0	0.0001	76	4	0	0.026897999999999964
3	uniform	4	7	0.0001	68	4	0	0.023381999999999986
3	uniform	4	15	0.0001	68	4	0	0.02328099999999997
3	uniform	4	23	0.0001	68	4	0	0.022884000000000015
4	linear	0	0	0.001	121	7	0	0.04642099999999996
4	linear	0	7	0.001	121	7	0	0.04494999999999988
4	linear	0	15	0.001	129	7	0	0.048234000000000055
4	linear	0	23	0.001	129	7	0	0.04618800000000012
4	linear	0	0	0.0001	129	7	0	0.050937000000000066
4	linear	0	7	0.0001	129	7	0	0.04565899999999995
4	linear	0	15	0.0001	129	7	0	0.04551700000000031
4	linear	0	23	0.0001	129	7	0	0.0453630000000001
4	linear	1	0	0.001	83	5	0	0.028757999999999936
4	linear	1	7	0.001	83	5	0	0.025218999999999964
4	linear	1	15	0.001	83	5	0	0.02544399999999994
4	linear	1	23	0.001	83	5	0	0.028499000000000024
4	linear	1	0	0.0001	131	5	0	0.041897000000000045
4	linear	1	7	0.0001	131	5	0	0.036996
4	linear	1	15	0.0001	131	5	0	0.037900999999999935
4	linear	1	23	0.0001	131	5	0	0.03898600000000002
4	linear	2	0	0.001	112	8	0	0.03843900000000011
4	linear	2	7	0.001	112	8	0	0.03235399999999988
4	linear	2	15	0.001	120	8	0	0.03499500000000011
4	linear	2	23	0.001	104	8	0	0.031550999999999885
4	linear	2	0	0.0001	136	8	0	0.0433940000000001
4	linear	2	7	0.0001	144	8	0	0.04344400000000004
4	linear	2	15	0.0001	144	8	0	0.04185699999999998
4	linear	2	23	0.0001	144	8	0	0.039229000000000236
4	linear	3	0	0.001	61	3	0	0.024771000000000043
4	linear	3	7	0.001	61	3	0	0.02293199999999998
4	linear	3	15	0.001	61	3	0	0.022871000000000002
4	linear	3	23	0.001	61	3	0	0.022985000000000005
4	linear	3	0	0.0001	77	3	0	0.02868900000000006
4	linear	3	7	0.0001	77	3	0	0.026839999999999975
4	linear	3	15	0.0001	77	3	0	0.02704199999999997
4	linear	3	23	0.0001	77	3	0	0.026867999999999947
4	linear	4	0	0.001	61	3	0	0.024986000000000022
4	linear	4	7	0.001	53	3	0	0.021117999999999998
4	linear	4	15	0.001	53	3	0	0.021012000000000017
4	linear	4	23	0.001	53	3	0	0.020951000000000025
4	linear	4	0	0.0001	77	3	0	0.028370000000000034
4	linear	4	7	0.0001	77	3	0	0.026760000000000006
4	linear	4	15	0.0001	77	3	0	0.027065000000000006
4	linear	4	23	0.0001	77	3	0	0.02667699999999998
4	uniform	0	0	0.001	121	7	0	0.04597499999999999
4	uniform	0	7	0.001	121	7	0	0.042949000000000126
4	uniform	0	15	0.001	121	7	0	0.042372000000000076
4	uniform	0	23	0.001	121	7	0	0.04276599999999997
4	uniform	0	0	0.0001	129	7	0	0.04952100000000009
4	uniform	0	7	0.0001	129	7	0	0.045276999999999956
