case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations
0 uniform 2 23 53.672972000000001 2.5425757937801223 1 45 53.455514999999998 0.011854 0.17948900000000001 0.0032300000000000002 0.00072799999999999991 0.0045750000000000001 0.012538000000000001 0.053384000000000001 0.26808900000000002 52.946945999999997 0.095735000000000001 2.9e-05 0.0098279999999999999 0.00165 0.0038289999999999999 0.13758000000000001 0.028970000000000006 0 0 3 16 15 0.0050940000000000004 3 0 0
0 uniform 3 0 0.72361399999999998 490.78838121191183 1 67 0.56285300000000005 0.016836 0.11255000000000005 0.0042509999999999996 0.0010350000000000001 0.0032880000000000001 0.011974 0.181949 0.11737 0 0.029034000000000001 0.0010009999999999999 0.11289299999999999 0.0042040000000000003 0.0040270000000000002 0.074001999999999984 0.027722000000000004 0 0 0 0 0 0.0028639999999999998 1 1 0
0 uniform 3 7 0.68132400000000004 500.90243914853698 1 67 0.49447099999999999 0.015141999999999999 0.14175899999999997 0.0039310000000000005 0.00088000000000000003 0.0040369999999999998 0.011105 0.053025999999999997 0.098796999999999996 0 0.029182 0.00092900000000000003 0.20298099999999999 0.00073300000000000004 0.0035520000000000005 0.10524599999999998 0.026256999999999996 0 0 1 42 42 0.0028140000000000001 1 1 0
0 uniform 3 15 0.70276499999999997 513.6746959875577 1 67 0.51671299999999998 0.015070999999999999 0.14147099999999996 0.0036970000000000002 0.00088900000000000003 0.002777 0.010258 0.051575000000000003 0.100129 0 0.029246999999999999 0.00088699999999999998 0.23029400000000003 0.00059599999999999996 0.0036160000000000003 0.104314 0.02700000000000001 0 0 2 40 40 0.002918 1 1 0
0 uniform 3 23 0.610182 528.13394552202078 1 67 0.423267 0.014419 0.14377699999999996 0.0035179999999999999 0.00081399999999999994 0.0025460000000000001 0.009502 0.051594000000000001 0.096573000000000006 0 0.027788 0.00083199999999999995 0.139956 0.00069800000000000005 0.0034320000000000002 0.10614700000000001 0.027556000000000001 0 0 3 40 40 0.0028600000000000001 1 1 0
0 uniform 4 0 0.54842000000000002 2.6310460312299382 1 52 0.38783000000000001 0.011148999999999999 0.12782200000000002 0.0030209999999999998 0.00081799999999999993 0.0029640000000000001 0.011578 0.18130499999999999 0.076200000000000004 0 0.029468999999999999 0.00073099999999999999 0.00060800000000000003 0.0013879999999999999 0.0032179999999999999 0.097158000000000022 0.022827999999999998 0 0 0 0 0 0.002882 1 0 0
0 uniform 4 7 0.410858 2.5259767679796097 1 52 0.24248500000000001 0.010949 0.13625000000000001 0.0026489999999999994 0.00070800000000000008 0.002745 0.010682000000000001 0.051443999999999997 0.065356999999999998 0 0.02896 0.000754 0.0032399999999999998 0.0012600000000000001 0.0032199999999999998 0.104409 0.024008999999999999 0 0 1 19 19 0.002813 1 0 0
0 uniform 4 15 0.47553800000000002 2.4276525037044272 1 68 0.24825900000000001 0.010248 0.18971899999999994 0.0040799999999999994 0.00075899999999999991 0.0027499999999999998 0.010156999999999999 0.051381000000000003 0.075917999999999999 0 0.028385000000000001 0.00075100000000000004 0.00060399999999999994 0.0010629999999999999 0.0030899999999999999 0.14742299999999997 0.032089000000000013 0 0 2 27 23 0.002836 1 0 0
0 uniform 4 23 0.40323199999999998 2.3458220510894816 1 45 0.25107099999999999 0.010612 0.11723599999999997 0.0027839999999999996 0.00072099999999999996 0.0026689999999999999 0.0095940000000000001 0.051392 0.076055999999999999 0 0.028981 0.00078200000000000003 0.00059800000000000001 0.00114 0.0032200000000000002 0.090397999999999992 0.020027000000000007 0 0 3 19 18 0.0027920000000000002 1 0 0
1 linear 0 0 0.51805400000000001 43.386473901256721 1 67 0.36923899999999998 0.011675 0.10950499999999999 0.0042620000000000002 0.001018 0.0031059999999999998 0.011449000000000001 0.193658 0.034315999999999999 0 0.028846 0.00092299999999999999 0.0045729999999999998 0.001168 0.0034840000000000001 0.048135000000000018 0.028580000000000001 0.0072080000000000026 0 0 0 0 0.0028340000000000001 1 0 0
1 linear 0 7 0.40052100000000002 45.580868130123235 1 67 0.22193299999999999 0.011096999999999999 0.14011799999999994 0.0039280000000000001 0.00106 0.002849 0.010815999999999999 0.056306000000000002 0.031440000000000003 0 0.028159 0.00080699999999999999 0.0044529999999999995 0.001036 0.0033909999999999999 0.074103999999999962 0.029496000000000005 0.0071690000000000009 0 1 32 32 0.0028649999999999999 1 0 0
1 linear 0 15 0.39270500000000003 47.482169432048735 1 67 0.21841099999999999 0.011161000000000001 0.13632 0.0038739999999999998 0.00089100000000000008 0.0025230000000000001 0.010088 0.057347000000000002 0.031309999999999998 0 0.028216000000000001 0.00074799999999999997 0.0041409999999999997 0.000892 0.0032590000000000002 0.076280000000000014 0.027899000000000004 0.0071430000000000018 0 2 32 32 0.0028540000000000002 1 0 0
1 linear 0 23 0.38753599999999999 48.662953194529472 1 67 0.21734999999999999 0.01099 0.13205600000000001 0.0039750000000000002 0.00089700000000000001 0.0025379999999999999 0.0094490000000000008 0.05883 0.031455999999999998 0 0.028216999999999999 0.00078200000000000003 0.004189 0.00083199999999999995 0.0032680000000000001 0.071283999999999986 0.028773000000000003 0.0071440000000000028 0 3 32 32 0.00282 1 0 0
1 linear 1 0 0.74997400000000003 85.389445682910434 1 59 0.604186 0.011565000000000001 0.11004199999999997 0.003715 0.00092099999999999994 0.0028470000000000001 0.01038 0.19561899999999999 0.084377999999999995 0 0.029293 0.00074700000000000005 0.193661 0.00093499999999999996 0.0034090000000000006 0.050346999999999989 0.027399 0.0061970000000000003 0 0 0 0 0.0028930000000000002 1 0 0
