case	config	profile	d_bin	epoch	rep	lane	index	role_hint	matched_final_role	matched_physical_real	role_match_valid	dominant_sweep_count	step_first	step_median	step_last	step_max	step_min	newton_step_last	aberth_to_newton_ratio_median	p_abs_last	nearest_sep_last
149	149	uniform	1	7	0	warm	3	1	1	1	True	0	7.009136579615280367462565535354195908E-28	1.421773353696655530794102484E-30	3.894422664473447758262107010100928399E-30	7.009136579615280367462565535354195908E-28	2.060541092313993522890003617578415662E-32	3.894422664473447758262107228008005231E-30	1.000000000000000000000000002	+3.640007594891875762275798311485512632e-32	+6.945797282382015565848236892014723058e-05
149	149	uniform	1	7	0	warm	4	2	1	1	True	0	1.474785665973001762280305136728586905E-14	8.52997255638521967343409652E-80	1.738573519377575466653275029188791267E-250	1.474785665973001762280305136728586905E-14	1.738573519377575466653275029188791267E-250	1.738573519377575466653275029188791267E-250	1	+1.294844236500554541669237200285171234e-270	+2.108683065612124837314390736162635507e-05
149	149	uniform	1	7	0	warm	5	2	2	-1	True	9	3.427596919450093698896105507337664631E-14	3.462219153827946279028001409E-16	0E-36	3.427596919450093698896105507337664631E-14	0E-36	0E-36	1.000000000027812722737349069	+0.000000000000000000000000000000000000e+00	+1.904157509154382466313007328711606508e-05
149	149	uniform	1	7	0	warm	6	2	2	-1	True	15	1.023085832417429379330908274775298919E-13	5.19332989144585456240472005E-16	6.924437792003458366106856487945106432E-16	1.023085832417429379330908274775298919E-13	8.452682851096520337128352234221187275E-20	6.924437792388633972919701546814663799E-16	1.000000000000000241864538990	+3.009265538105056020399965535288948935e-36	+1.904157509154382466313007328711606508e-05
149	149	uniform	1	7	0	warm	7	2	2	-1	True	0	9.485885365621382262760458031050622856E-20	1.983655417847798307384390266E-21	0E-36	9.485885365621382262760458031050622856E-20	0E-36	0E-36	1.000000000000000005413903756	+0.000000000000000000000000000000000000e+00	+8.497434356687983645762363277703510567e-04
149	149	uniform	1	7	0	warm	8	1	1	1	True	0	4.517318612318257426168404988591260037E-20	1.752229262037442188480530054E-223	4.377497231459609176038449548559727859E-452	4.517318612318257426168404988591260037E-20	4.377497231459609176038449548559727859E-452	4.377497231459609176038449548559727859E-452	1	+3.426443187532904314303283618536428524e-467	+8.718744182754138546717856030398489307e-04
149	149	uniform	1	7	0	warm	9	2	1	1	True	0	2.751250390090206825746867743470473180E-17	1.078872762394363353877113317E-95	1.535734662347102072706651302523998298E-293	2.751250390090206825746867743470473180E-17	1.535734662347102072706651302523998298E-293	1.535734662347102072706651302523998298E-293	1	+5.669181461840517325922532434098485634e-311	+2.804440780462015773741970179170802895e-04
149	149	uniform	1	7	0	warm	10	2	2	-1	True	0	1.308984795940465117219322313353623337E-19	3.970697889815624346431533483E-21	3.970697889815624346408181899123784760E-21	1.308984795940465117219322313353623337E-19	1.239482102062638824096003805749247906E-22	3.970697889815624259866670073058300012E-21	1.000000000000000011036942140	+3.012569801876406310055473039191272576e-36	+8.497434356687983665179815877805618703e-04
149	149	uniform	1	7	0	warm	11	2	1	1	True	0	1.430060603236472226119454993049293552E-15	1.872876050193236115264807368E-160	3.605146816270510243772603469321321753E-340	1.430060603236472226119454993049293552E-15	3.605146816270510243772603469321321753E-340	3.605146816270510243772603469321321753E-340	1	+8.344911016567658158559741280376132679e-360	+4.392107162099259436926411953518072226e-05
149	149	uniform	1	7	0	warm	12	2	2	-1	True	0	2.102799101876411289132573212144896616E-32	4.959544608649939470113800717E-36	4.959544608649939470113800717054191664E-36	2.102799101876411289132573212144896616E-32	4.959544608649939470113800717054191664E-36	4.959544608649939470113800717054191664E-36	1	+3.655656377514300540539860660125416705e-26	+1.442136602046612980366958938697368911e+00
149	149	uniform	1	7	0	warm	13	1	1	1	True	0	1.681037306918725373774608706209412250E-28	1.871246421157235584262862725E-30	2.919966942904697285333258128476191034E-30	1.681037306918725373774608706209412250E-28	1.028157374262217353990583876046196473E-30	2.919966942904697285333258251481658931E-30	1.000000000000000000000000015	+2.734820521029874911339488678470596792e-32	+6.945797282382015565848237281457017112e-05
149	149	uniform	1	15	0	warm	0	1	1	1	True	0	1.472757701046987186677709354219600331E-26	1.539168106687504499962644352E-28	3.891575764072134554200556085690639329E-28	1.472757701046987186677709354219600331E-26	2.515388180837223723601871913646337736E-29	3.891575764072134554200588856028397922E-28	1.000000000000000000000001154	+1.238785685359414245887421657243976370e-19	+4.621903635517900816726442517743978945e-05
