case_id	profile	d_bin_index	epoch_index	target	vbm_ms	cold_ms	warm_ms	radial_ms	warm_topology_ms	warm_without_topology_ms	warm_physical_ms
2	linear	1	15	0.001	0.8200110169127584	0.537866	0.393886	0.168784	0.205842	0.18804400000000002	0.15658499999999997
2	linear	1	23	0.001	0.7990669691935182	0.399847	0.263976	0.157038	0.086895	0.177081	0.14661799999999997
2	linear	1	0	0.0001	3.2351650297641754	0.586277	0.590599	0.219003	0.371101	0.21949799999999997	0.17773899999999995
2	linear	1	7	0.0001	3.2101660035550594	0.430192	0.298786	0.190231	0.083034	0.215752	0.17965400000000004
2	linear	1	15	0.0001	3.2116459915414453	0.55322	0.421335	0.18559	0.211783	0.20955200000000002	0.17476999999999993
2	linear	1	23	0.0001	3.2218460110016167	0.439919	0.305233	0.194329	0.082595	0.22263799999999997	0.18690100000000007
2	linear	2	0	0.001	0.04296802217140794	0.299432	0.297756	0.083096	0.213985	0.08377100000000001	0.05896599999999999
2	linear	2	7	0.001	0.04859495675191283	0.296198	0.168751	0.082781	0.0717	0.09705100000000001	0.073781
2	linear	2	15	0.001	0.04535500193014741	0.294306	0.167202	0.08096	0.072248	0.09495399999999998	0.07179700000000003
2	linear	2	23	0.001	0.04644697764888406	0.298301	0.169797	0.081927	0.074177	0.09562	0.07249299999999999
2	linear	2	0	0.0001	0.14831399312242866	0.321244	0.314697	0.101787	0.212135	0.10256200000000001	0.07304399999999998
2	linear	2	7	0.0001	0.15438598347827792	0.316813	0.193367	0.100834	0.073029	0.12033800000000001	0.09319800000000004
2	linear	2	15	0.0001	0.15031598741188645	0.31616	0.189756	0.098665	0.07198	0.117776	0.09080500000000004
2	linear	2	23	0.0001	0.1493989839218557	0.31619	0.192256	0.100169	0.072126	0.12013000000000001	0.093198
2	linear	3	0	0.001	0.20359799964353442	0.410802	0.414158	0.096813	0.316378	0.09778000000000003	0.075499
2	linear	3	7	0.001	0.20604796009138227	0.517294	0.415462	0.085647	0.295257	0.120205	0.101205
2	linear	3	15	0.001	0.20476599456742406	0.343481	0.25112	0.083215	0.134069	0.11705100000000002	0.09822500000000008
2	linear	3	23	0.001	0.2071649651043117	0.306492	0.202583	0.085963	0.08321	0.119373	0.10117300000000004
2	linear	3	0	0.0001	0.966311024967581	0.444275	0.444768	0.130279	0.314167	0.13060100000000002	0.10128000000000001
2	linear	3	7	0.0001	0.9786690352484584	0.535719	0.442627	0.101293	0.293209	0.149418	0.12611299999999998
2	linear	3	15	0.0001	0.9728030418045819	0.361405	0.274931	0.099689	0.12931	0.14562099999999997	0.12310800000000005
2	linear	3	23	0.0001	0.9770990000106394	0.321785	0.232057	0.104241	0.082072	0.149985	0.12779
2	linear	4	0	0.001	0.04165899008512497	0.297474	0.295317	0.082179	0.212121	0.08319599999999999	0.05826
2	linear	4	7	0.001	0.04361203173175454	0.297976	0.16764	0.083378	0.072329	0.095311	0.07242599999999999
2	linear	4	15	0.001	0.04171201726421714	0.289792	0.161658	0.076947	0.072883	0.08877499999999999	0.06586700000000001
2	linear	4	23	0.001	0.04282803274691105	0.289879	0.164393	0.078319	0.074215	0.09017800000000001	0.06711
2	linear	4	0	0.0001	0.13941200450062752	0.31268	0.315331	0.100581	0.213914	0.10141699999999998	0.071695
2	linear	4	7	0.0001	0.14698703307658434	0.315741	0.189947	0.101534	0.071177	0.11877	0.09175600000000002
2	linear	4	15	0.0001	0.1443939981982112	0.307679	0.185589	0.099007	0.074236	0.11135300000000001	0.08458099999999999
2	linear	4	23	0.0001	0.14109699986875057	0.306598	0.184622	0.095645	0.072467	0.112155	0.08539399999999998
2	uniform	0	0	0.001	0.0668730353936553	0.440313	0.435469	0.100467	0.333613	0.101856	0.07511700000000004
2	uniform	0	7	0.001	0.06691901944577694	0.348929	0.192722	0.098498	0.082123	0.110599	0.08560199999999997
2	uniform	0	15	0.001	0.06700103404000401	0.326481	0.182133	0.089056	0.08036	0.10177299999999999	0.07694499999999999
2	uniform	0	23	0.001	0.0695639755576849	0.331487	0.192564	0.10094	0.081337	0.111227	0.08270600000000002
2	uniform	0	0	0.0001	0.12436503311619163	0.503265	0.507094	0.165559	0.339161	0.16793300000000005	0.12430000000000001
2	uniform	0	7	0.0001	0.11776603059843183	0.401822	0.259145	0.150897	0.083288	0.175857	0.14005999999999996
2	uniform	0	15	0.0001	0.12356595834717155	0.390137	0.2623	0.15137	0.086284	0.17601599999999998	0.13806800000000005
2	uniform	0	23	0.0001	0.11581199942156672	0.38454	0.257022	0.149814	0.082531	0.17449099999999998	0.136738
2	uniform	1	0	0.001	0.07178803207352757	0.463712	0.463278	0.099135	0.363178	0.10010000000000002	0.07367499999999999
2	uniform	1	7	0.001	0.06477301940321922	0.347565	0.203367	0.107929	0.081337	0.12202999999999999	0.09376399999999994
2	uniform	1	15	0.001	0.06398896221071482	0.469393	0.318276	0.100794	0.205368	0.11290800000000001	0.08736
2	uniform	1	23	0.001	0.06712001049891114	0.346652	0.202501	0.105594	0.082171	0.12032999999999999	0.094756
2	uniform	1	0	0.0001	0.11712900595739484	0.518819	0.519242	0.156539	0.362532	0.15670999999999996	0.116841
2	uniform	1	7	0.0001	0.12049503857269883	0.392997	0.263525	0.152695	0.08109	0.182435	0.14585700000000004
2	uniform	1	15	0.0001	0.11416198685765266	0.504593	0.37148	0.139379	0.206539	0.16494099999999998	0.129255
2	uniform	1	23	0.0001	0.11720199836418033	0.388674	0.252135	0.144251	0.08114	0.170995	0.13556
2	uniform	2	0	0.001	0.04244799492880702	0.278098	0.273811	0.058458	0.214319	0.05949200000000002	0.039068000000000006
2	uniform	2	7	0.001	0.045246968511492014	0.273264	0.141001	0.057165	0.073678	0.067323	0.04849699999999999
2	uniform	2	15	0.001	0.04451698623597622	0.271389	0.140092	0.055992	0.074427	0.065665	0.04673799999999999
2	uniform	2	23	0.001	0.044767046347260475	0.275453	0.142197	0.057777	0.07439	0.06780699999999999	0.048924
2	uniform	2	0	0.0001	0.07695896783843637	0.305992	0.302933	0.090229	0.21246	0.090473	0.061216
2	uniform	2	7	0.0001	0.07820501923561096	0.303189	0.180879	0.08919	0.072707	0.10817200000000002	0.08124700000000003
2	uniform	2	15	0.0001	0.07546297274529934	0.299576	0.177608	0.086699	0.071452	0.10615599999999999	0.07912499999999999
2	uniform	2	23	0.0001	0.07476203609257936	0.301191	0.180191	0.08834	0.072712	0.10747899999999999	0.08045799999999999
2	uniform	3	0	0.001	0.07484597153961658	0.400857	0.402673	0.086544	0.314292	0.08838099999999999	0.06574800000000001
2	uniform	3	7	0.001	0.0750820036046207	0.508917	0.403871	0.077131	0.292584	0.11128699999999997	0.09260799999999998
2	uniform	3	15	0.001	0.07737998384982347	0.334274	0.237518	0.074605	0.1295	0.108018	0.08966000000000003
2	uniform	3	23	0.001	0.07200503023341298	0.294914	0.194402	0.0775	0.080937	0.113465	0.092805
2	uniform	3	0	0.0001	0.12421200517565012	0.428299	0.429823	0.113768	0.315399	0.11442400000000003	0.08555399999999999
2	uniform	3	7	0.0001	0.1284260069951415	0.522708	0.436954	0.090072	0.29936	0.137594	0.11465200000000005
2	uniform	3	15	0.0001	0.12999901082366705	0.353492	0.263225	0.088585	0.130131	0.133094	0.11063499999999996
2	uniform	3	23	0.0001	0.13312202645465732	0.309419	0.221273	0.092672	0.082843	0.13843	0.11617700000000004
