case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations
10 10 linear 0.001 0 23 cartesian 13 0.57128800000000002 44.689163517512682 44.683673796512565 0.0001228574227158936 1 5 2704
10 10 linear 0.0001 0 0 cartesian 38 2.3716300000000001 43.932203466797915 43.931896542972467 6.9863550085541806e-06 1 5 23104
10 10 linear 0.0001 0 7 cartesian 38 2.268068 44.16810157564889 44.168978018050545 1.9842940475022228e-05 1 5 23104
10 10 linear 0.0001 0 15 cartesian 38 2.3893909999999998 44.431559605703519 44.430846422790516 1.6051526595210877e-05 1 5 23104
10 10 linear 0.0001 0 23 cartesian 38 2.3123619999999998 44.684288913214822 44.683673796512565 1.3766027946980615e-05 1 5 23104
11 11 uniform 0.001 0 0 cartesian 25 0.094274999999999998 1.5758820087322702 1.5755701192095888 0.00019795343849115894 1 3 10000
11 11 uniform 0.001 0 7 polar 27 0.13050899999999999 1.4341502945401805 1.4339533705173886 0.00013732944657807774 1 3 9288
11 11 uniform 0.001 0 15 cartesian 25 0.13739799999999999 1.3276530768662691 1.3278654107984353 0.0001599062152229474 1 3 10000
11 11 uniform 0.001 0 23 cartesian 13 0.083221000000000003 1.2524003658211333 1.2539165146830946 0.0012091306272845885 1 3 2704
11 11 uniform 0.0001 0 0 polar 100 0.66713999999999996 1.5756278396779346 1.5755701192095888 3.6634655381000672e-05 1 3 126400
11 11 uniform 0.0001 0 7 polar 100 0.58527200000000001 1.4338787569382696 1.4339533705173886 5.203347657815025e-05 1 3 126400
11 11 uniform 0.0001 0 15 cartesian 75 0.27831 1.3278845038535072 1.3278654107984353 1.4378757754056591e-05 1 3 90000
11 11 uniform 0.0001 0 23 cartesian 187 0.85663800000000001 1.2538217265628191 1.2539165146830946 7.5593645322934527e-05 1 3 559504
11 11 linear 0.001 0 0 cartesian 25 0.11133999999999999 1.5539034930525517 1.553674416129726 0.00014744203833666808 1 3 10000
11 11 linear 0.001 0 7 cartesian 13 0.085138000000000005 1.4201382509745437 1.4209014774377102 0.00053714242351470096 1 3 2704
11 11 linear 0.001 0 15 polar 27 0.13418099999999999 1.3194254685935445 1.3195660243246363 0.00010651663387876166 1 3 9288
11 11 linear 0.001 0 23 polar 27 0.127577 1.2476187867596951 1.248238526692425 0.00049649159153265722 1 3 9288
11 11 linear 0.0001 0 0 polar 100 0.68893800000000005 1.5536983719177722 1.553674416129726 1.5418795467986945e-05 1 3 126400
11 11 linear 0.0001 0 7 cartesian 75 0.307589 1.42082188391355 1.4209014774377102 5.6016216060056416e-05 1 3 90000
11 11 linear 0.0001 0 15 cartesian 75 0.28223799999999999 1.3195875471832859 1.3195660243246363 1.6310558359936525e-05 1 3 90000
11 11 linear 0.0001 0 23 cartesian 149 0.74605900000000003 1.2482625559518867 1.248238526692425 1.9250535012277631e-05 1 3 355216
12 12 uniform 0.001 0 0 polar 27 1.1595880000000001 212.17441665985314 212.19137353668222 7.9913130050751247e-05 1 5 9288
12 12 uniform 0.001 0 7 polar 27 1.0306960000000001 205.58868371989848 205.61390106968261 0.00012264418725065776 1 5 9288
12 12 uniform 0.001 0 15 polar 27 0.96850899999999995 195.1346281787427 195.15909290350152 0.00012535785238001503 1 5 9288
12 12 uniform 0.001 0 23 polar 27 0.914968 181.92293037717519 181.94963965203078 0.00014679487635518897 1 5 9288
12 12 uniform 0.0001 0 0 cartesian 38 9.8111899999999999 212.19024396379464 212.19137353668222 5.3233685646636609e-06 1 5 23104
12 12 uniform 0.0001 0 7 cartesian 38 9.4464749999999995 205.61540063041286 205.61390106968261 7.2930902164254348e-06 1 5 23104
12 12 uniform 0.0001 0 15 cartesian 38 8.8712859999999996 195.15825499369177 195.15909290350152 4.2934705079856053e-06 1 5 23104
12 12 uniform 0.0001 0 23 cartesian 38 8.2414039999999993 181.94935995187288 181.94963965203078 1.5372394165711405e-06 1 5 23104
12 12 linear 0.001 0 0 polar 27 1.250658 218.55951773210947 218.56849067070934 4.1053212072487014e-05 1 5 9288
12 12 linear 0.001 0 7 polar 27 1.1485209999999999 212.94504861273145 212.95981875787319 6.9356488129491164e-05 1 5 9288
12 12 linear 0.001 0 15 polar 27 1.0854760000000001 202.4974815099639 202.51249435960662 7.4132955056378208e-05 1 5 9288
12 12 linear 0.001 0 23 polar 27 1.0187029999999999 188.23594918596427 188.2535369734843 9.3426066796852795e-05 1 5 9288
12 12 linear 0.0001 0 0 cartesian 38 11.312580000000001 218.56827569347612 218.56849067070934 9.8356918947231164e-07 1 5 23104
12 12 linear 0.0001 0 7 cartesian 38 11.020246999999999 212.96201787334175 212.95981875787319 1.0326433791047046e-05 1 5 23104
12 12 linear 0.0001 0 15 cartesian 38 10.465233 202.51257138683133 202.51249435960662 3.8035788828161126e-07 1 5 23104
12 12 linear 0.0001 0 23 cartesian 38 9.7458519999999993 188.25229882927692 188.2535369734843 6.5770036902511905e-06 1 5 23104
13 13 uniform 0.001 0 0 cartesian 25 0.096716999999999997 1.5747859225008141 1.5751706585403364 0.00024425038483062234 1 3 10000
13 13 uniform 0.001 0 7 cartesian 13 0.069538000000000003 1.5545267027577929 1.5549873319929848 0.0002962270017990952 1 3 2704
