case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations nested_error boundary_backstop
6 6 linear 0.001 0 15 cartesian 50 0.97416000000000003 1.0347320840878578 1.0347362182400024 3.9953681641211376e-06 1 3 111 0.00095140294963447225 1
6 6 linear 0.001 0 23 cartesian 50 1.0477339999999999 1.0363656241800479 1.0363654290645234 1.8826903998535482e-07 1 3 102 0.001205173937284032 1
6 6 linear 0.0001 0 0 cartesian 149 1.540333 1.0317423787665696 1.0317423564416084 2.163811640922931e-08 1 3 134 0.00014775661326860146 1
6 6 linear 0.0001 0 7 cartesian 149 1.537453 1.033134776241871 1.033134736398494 3.856551874443556e-08 1 3 134 5.4161151982645706e-05 1
6 6 linear 0.0001 0 15 cartesian 75 1.3027679999999999 1.0347366149558384 1.0347362182400024 3.8339803803761883e-07 1 3 191 0.00037139444765776908 1
6 6 linear 0.0001 0 23 cartesian 75 1.3921190000000001 1.0363657178646024 1.0363654290645234 2.7866626082188685e-07 1 3 158 6.7347599614020481e-05 1
7 7 uniform 0.001 0 0 polar 27 16.475802999999999 1671.3035111486452 1671.3052329150528 1.030192674394931e-06 1 5 9288 0.0125843871012421 0
7 7 uniform 0.001 0 7 polar 27 16.531753999999999 1640.5079531075241 1640.5106640024323 1.6524701531600921e-06 1 3 9288 0.018295486338956835 0
7 7 uniform 0.001 0 15 polar 27 15.769238 1582.803833947964 1582.8089350139198 3.2227932525517471e-06 1 3 9288 0.03213068388231477 0
7 7 uniform 0.001 0 23 polar 27 15.252518999999999 1492.1887739270301 1492.2020190700828 8.8762398679463176e-06 1 3 9288 0.084267141780401289 0
7 7 uniform 0.0001 0 0 polar 100 145.10066900000001 1671.3055877468619 1671.3052329150528 2.1230820205821627e-07 1 5 126400 0.00029609862963297928 0
7 7 uniform 0.0001 0 7 polar 100 142.88414399999999 1640.5109765103232 1640.5106640024323 1.9049427577462786e-07 1 3 126400 0.00043185154140701343 0
7 7 uniform 0.0001 0 15 polar 100 136.597204 1582.8091589724502 1582.8089350139198 1.4149435562760229e-07 1 3 126400 0.00076465264555736212 0
7 7 uniform 0.0001 0 23 polar 100 131.18805800000001 1492.203081921007 1492.2020190700828 7.1227012872025033e-07 1 3 126400 0.0020816792264213291 0
7 7 linear 0.001 0 0 polar 27 18.626362 1749.607784849165 1749.6141532458228 3.639886340624509e-06 1 5 9288 0.067492019983774298 0
7 7 linear 0.001 0 7 polar 27 18.580182000000001 1708.0269431745699 1707.9211839243565 6.1922793164488185e-05 1 3 9288 0.010772175823831276 0
7 7 linear 0.001 0 15 polar 27 17.609193000000001 1631.7952880872581 1631.7673163910065 1.7141963790194619e-05 1 3 9288 0.049474598705728567 0
7 7 linear 0.001 0 23 polar 27 16.256798 1519.5959940866569 1519.6008663713758 3.2062924065843662e-06 1 3 9288 0.12625135674375088 0
7 7 linear 0.0001 0 0 polar 100 166.54792599999999 1749.6178607815395 1749.6141532458228 2.1190590564822361e-06 1 5 126400 0.0057101527072518365 0
7 7 linear 0.0001 0 7 polar 100 163.27319199999999 1708.0200814916611 1707.9211839243565 5.7905229020834844e-05 1 3 126400 0.0051622770263293205 0
7 7 linear 0.0001 0 15 polar 100 156.74049199999999 1631.7872846089097 1631.7673163910065 1.2237172360660827e-05 1 3 126400 0.0042272329051229462 0
7 7 linear 0.0001 0 23 polar 100 148.944872 1519.6048223740513 1519.6008663713758 2.6033169387228634e-06 1 3 126400 0.0070174918846532819 0
8 8 uniform 0.001 0 0 cartesian 25 0.92795399999999995 10.265378971019762 10.265378173571646 7.7683267284075168e-08 1 5 97 0.013785187742268334 1
8 8 uniform 0.001 0 7 cartesian 13 0.72950199999999998 10.445007554158632 10.445006380352769 1.123796214603465e-07 1 5 89 0.051553487699202094 1
8 8 uniform 0.001 0 15 cartesian 25 0.89280099999999996 10.526418387092084 10.526417728563162 6.2559641754728227e-08 1 5 89 0.012417433226648456 1
8 8 uniform 0.001 0 23 cartesian 25 0.904586 10.473316189657767 10.473315572646683 5.891267953527492e-08 1 5 97 0.010255335483135397 1
8 8 uniform 0.0001 0 0 polar 100 4.4191130000000003 10.265378969991945 10.265378173571646 7.7583142591787509e-08 1 5 161 0.0016604124948251808 1
8 8 uniform 0.0001 0 7 cartesian 75 2.2163629999999999 10.445007179869267 10.445006380352769 7.6545333562992828e-08 1 5 153 0.0020728198793502628 1
8 8 uniform 0.0001 0 15 cartesian 38 1.246391 10.526418325331724 10.526417728563162 5.6692464337492719e-08 1 5 153 0.00086587676165628125 1
8 8 uniform 0.0001 0 23 polar 100 4.4470710000000002 10.47331619122018 10.473315572646683 5.9061859841246363e-08 1 5 145 0.001584280149398154 1
8 8 linear 0.001 0 0 cartesian 13 0.87406899999999998 10.610633731751435 10.610698557921399 6.109510095931325e-06 1 5 129 0.014663187826307933 1
8 8 linear 0.001 0 7 cartesian 13 0.91751400000000005 10.84732747052357 10.847296729372221 2.8339919259047779e-06 1 5 129 0.039291509952382953 1
8 8 linear 0.001 0 15 cartesian 13 0.922512 10.940334032519944 10.940321316182033 1.1623367855518856e-06 1 5 129 0.066334882479244683 1
8 8 linear 0.001 0 23 cartesian 13 0.85608300000000004 10.840103533062017 10.84010678556413 3.0004336463759225e-07 1 5 129 0.01324392136505459 1
8 8 linear 0.0001 0 0 polar 100 5.2813160000000003 10.610632175098131 10.610698557921399 6.2562161111421271e-06 1 5 169 0.0009258877070656979 1
8 8 linear 0.0001 0 7 cartesian 75 2.7212519999999998 10.847327343001142 10.847296729372221 2.8222357776814693e-06 1 5 153 0.0010657685673614026 1
8 8 linear 0.0001 0 15 cartesian 38 1.420596 10.940333990835594 10.940321316182033 1.1585266277887723e-06 1 5 153 0.00093051574986446894 1
8 8 linear 0.0001 0 23 polar 100 5.32578 10.840103533794403 10.84010678556413 2.9997580196405937e-07 1 5 145 0.0013223987517285707 1
9 9 uniform 0.001 0 0 polar 27 93.906760000000006 11891.169431570466 11891.069225240022 8.4270243950270098e-06 1 3 215 4.1977866472625465 1
9 9 uniform 0.001 0 7 polar 27 94.986806000000001 11471.307698148594 11471.191746674644 1.0108058213202043e-05 1 3 215 4.22900315008701 1
9 9 uniform 0.001 0 15 polar 27 88.646759000000003 10964.242068538755 10964.140774203048 9.2386934638426121e-06 1 3 215 4.4195020744100475 1
9 9 uniform 0.001 0 23 polar 27 83.650758999999994 10436.014354442828 10436.029431402279 1.4447026572903853e-06 1 3 159 4.2605294575332664 1
9 9 uniform 0.0001 0 0 polar 100 801.20317799999998 11891.054330700852 11891.069225240022 1.2525819914145994e-06 1 3 126400 0.089956712094135582 0
9 9 uniform 0.0001 0 7 polar 100 776.99668499999996 11471.190884490241 11471.191746674644 7.5160839578784606e-08 1 3 126400 0.086326181422919035 0
9 9 uniform 0.0001 0 15 polar 100 750.84952099999998 10964.125731908647 10964.140774203048 1.3719537819226756e-06 1 3 126400 0.091870694666795316 0
9 9 uniform 0.0001 0 23 polar 100 705.31207300000005 10436.026576919108 10436.029431402279 2.7352195487181816e-07 1 3 126400 0.090361771035532001 0
9 9 linear 0.001 0 0 polar 27 104.362971 12355.999365068015 12357.078591858435 8.7336726265616703e-05 1 3 9288 2.7925947513631399 0
9 9 linear 0.001 0 7 polar 27 101.089827 11900.386558638005 11900.736181149905 2.9378225563348495e-05 1 3 9288 2.8810497646591102 0
9 9 linear 0.001 0 15 polar 27 100.228144 11346.771658178281 11346.750582317942 1.8574357641860952e-06 1 3 159 2.9647829731165984 1
9 9 linear 0.001 0 23 polar 27 93.144983999999994 10768.80428193938 10768.730810894915 6.8226280102167137e-06 1 3 159 2.7008999196368677 1
9 9 linear 0.0001 0 0 polar 100 949.17868699999997 12356.446324249324 12357.078591858435 5.1166430998332412e-05 1 3 126400 0.061133594626880949 0
9 9 linear 0.0001 0 7 polar 100 904.02967899999999 11900.734681206635 11900.736181149905 1.2603785571180865e-07 1 3 126400 0.048859579157578992 0
9 9 linear 0.0001 0 15 polar 100 868.71387500000003 11346.786626346808 11346.750582317942 3.1765947972905517e-06 1 3 126400 0.053805751480467734 0
9 9 linear 0.0001 0 23 polar 100 814.26965900000005 10768.816325807291 10768.730810894915 7.9410390953216429e-06 1 3 126400 0.054084576337118051 0
10 10 uniform 0.001 0 0 cartesian 13 0.80215999999999998 41.823483966754303 41.824875436801825 3.3268958556138206e-05 1 5 2704 0.0017668679375546503 0
10 10 uniform 0.001 0 7 cartesian 13 0.84571099999999999 42.056774822579087 42.058531627939473 4.1770487280151445e-05 1 5 2704 0.00073312788241253202 0
10 10 uniform 0.001 0 15 cartesian 13 0.80298700000000001 42.318533816000553 42.319667067061374 2.6778354825559024e-05 1 5 2704 0.00082667566552174776 0
10 10 uniform 0.001 0 23 cartesian 13 0.82655500000000004 42.572695046915101 42.57420502313397 3.5466926934965276e-05 1 5 2704 0.0014499150707294461 0
10 10 uniform 0.0001 0 0 cartesian 38 2.776977 41.824991295931554 41.824875436801825 2.7701010109020037e-06 1 5 23104 0.00028713688647741265 0
10 10 uniform 0.0001 0 7 cartesian 38 2.7801170000000002 42.05878668582006 42.058531627939473 6.0643553332524628e-06 1 5 23104 0.00032065726105656722 0
10 10 uniform 0.0001 0 15 cartesian 38 2.773844 42.319929779233973 42.319667067061374 6.2078033880327599e-06 1 5 23104 0.0001439593977394793 0
10 10 uniform 0.0001 0 23 cartesian 38 2.8891469999999999 42.574376993262355 42.57420502313397 4.0393033361682833e-06 1 5 23104 0.00070379419424426715 0
10 10 linear 0.001 0 0 cartesian 13 2.2753760000000001 43.932275491335709 43.931896542972467 8.6258138860686811e-06 1 5 208 0.018423689498646922 1
10 10 linear 0.001 0 7 cartesian 13 0.84729399999999999 44.171356626154498 44.168978018050545 5.3852459592366333e-05 1 5 2704 0.004131885966572213 0
10 10 linear 0.001 0 15 cartesian 13 0.86885199999999996 44.435674700442995 44.430846422790516 0.00010866949520912086 1 5 2704 0.0084324848975398936 0
10 10 linear 0.001 0 23 cartesian 13 0.88053199999999998 44.689163517512682 44.683673796512565 0.0001228574227158936 1 5 2704 0.0013727831363041787 0
10 10 linear 0.0001 0 0 cartesian 38 5.143751 43.932179401801513 43.931896542972467 6.4385754156748023e-06 1 5 376 0.0032825153563393883 1
10 10 linear 0.0001 0 7 cartesian 38 5.1797389999999996 44.168915800028152 44.168978018050545 1.4086362235364818e-06 1 5 376 0.0035477160595931423 1
10 10 linear 0.0001 0 15 cartesian 38 5.1334169999999997 44.430975722819838 44.430846422790516 2.9101410333549589e-06 1 5 376 0.0030449273167221236 1
10 10 linear 0.0001 0 23 cartesian 38 3.2612260000000002 44.684288913214822 44.683673796512565 1.3766027946980615e-05 1 5 23104 0.00068163196133497195 0
