type	row	name	axis	h_index	offset	resolution	nr	subdivisions	angular	mu0	mu_half	fail	segment	node	kind	sturm_roots	fail_R	radial_nodes	arc_nodes	full_nodes	empty_nodes	min_phi
REF	99	rand035	Y	0	1	2	80	1	384	6.3101432163991618	6.2954893160060239	0	-1	-1	-1	-1	nan	320	320	0	0	1.6282385654547364e-15
REF	99	rand035	Y	0	1	3	80	4	384	6.3101429844679737	6.2954891768473118	0	-1	-1	-1	-1	nan	1280	1280	0	0	1.0180136995998668e-16
REF	99	rand035	Y	0	1	4	112	8	768	6.3101429839446288	6.2954891765333052	0	-1	-1	-1	-1	nan	3584	3584	0	0	1.6750288283603788e-18
TOPO	99	rand035	Y	0	2	7.5309254797077812e-05	0	11	12	3.3561950952922452
REF	99	rand035	Y	0	2	0	48	1	96	6.3128713849620448	6.298192481619858	0	-1	-1	-1	-1	nan	192	192	0	0	3.317785612407098e-15
REF	99	rand035	Y	0	2	1	48	1	384	6.3128713849620448	6.298192481619858	0	-1	-1	-1	-1	nan	192	192	0	0	2.0737895071484339e-16
REF	99	rand035	Y	0	2	2	80	1	384	6.3128609577863077	6.2981862253144172	0	-1	-1	-1	-1	nan	320	319	0	1	2.7376615554459897e-17
REF	99	rand035	Y	0	2	3	80	4	384	6.3128585077366797	6.2981847552846402	0	-1	-1	-1	-1	nan	1280	1278	0	2	1.7260027654953896e-18
REF	99	rand035	Y	0	2	4	112	8	768	6.312858251150165	6.2981846013327312	0	-1	-1	-1	-1	nan	3584	3580	0	4	3.9460922992675067e-20
TOPO	99	rand035	Y	1	-2	3.7654627398538906e-05	0	11	12	3.3562141602708482
REF	99	rand035	Y	1	-2	0	48	1	96	6.3047201030715039	6.2901054909193643	0	-1	-1	-1	-1	nan	192	192	0	0	5.8633985161081259e-13
REF	99	rand035	Y	1	-2	1	48	1	384	6.3047201030715039	6.2901054909193652	0	-1	-1	-1	-1	nan	192	192	0	0	3.6649306915623165e-14
REF	99	rand035	Y	1	-2	2	80	1	384	6.3047191928672621	6.2901049447968225	0	-1	-1	-1	-1	nan	320	319	0	1	4.8303125001820941e-15
REF	99	rand035	Y	1	-2	3	80	4	384	6.3047191794891608	6.2901049367699597	0	-1	-1	-1	-1	nan	1280	1278	0	2	3.0184954989411736e-16
REF	99	rand035	Y	1	-2	4	112	8	768	6.3047191794882584	6.2901049367694188	0	-1	-1	-1	-1	nan	3584	3580	0	4	4.9432257994645202e-18
REF	99	rand035	Y	1	-2	5	128	16	1024	6.3047191794882629	6.2901049367694233	0	-1	-1	-1	-1	nan	8192	8185	0	7	4.0179267325675983e-19
TOPO	99	rand035	Y	1	-1	3.7654627398538906e-05	0	11	12	3.3562109822639918
REF	99	rand035	Y	1	-1	0	48	1	96	6.3060755797467705	6.2914509450026399	0	-1	-1	-1	-1	nan	192	192	0	0	4.8916373447522976e-13
REF	99	rand035	Y	1	-1	1	48	1	384	6.3060755797467705	6.291450945002639	0	-1	-1	-1	-1	nan	192	192	0	0	3.0575291424459803e-14
REF	99	rand035	Y	1	-1	2	80	1	384	6.3060743196644697	6.2914501889532586	0	-1	-1	-1	-1	nan	320	318	0	2	4.0298862801737888e-15
REF	99	rand035	Y	1	-1	3	80	4	384	6.3060742949225768	6.2914501741081246	0	-1	-1	-1	-1	nan	1280	1276	0	4	2.5183232163887793e-16
REF	99	rand035	Y	1	-1	4	112	8	768	6.3060742949191253	6.2914501741060525	0	-1	-1	-1	-1	nan	3584	3576	0	8	4.1185423444601737e-18
REF	99	rand035	Y	1	-1	5	128	16	1024	6.3060742949191297	6.2914501741060569	0	-1	-1	-1	-1	nan	8192	8178	0	14	3.4753533150635578e-19
TOPO	99	rand035	Y	1	1	3.7654627398538906e-05	0	11	12	3.3562046268625405
REF	99	rand035	Y	1	1	0	48	1	96	6.308788887143435	6.2941439078703754	0	-1	-1	-1	-1	nan	192	192	0	0	2.9481804275693856e-13
REF	99	rand035	Y	1	1	1	48	1	384	6.308788887143435	6.2941439078703763	0	-1	-1	-1	-1	nan	192	192	0	0	1.8427669385901143e-14
REF	99	rand035	Y	1	1	2	80	1	384	6.3087862975188678	6.294142354095638	0	-1	-1	-1	-1	nan	320	318	0	2	2.4287323776644135e-15
REF	99	rand035	Y	1	1	3	80	4	384	6.3087861969133714	6.2941422937323388	0	-1	-1	-1	-1	nan	1280	1276	0	4	1.5174730738120136e-16
REF	99	rand035	Y	1	1	4	112	8	768	6.3087861968356291	6.2941422936856934	0	-1	-1	-1	-1	nan	3584	3576	0	8	2.4832152145567856e-18
REF	99	rand035	Y	1	1	5	128	16	1024	6.3087861968356336	6.2941422936856988	0	-1	-1	-1	-1	nan	8192	8178	0	14	1.996138287637701e-19
TOPO	99	rand035	Y	1	2	3.7654627398538906e-05	0	11	12	3.3562014494681089
REF	99	rand035	Y	1	2	0	48	1	96	6.3101471118286572	6.2954916532637215	0	-1	-1	-1	-1	nan	192	192	0	0	1.976486247704271e-13
REF	99	rand035	Y	1	2	1	48	1	384	6.3101471118286572	6.2954916532637224	0	-1	-1	-1	-1	nan	192	192	0	0	1.2354072626587051e-14
REF	99	rand035	Y	1	2	2	80	1	384	6.3101432163991618	6.2954893160060239	0	-1	-1	-1	-1	nan	320	320	0	0	1.6282385654547364e-15
REF	99	rand035	Y	1	2	3	80	4	384	6.3101429844679737	6.2954891768473118	0	-1	-1	-1	-1	nan	1280	1280	0	0	1.0180136995998668e-16
REF	99	rand035	Y	1	2	4	112	8	768	6.3101429839446288	6.2954891765333052	0	-1	-1	-1	-1	nan	3584	3584	0	0	1.6750288283603788e-18
REF	99	rand035	Y	1	2	5	128	16	1024	6.3101429839446226	6.2954891765333034	0	-1	-1	-1	-1	nan	8192	8192	0	0	1.3883823540794785e-19
TOPO	99	rand035	Y	2	-2	1.8827313699269453e-05	0	11	12	3.3562109822639918
REF	99	rand035	Y	2	-2	0	48	1	96	6.3060755797467705	6.2914509450026399	0	-1	-1	-1	-1	nan	192	192	0	0	4.8916373447522976e-13
REF	99	rand035	Y	2	-2	1	48	1	384	6.3060755797467705	6.291450945002639	0	-1	-1	-1	-1	nan	192	192	0	0	3.0575291424459803e-14
REF	99	rand035	Y	2	-2	2	80	1	384	6.3060743196644697	6.2914501889532586	0	-1	-1	-1	-1	nan	320	318	0	2	4.0298862801737888e-15
REF	99	rand035	Y	2	-2	3	80	4	384	6.3060742949225768	6.2914501741081246	0	-1	-1	-1	-1	nan	1280	1276	0	4	2.5183232163887793e-16
REF	99	rand035	Y	2	-2	4	112	8	768	6.3060742949191253	6.2914501741060525	0	-1	-1	-1	-1	nan	3584	3576	0	8	4.1185423444601737e-18
REF	99	rand035	Y	2	-2	5	128	16	1024	6.3060742949191297	6.2914501741060569	0	-1	-1	-1	-1	nan	8192	8178	0	14	3.4753533150635578e-19
TOPO	99	rand035	Y	2	-1	1.8827313699269453e-05	0	11	12	3.3562093933370809
REF	99	rand035	Y	2	-1	0	48	1	96	6.3067535899429963	6.2921239154220121	0	-1	-1	-1	-1	nan	192	192	0	0	4.405767929776824e-13
REF	99	rand035	Y	2	-1	1	48	1	384	6.3067535899429963	6.292123915422013	0	-1	-1	-1	-1	nan	192	192	0	0	2.7538353501609947e-14
REF	99	rand035	Y	2	-1	2	80	1	384	6.3067520957433887	6.2921230189022479	0	-1	-1	-1	-1	nan	320	318	0	2	3.6296121794935354e-15
REF	99	rand035	Y	2	-1	3	80	4	384	6.3067520614650574	6.2921229983352491	0	-1	-1	-1	-1	nan	1280	1276	0	4	2.2686409358498756e-16
REF	99	rand035	Y	2	-1	4	112	8	768	6.3067520614579911	6.292122998331009	0	-1	-1	-1	-1	nan	3584	3576	0	8	3.7301341830469434e-18
REF	99	rand035	Y	2	-1	5	128	16	1024	6.3067520614579955	6.2921229983310134	0	-1	-1	-1	-1	nan	8192	8178	0	14	3.0235744891270215e-19
TOPO	99	rand035	Y	2	1	1.8827313699269453e-05	0	11	12	3.356206215636345
REF	99	rand035	Y	2	1	0	48	1	96	6.3081102216909741	6.2934703836712558	0	-1	-1	-1	-1	nan	192	192	0	0	3.4340380207861431e-13
REF	99	rand035	Y	2	1	1	48	1	384	6.3081102216909741	6.2934703836712558	0	-1	-1	-1	-1	nan	192	192	0	0	2.1464533416576992e-14
REF	99	rand035	Y	2	1	2	80	1	384	6.308108081343665	6.2934690994628699	0	-1	-1	-1	-1	nan	320	319	0	1	2.8290821695081304e-15
REF	99	rand035	Y	2	1	3	80	4	384	6.3081080124105666	6.2934690581030113	0	-1	-1	-1	-1	nan	1280	1278	0	2	1.7681251736951471e-16
REF	99	rand035	Y	2	1	4	112	8	768	6.3081080123772821	6.2934690580830406	0	-1	-1	-1	-1	nan	3584	3580	0	4	2.896200786744985e-18
REF	99	rand035	Y	2	1	5	128	16	1024	6.3081080123772866	6.293469058083045	0	-1	-1	-1	-1	nan	8192	8185	0	7	2.4287436752343939e-19
TOPO	99	rand035	Y	2	2	1.8827313699269453e-05	0	11	12	3.3562046268625405
REF	99	rand035	Y	2	2	0	48	1	96	6.308788887143435	6.2941439078703754	0	-1	-1	-1	-1	nan	192	192	0	0	2.9481804275693856e-13
REF	99	rand035	Y	2	2	1	48	1	384	6.308788887143435	6.2941439078703763	0	-1	-1	-1	-1	nan	192	192	0	0	1.8427669385901143e-14
REF	99	rand035	Y	2	2	2	80	1	384	6.3087862975188678	6.294142354095638	0	-1	-1	-1	-1	nan	320	318	0	2	2.4287323776644135e-15
REF	99	rand035	Y	2	2	3	80	4	384	6.3087861969133714	6.2941422937323388	0	-1	-1	-1	-1	nan	1280	1276	0	4	1.5174730738120136e-16
REF	99	rand035	Y	2	2	4	112	8	768	6.3087861968356291	6.2941422936856934	0	-1	-1	-1	-1	nan	3584	3576	0	8	2.4832152145567856e-18
REF	99	rand035	Y	2	2	5	128	16	1024	6.3087861968356336	6.2941422936856988	0	-1	-1	-1	-1	nan	8192	8178	0	14	1.996138287637701e-19
