name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,1,1.0e-06,1,0,EventLocationLimited,6.0267740818625244,2.6054181e-06,3092,3092,2821,10,11.935895,0.181733,11.731937,0.000079,0.001905,0.426960,0.002202,8,0,0,8,1,264,0,0,15,0,5.286196,2.796020,0.049518,1.041941,6.0272324234265131,0,0,4.5151872e-14,1.1247251e-14,2.6764253e-15,5.3515593855387502,-16.945458083799807,-10.617977019370823,-4.9307707120843656,1.2299369955566701,2.7386264e-06,3.8642039e-06,5.1913428e-06,2.3221445e-06,1.5347646e-06
plan15,0.0,1,1,1.0e-06,0,0,EventLocationLimited,6.0267740818625244,2.6054181e-06,3092,5913,0,10,19.617878,0.178655,19.382711,0.000083,0.001569,0.443231,0.002288,8,0,0,8,1,456,0,0,15,0,9.955128,2.802113,0.050447,1.061050,6.0272324234265131,0,0,4.5152549e-14,1.1247251e-14,2.6764253e-15,5.3515593855470165,-16.945458083791792,-10.617977019356625,-4.9307707120828583,1.2299369955502397,2.7386095e-06,3.864195e-06,5.1913208e-06,2.322144e-06,1.5347868e-06
plan15,0.0,1,1,1.0e-08,1,0,EventLocationLimited,6.026774081862742,2.2032671e-08,328,328,254,0,1.165953,0.179259,0.983782,0.000039,0.001429,0.431322,0.001750,8,0,0,8,1,328,0,0,0,0,0.355698,0.114462,0.010111,1.027438,6.0272324234265131,0,0,4.5440645e-14,1.1208874e-14,2.6764253e-15,5.3515593739711367,-16.945458078813083,-10.617977031965143,-4.9307707227764626,1.2299369678093084,2.6144311e-06,3.8073261e-06,4.504864e-06,2.1907476e-06,1.1504105e-06
plan15,0.0,1,1,1.0e-08,0,0,EventLocationLimited,6.026774081862742,2.2032672e-08,328,582,0,0,1.431551,0.172575,1.254791,0.000030,0.001390,0.429926,0.001695,8,0,0,8,1,582,0,0,0,0,0.574017,0.115943,0.009911,1.020506,6.0272324234265131,0,0,4.5494588e-14,1.1208874e-14,2.6764253e-15,5.3515593739816438,-16.945458078806496,-10.617977031952309,-4.9307707227723245,1.2299369678105594,2.6144086e-06,3.8073127e-06,4.5048347e-06,2.1907392e-06,1.1504086e-06
plan15,0.5,0,0,1.0e-03,1,0,Converged,6.1205006645589828,0.0043222585,128,128,64,0,1.019036,0.297130,0.720433,0.000025,0.002326,0.428778,0.003231,8,0,0,8,1,128,56,56,0,0,0.209528,0.009133,0.002190,0.938787,6.1209627244296385,0,1.1114462e-09,5.4279902e-14,1.0123962e-14,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-03,0,0,Converged,6.1205006645589828,0.0043222585,128,192,0,0,1.115901,0.291059,0.823372,0.000020,0.002497,0.432451,0.001751,8,0,0,8,1,192,56,56,0,0,0.315433,0.008195,0.001822,0.946029,6.1209627244296385,0,1.1114462e-09,5.4243617e-14,1.0123962e-14,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,1,0,Converged,6.1205016288542371,0.00042465197,176,176,109,0,1.004523,0.283908,0.718841,0.000018,0.001367,0.415493,0.001661,8,0,0,8,1,176,56,56,0,0,0.248996,0.011197,0.002170,0.939581,6.1209627244296385,0,1.019971e-09,5.4346679e-14,1.0055176e-14,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,0,0,Converged,6.1205016288542371,0.00042465197,176,285,0,0,1.177904,0.282351,0.893889,0.000019,0.001359,0.435179,0.001612,8,0,0,8,1,285,56,56,0,0,0.359755,0.010450,0.002216,0.935652,6.1209627244296385,0,1.019971e-09,5.4307563e-14,1.0055176e-14,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,1,0,Converged,6.1205016227633111,2.1517843e-05,216,216,146,0,1.117678,0.282140,0.833287,0.000018,0.001345,0.450337,0.001627,8,0,0,8,1,216,56,56,0,0,0.318129,0.012597,0.002753,0.934160,6.1209627244296385,0,1.0754382e-09,5.4373419e-14,9.992235e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,0,0,Converged,6.1205016227633111,2.1517843e-05,216,362,0,0,1.349057,0.279791,1.067337,0.000020,0.001270,0.436942,0.001614,8,0,0,8,1,362,56,56,0,0,0.501404,0.012978,0.002922,0.938645,6.1209627244296385,0,1.0754382e-09,5.4395148e-14,9.992235e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
