max_level grad_rtol kind name u parameter rounds tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
6 0.01 budget caustic-cross 0.5 0 8 0.001 3 207 1 33.289335638821051 104.03539365678409 88.704229744347884 2 0 0 Converged 2 88.701968589680703 0.0022473151394897736 1.9945140012907817e-10
6 0.01 budget caustic-cross 0.5 0 32 0.001 3 543 1 33.289335638821051 81.026683441390958 15.674546923012239 2 0 0 Converged 2 15.618279899303158 0.056253270070224071 3.3274703600103318e-10
6 0.01 budget caustic-cross 0.5 0 64 0.001 3 995 1 33.289335638821051 77.832315907241835 3.9073785397921097 2 0 0 Converged 2 3.7444871718238026 0.16287761408299853 5.7919696369889044e-10
6 0.001 budget caustic-cross 0.5 0 8 0.001 3 207 1 33.289335638821051 104.03539365678409 88.704229744347884 2 0 0 Converged 2 88.701968589680703 0.0022473151394897736 1.9945140012907817e-10
6 0.001 budget caustic-cross 0.5 0 32 0.001 3 543 1 33.289335638821051 81.026683441390958 15.674546923012239 2 0 0 Converged 2 15.618279899303158 0.056253270070224071 3.3274703600103318e-10
6 0.001 budget caustic-cross 0.5 0 64 0.001 3 995 1 33.289335638821051 77.832315907241835 3.9073785397921097 2 0 0 Converged 2 3.7444871718238026 0.16287761408299853 5.7919696369889044e-10
8 0.01 budget caustic-cross 0.5 0 8 0.001 3 434 1 33.289335638821051 78.365232382151305 7.8031664605938991 2 0 0 Converged 2 7.7468980098459594 0.056255225205513501 4.601132267122323e-08
8 0.01 budget caustic-cross 0.5 0 32 0.001 3 1371 1 33.289335638821051 91.049477326891761 33.074769435899313 2 0 0 Converged 2 32.911873504997267 0.16288217700801219 5.8793169913605594e-10
8 0.01 budget caustic-cross 0.5 0 64 0.001 3 2507 1 33.289335638821051 78.075391963666064 2.9242829741497292 2 0 0 Converged 2 2.7307881803593297 0.19348103954835338 9.3593394561035071e-10
8 0.001 budget caustic-cross 0.5 0 8 0.001 3 434 1 33.289335638821051 78.365232382151305 7.8031664605938991 2 0 0 Converged 2 7.7468980098459594 0.056255225205513501 4.601132267122323e-08
8 0.001 budget caustic-cross 0.5 0 32 0.001 3 1371 1 33.289335638821051 91.049477326891761 33.074769435899313 2 0 0 Converged 2 32.911873504997267 0.16288217700801219 5.8793169913605594e-10
8 0.001 budget caustic-cross 0.5 0 64 0.001 3 2507 1 33.289335638821051 78.075391963666064 2.9242829741497292 2 0 0 Converged 2 2.7307881803593297 0.19348103954835338 9.3593394561035071e-10
