case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes
0 uniform 4 23 0.39081500000000002 2.3458220510894816 1 45 0.24218999999999999 0.010508 0.11611700000000001 0.0024690000000000003 0.00072000000000000005 0.0026480000000000002 0.0094389999999999995 0.050854000000000003 0.074464000000000002 0 0.025538999999999999 0.000776 0.00061799999999999995 0.0011440000000000001 0.0032399999999999998 0.089286000000000004 0.020021999999999995 0 0 3 19 18
1 linear 0 0 0.51359900000000003 43.386473901256721 1 67 0.3634 0.011599999999999999 0.111375 0.0040270000000000002 0.0010549999999999999 0.0031110000000000001 0.011192000000000001 0.19282199999999999 0.033922000000000001 0 0.026148999999999999 0.00090600000000000001 0.0046699999999999997 0.001103 0.0036259999999999994 0.049734999999999994 0.028389999999999995 0.0071370000000000027 0 0 0 0
1 linear 0 7 0.39404899999999998 45.580868130123235 1 67 0.21865299999999999 0.011089999999999999 0.13728700000000002 0.0036760000000000004 0.0010019999999999999 0.0028219999999999999 0.010474000000000001 0.055766999999999997 0.032601999999999999 0 0.024899999999999999 0.000776 0.0044660000000000004 0.001008 0.0035259999999999996 0.076026999999999983 0.028964999999999991 0.0073870000000000029 0 1 32 32
1 linear 0 15 0.394791 47.482169432048735 1 67 0.21898100000000001 0.011276 0.13744599999999996 0.0037959999999999999 0.00092999999999999995 0.0026909999999999998 0.010115000000000001 0.056898999999999998 0.032877000000000003 0 0.025364000000000001 0.00077200000000000001 0.0044099999999999999 0.00099400000000000009 0.0035750000000000005 0.077407999999999963 0.027907999999999995 0.007126000000000003 0 2 32 32
1 linear 0 23 0.38874300000000001 48.662953194529472 1 67 0.21940599999999999 0.011067 0.13152200000000003 0.0037430000000000002 0.00087799999999999998 0.0027620000000000001 0.010189 0.058300999999999999 0.033243000000000002 0 0.026457000000000001 0.00079100000000000004 0.0042550000000000001 0.00089400000000000005 0.0035439999999999994 0.070762000000000033 0.02879300000000001 0.0071390000000000021 0 3 32 32
1 linear 1 0 0.74728399999999995 85.389445682910434 1 59 0.60176499999999999 0.011414000000000001 0.110439 0.0033349999999999999 0.00094900000000000008 0.0028809999999999999 0.010406 0.19602800000000001 0.083755999999999997 0 0.026806 0.00078799999999999996 0.19370399999999999 0.00085400000000000005 0.0035849999999999996 0.05056900000000001 0.027285000000000004 0.0061870000000000033 0 0 0 0
1 linear 1 7 0.62853400000000004 85.251867954852059 1 59 0.456673 0.011419 0.13728799999999999 0.0030330000000000001 0.00077499999999999986 0.002643 0.0097649999999999994 0.058824000000000001 0.062447000000000003 0 0.025914 0.00087699999999999996 0.211616 0.001057 0.0035329999999999997 0.077263999999999958 0.027719999999999998 0.0063360000000000022 0 1 32 32
1 linear 1 15 0.62445200000000001 85.046616417401879 1 59 0.45494299999999999 0.011034 0.13547600000000007 0.0030660000000000001 0.00078299999999999995 0.0024910000000000002 0.0092809999999999993 0.054920999999999998 0.072715000000000002 0 0.025996999999999999 0.00083100000000000003 0.20549800000000001 0.0010939999999999999 0.0035360000000000001 0.07508800000000003 0.028609000000000006 0.0061820000000000026 0 2 32 32
1 linear 1 23 0.59726000000000001 84.791391310569054 1 59 0.42643700000000001 0.011148 0.13566300000000001 0.003441 0.00079799999999999999 0.002532 0.0095479999999999992 0.058777999999999997 0.10568 0 0.025485000000000001 0.00081400000000000005 0.13833900000000002 0.00092299999999999999 0.0035599999999999998 0.077630000000000005 0.026063000000000003 0.0061799999999999989 0 3 32 32
1 linear 2 0 1.005555 68.841396263097877 1 90 0.80257800000000001 0.011457999999999999 0.155774 0.0059139999999999991 0.0013650000000000001 0.0028110000000000001 0.010487 0.18607199999999999 0.083348000000000005 0 0.0263 0.00081499999999999997 0.40443399999999996 0.0010920000000000001 0.0035900000000000003 0.069895000000000013 0.043965999999999998 0.0098810000000000009 0 0 0 0
