case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms
0 linear 2 23 69.917734999999993 2.5300557252343201 1 61 69.558738000000005 0.025767000000000002 0.28637499999999999 0.0095610000000000001 0.001853 0.010466 0.027883000000000002 0.014187999999999999 0.25803599999999999 69.047393 0.096228000000000008 2.0000000000000002e-05 0.015772999999999999 0.012911000000000001 0.0084699999999999984 0.20056500000000008 0.035990999999999995 0.010386000000000006 0 3 17 16 0 0 0 0 0 0 69.418486999999999 69.533879999999996 0.0086560000000000005 0.011058 0.020895 0.0014940000000000001 0 1 1 8 0.0026246619501964687 1 50 17 33 1 15 16 0 7 106 17 3 41 0.15312499999999998
0 linear 3 0 0.74181299999999994 488.05716329461848 1 83 0.53216799999999997 0.02545 0.15311200000000003 0.0060359999999999997 0.001402 0.010414 0.03431 0.18127099999999999 0.123268 0 0.0083400000000000002 0.003408 0.111813 0.001884 0.0042690000000000002 0.081222999999999976 0.034891000000000019 0.0093500000000000007 0 0 0 0 0.005535 1 0 0 14 0 0.33289400000000002 0.52208900000000003 0.0055209999999999999 0.0021900000000000001 0.020506 2.5999999999999998e-05 0 0 0 0 0 0 74 56 18 4 4 8 0 4 194 56 5 22 0.052043999999999986
0 linear 3 7 0.59843199999999996 497.79296944733449 1 83 0.36723600000000001 0.015903 0.187808 0.0055569999999999994 0.0011700000000000002 0.0032299999999999998 0.009247 0.016407999999999999 0.090305999999999997 0 0.0036930000000000001 0.0010610000000000001 0.20232200000000003 0.00079100000000000004 0.003578 0.12096100000000004 0.033269 0.0092859999999999991 0 1 56 56 0.0029520000000000002 1 0 0 14 0 0.120305 0.36117500000000002 0.0035690000000000001 0.0028419999999999999 0.017750999999999996 2.5000000000000001e-05 0 2 1 16 0.0088212496358149681 2 74 56 18 4 4 8 0 4 194 56 5 22 0.09239200000000003
0 linear 3 15 0.60994599999999999 510.01575430523633 1 83 0.381718 0.015795 0.18545499999999998 0.0053790000000000001 0.0011670000000000001 0.0024320000000000001 0.0083730000000000002 0.0080249999999999991 0.090273999999999993 0 0.0033319999999999999 0.00091699999999999995 0.22847999999999999 0.000611 0.0035200000000000001 0.118646 0.033193 0.0092890000000000056 0 2 54 54 0.002833 1 0 0 14 0 0.10841099999999999 0.37609399999999998 0.0012520000000000001 0.002431 0.020676000000000003 2.6999999999999999e-05 0 1 1 8 0.0009877516298322979 1 74 54 20 6 4 10 0 6 195 54 5 24 0.090201999999999991
0 linear 3 23 4.602271 523.73782250076636 1 99 0.28550199999999998 0.015124 4.2575639999999995 0.010207999999999998 0.0015500000000000002 0.0023419999999999999 0.0077780000000000002 0.0080400000000000003 0.089899000000000007 0 0.003388 0.000901 0.13882500000000003 0.00056800000000000004 0.0033960000000000001 4.1601659999999985 0.04352000000000001 0.015932999999999999 0 3 68 68 0.002921 1 0 0 14 0 0.10797 0.28030899999999997 0.0013129999999999999 0.0023270000000000001 0.016175000000000002 1.5999999999999999e-05 0 1 1 8 0.0017264993823830933 1 90 68 22 6 6 12 0 8 239 68 5 26 4.1258429999999997
0 linear 4 0 0.58889499999999995 2.6196476657497758 1 52 0.36074099999999998 0.019753 0.18590599999999993 0.003986 0.00092500000000000004 0.0059490000000000003 0.017739999999999999 0.17963799999999999 0.077840000000000006 0 0.017731 0.0017080000000000001 0.0010740000000000001 0.0048580000000000003 0.0044610000000000006 0.131163 0.023694000000000003 0.0058570000000000002 0 0 0 0 0.004542 1 0 0 10 0 0.29041299999999998 0.349327 0.0023189999999999999 0.006084 0.015521 0.00020699999999999999 0 0 0 0 0 0 47 15 32 2 8 10 0 6 63 15 4 33 0.10809200000000001
0 linear 4 7 0.33248899999999998 2.5174331937787979 1 52 0.152721 0.012278000000000001 0.14835099999999998 0.0067689999999999998 0.00079100000000000004 0.0027469999999999999 0.0085769999999999996 0.0093970000000000008 0.082653000000000004 0 0.014356000000000001 0.00091600000000000004 0.00057400000000000007 0.0012229999999999999 0.0033310000000000002 0.099243000000000012 0.023800999999999996 0.005749999999999999 0 1 25 24 0.0030730000000000002 1 0 0 10 0 0.115817 0.14674300000000001 0.001977 0.0042849999999999997 0.011584000000000002 2.6999999999999999e-05 0 1 1 8 0.002527145321730481 1 52 25 27 3 6 9 0 6 86 25 4 23 0.092882999999999979
0 linear 4 15 0.40232299999999999 2.4212389482948047 1 68 0.162878 0.010718999999999999 0.20945799999999992 0.0043660000000000001 0.00086200000000000014 0.0024940000000000001 0.0080680000000000005 0.0079209999999999992 0.10113900000000001 0 0.012057999999999999 0.00081700000000000002 0.00056700000000000001 0.0010059999999999999 0.0031090000000000002 0.14598799999999998 0.031351000000000004 0.0074050000000000001 0 2 28 23 0.0030049999999999999 1 0 0 10 0 0.12912199999999999 0.157611 0.001122 0.0038470000000000002 0.010645999999999999 2.5999999999999998e-05 0 1 1 8 0.0021007554509754668 1 67 28 39 2 9 11 0 8 103 28 4 36 0.135626
0 linear 4 23 0.33170899999999998 2.3408509317784856 1 61 0.124474 0.010822999999999999 0.17550300000000005 0.0041229999999999999 0.00096699999999999998 0.002392 0.0083289999999999996 0.0080890000000000007 0.062523999999999996 0 0.011958 0.00083799999999999999 0.00059100000000000005 0.0010430000000000001 0.0030860000000000002 0.11985999999999997 0.027704000000000003 0.0067080000000000004 0 3 25 23 0.0028809999999999999 1 0 0 10 0 0.090406 0.119224 0.001114 0.0037559999999999998 0.010502000000000001 2.3e-05 0 1 1 8 0.059615655559615663 1 53 25 28 3 8 11 0 6 96 25 3 33 0.096031999999999978
0 uniform 0 0 69.748051000000004 6.8139867820913782 1 67 69.46293 0.025974000000000001 0.21885900000000003 0.0069249999999999997 0.0022339999999999999 0.0024740000000000001 0.0079799999999999992 0.178676 0.328955 68.721795999999998 0.097162999999999999 3.0000000000000001e-05 0.06679199999999999 0.006215 0.0063370000000000006 0.17207799999999993 0.032973999999999996 0 0 0 0 0 0 0 0 0 0 0 69.315236999999996 69.444284999999994 0.000892 0.010699999999999999 0.020997000000000002 0.00039199999999999999 0 0 0 0 0 0 54 13 41 2 10 12 0 6 65 13 5 49 0.12740199999999999
