# fair V2 pure finite-source kernel; HEAD=8a9f701; n_r=64; timer=flux_value_integrate only; LensParams/PrimaryFrame/classify_cells(D14+topology)/I-O outside timer; no epoch_value; mapping=LensParams{time,y,rho,1/q,s,true}; repeats=3 median
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference v2_mu F0 F_half status_code status ms ratio_v2_over_reference relative_error
1 1 uniform 1 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6259738906568106 0.00026457903044116242 -1.6259708696591186 0 1.6350698644597705 82.752277476412431 82.756106555890256 6.403985065969178e-07 0 0 OK 0.31900000000000001 1.0000462715902763 4.6271590276367713e-05
1 1 uniform 1 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6259738906568106 0.00026457903044116242 -1.6259639645215367 0 1.6350629593221886 82.404432962833312 82.408288541114871 6.3770695733850474e-07 0 0 OK 0.32072299999999998 1.0000467884814315 4.6788481431553802e-05
1 1 uniform 2 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582546049530371 0 1.667353599753689 70.36736576534669 70.371285785674004 5.4456001133904171e-07 0 0 OK 0.28792699999999999 1.0000557079305823 5.5707930582281962e-05
1 1 uniform 2 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582485629576529 0 1.6673475577583048 62.370754271225572 62.373115488570427 4.8266710062901761e-07 0 0 OK 0.397397 1.0000378577647882 3.7857764788084974e-05
1 1 uniform 2 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582416578200712 0 1.6673406526207231 57.896245235044276 57.898352515470563 4.4803966774691359e-07 0 0 OK 0.38683299999999998 1.000036397531787 3.6397531786942827e-05
1 1 uniform 2 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6582446788177632 -0.024701825376412103 -1.6582347526824892 0 1.6673337474831411 54.883099812361266 54.88504567850925 4.247215432166706e-07 0 0 OK 0.28928500000000001 1.0000354547420724 3.5454742072463377e-05
1 1 uniform 3 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315204275171458 0 1.6406194223177977 39.82385624119113 39.823855487877651 3.0817227444290758e-07 0 0 OK 0.31577100000000002 0.99999998108386401 1.8916135961046195e-08
1 1 uniform 3 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315143855217615 0 1.6406133803224134 40.492618673904261 40.492617830494893 3.1334741405863006e-07 0 0 OK 0.31331799999999999 0.99999997917128125 2.0828718785195959e-08
1 1 uniform 3 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315074803841798 0 1.6406064751848317 41.315262378972811 41.315261405392555 3.1971334569498874e-07 0 0 OK 0.31945800000000002 0.99999997643533645 2.3564663525147938e-08
1 1 uniform 3 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6315105013818718 0.0015986042237884001 -1.6315005752465979 0 1.6405995700472498 42.211166017099927 42.211164900935984 3.2664619070762226e-07 0 0 OK 0.31803300000000001 0.99999997355761405 2.644238595638314e-08
1 1 uniform 4 0 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572304927221562 0 1.6663294875228081 3.8620667748591222 3.8620667486261882 2.9886154401518151e-08 0 0 OK 0.12812699999999999 0.99999999320753996 6.7924599900788271e-09
1 1 uniform 4 7 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572244507267719 0 1.6663234455274238 3.8558325439732508 3.8558325177837931 2.9837911531143941e-08 0 0 OK 0.12483 0.99999999320783317 6.7921667797876043e-09
1 1 uniform 4 15 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572175455891902 0 1.6663165403898421 3.8487530283500067 3.8487530022062719 2.978312752314796e-08 0 0 OK 0.126355 0.99999999320721944 6.7927805551737703e-09
1 1 uniform 4 23 2.1336080847516863 0.0042828693196420133 4.9630676369625602e-05 -1.6572205665868822 0.022790952304382966 -1.6572106404516083 0 1.6663096352522602 3.8417213392492799 3.8417213131562158 2.9728713615172861e-08 0 0 OK 0.125698 0.99999999320797583 6.7920241604241664e-09
2 2 linear 0 0 1.0835258487192334 0.0011934930867489777 0.0064377438689594306 -0.16008332749208662 -0.040867077745903112 -0.16137087626587851 0.5 0.16266251531336498 7.3041753419112512 7.3042813596152127 0.00094161012901963878 0.00064344183259939624 0 OK 0.54834799999999995 1.0000145146712667 1.4514671266616708e-05
2 2 linear 0 7 1.0835258487192334 0.0011934930867489777 0.0064377438689594306 -0.16008332749208662 -0.040867077745903112 -0.16058715092530954 0.5 0.16187878997279601 7.3383054628708386 7.3384316979112185 0.00094586182848372736 0.00064660086364266703 0 OK 0.55735800000000002 1.0000172022057434 1.720220574335583e-05
