case_id profile d_bin epoch target lane whole_ms topology_ms seed_ms band_ms mu reference relerr converged stop status support seeds bands probes nodes panels splits g0 g1 g2 g3 g4 q0 q1 q2 q3 q4
0 linear 1 23 0.001 d14-jac 2.238197 0.71225700000000003 0 0 599.54254534948893 599.53614633227335 1.0673280092838636e-05 1 Converged OK 0 0 0 0 288 8 0 115619.42720585642 6474869.2515886063 2621495.2340814634 -200.48122734899937 24749.360806884935 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 23 0.001 seed-cold-jac 21.236035999999999 6.9252140000000004 1.5089649999999999 5.3985180000000001 599.54052609416192 599.53614633227335 7.3052507598842592e-06 1 Converged OK 1 140 4 615 1874 8 6 133386.49203711588 6437544.6515495256 2577074.4160622195 1047.9656509176925 47866.11303451311 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 23 0.001 seed-warm-jac 20.780714 5.3826539999999996 0.00197 5.3615839999999997 599.54052609416192 599.53614633227335 7.3052507598842592e-06 1 Converged OK 1 140 4 615 1874 8 6 133386.49203711588 6437544.6515495256 2577074.4160622195 1047.9656509176925 47866.11303451311 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 0 0.0001 d14-value 1.799059 0.90952 0 0 589.77373817346529 589.76910771294774 7.8513107197201476e-06 1 Converged OK 0 0 0 0 233 7 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 0 0.0001 seed-cold-value 27.428561999999999 5.8546420000000001 1.4542079999999999 4.3841200000000002 589.77348614076277 589.76910771294774 7.4239694106833754e-06 1 Converged OK 1 113 4 535 2462 10 8 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 0 0.0001 seed-warm-value 25.317771 9.2153329999999993 4.9291689999999999 4.2633169999999998 589.77348614076277 589.76910771294774 7.4239694106833754e-06 1 Converged OK 1 113 4 535 2462 10 8 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 0 0.0001 d14-jac 3.5524719999999999 0.90206200000000003 0 0 589.77373817346529 589.76910771294774 7.8513107197201476e-06 1 Converged OK 0 0 0 0 439 8 1 182457.3999085929 5984320.9070842639 2235176.675221947 871.98253035674963 57749.937842275198 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 0 0.0001 seed-cold-jac 24.541186 5.6365990000000004 1.294335 4.3260959999999997 589.77348614076277 589.76910771294774 7.4239694106833754e-06 1 Converged OK 1 113 4 535 2500 11 9 163048.43515347334 6007667.7697131317 2265137.2655007616 -302.86900287929762 35324.308195390717 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 0 0.0001 seed-warm-jac 21.349730999999998 4.2740729999999996 0.0013209999999999999 4.2529510000000004 589.77348614076277 589.76910771294774 7.4239694106833754e-06 1 Converged OK 1 113 4 535 2500 11 9 163048.43515347334 6007667.7697131317 2265137.2655007616 -302.86900287929762 35324.308195390717 FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified FiniteUncertified
0 linear 1 7 0.0001 d14-value 1.43763 0.77314000000000005 0 0 593.08564090426637 593.08183624951698 6.4150586257156437e-06 1 Converged OK 0 0 0 0 185 7 0 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 7 0.0001 seed-cold-value 30.486619000000001 5.7486639999999998 1.310824 4.4187000000000003 593.08517491956457 593.08183624951698 5.6293581147179427e-06 1 Converged OK 1 113 4 535 3026 12 10 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 7 0.0001 seed-warm-value 21.168960999999999 4.4015009999999997 0.14035700000000001 4.239573 593.08517491956457 593.08183624951698 5.6293581147179427e-06 1 Converged OK 1 113 4 535 3026 12 10 0 0 0 0 0 NotRequested NotRequested NotRequested NotRequested NotRequested
0 linear 1 7 0.0001 d14-jac 3.1703809999999999 0.77674100000000001 0 0 593.08564090426637 593.08183624951698 6.4150586257156437e-06 1 Converged OK 0 0 0 0 425 7 0 151124.65189205256 6138106.5919355182 2357620.2910648915 -260.62268739183617 32905.900362804874 FiniteUncertified ToleranceMet FiniteUncertified FiniteUncertified FiniteUncertified
