rounds panel cell depth level slot R jac weight grad cold fd fdhalf value coldvalue reliable a b
0 3 7 0 6 15 0.88911511753667827 0.0042038230669878144 0.033452947058376835 -26.546269228826809 -26.546269228826649 -26.546269200850372 -26.546269111688538 0.412572201130741 0.41257220113074289 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 16 0.88896354785359577 0.0047530462006424024 0.034222097692524628 -26.423542861618593 -26.423542861618753 -26.423542823551244 -26.423542892953577 0.5271793117903405 0.52717931179033861 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 17 0.88878433420697556 0.0053299132978345959 0.036859320775039686 -26.278453977433813 -26.278453977433834 -26.278454001194874 -26.278453911439865 0.66255439473584399 0.66255439473584232 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 18 0.88857503670007398 0.0059330346351996761 0.037457059432884354 -26.109047387272913 -26.109047387272589 -26.109047403220973 -26.109047368652444 0.82046949105703915 0.82046949105704892 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 19 0.88833331556624662 0.0065609572406087353 0.039915389201356559 -25.913462396824723 -25.913462396824681 -25.913462394007869 -25.913462391210761 1.0026000851328909 1.0026000851328947 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 20 0.88805696419475877 0.0072121683935058257 0.040326612911957334 -25.689966285397173 -25.689966285397222 -25.689966265240656 -25.689966194521812 1.2104973849854468 1.2104973849854492 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 21 0.887743941305703 0.0078850992691842526 0.042591731599818605 -25.436989683561691 -25.436989683561681 -25.436989695474736 -25.436989707240404 1.4455615402549999 1.4455615402550128 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 22 0.88739240193784374 0.0085781287182227148 0.042803114473290341 -25.153164316301567 -25.153164316301588 -25.153164224973491 -25.153164449883679 1.7090162433584388 1.7090162433584357 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 23 0.88700072692366672 0.0092895871719762893 0.044862579727657788 -24.837363741269609 -24.837363741269655 -24.837363730605954 -24.837363797932568 2.0018851807712994 2.0018851807713034 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 24 0.88656755053956882 0.010017760664713465 0.044862709063260196 -24.488747904517659 -24.488747904517698 -24.488747876894621 -24.488747813544002 2.3249708219878551 2.3249708219878591 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 25 0.88609178603585659 0.010760894962709782 0.046706067999326077 -24.106812564887957 -24.106812564888006 -24.10681257537205 -24.106812533318635 2.6788360541414642 2.6788360541414686 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 26 0.88557264877086661 0.011517199790350487 0.046485558558213652 -23.691444910970834 -23.69144491097093 -23.691444928259589 -23.691444985543825 3.0637891911375363 3.063789191137531 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 27 0.88500967669589581 0.012284853143061309 0.048104445073650678 -23.242987020566744 -23.242987020566851 -23.242987030020664 -23.242987110326666 3.4798729080558664 3.4798729080558646 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 28 0.8844027479625145 0.013062005676677084 0.047656032084111705 -22.762309203328432 -22.762309203328332 -22.762309197904308 -22.762309285146774 3.9268576749693493 3.9268576749693578 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 29 0.88375209545099676 0.013846785162673811 0.049044245345541575 -22.250895735896233 -22.250895735896268 -22.250895707785951 -22.250895745173136 4.4042402893527086 4.4042402893527157 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 30 0.88305831804777724 0.014637300998531146 0.048362856154665609 -21.710946060692084 -21.710946060692169 -21.710945985199636 -21.710945970639035 4.9112481325684518 4.9112481325684367 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 31 0.88232238853075684 0.015431648762359515 0.049516418919426049 -21.145495191626807 -21.145495191626843 -21.145495206287872 -21.145495287427732 5.4468498023908234 5.4468498023908323 1 0.85720378575239498 0.88965961535403337
0 3 7 0 6 32 0.88154565795362372 0.016227914800819199 0.048599223026541988 -20.558557870976671 -20.55855787097671 -20.558557997405163 -20.558557683772108 6.0097727979042679 6.0097727979042785 1 0.85720378575239498 0.88965961535403337
