case_id configuration_id profile d_bin_index epoch_index topology_status topology_cells empty_cells arc_cells full_cells degenerate_cells physical_events
11 11 linear 1 15 OK 17 3 11 3 0 10
11 11 linear 1 23 OK 17 3 11 3 0 10
11 11 linear 2 0 OK 13 5 8 0 0 4
11 11 linear 2 7 OK 14 7 7 0 0 6
11 11 linear 2 15 OK 14 7 7 0 0 6
11 11 linear 2 23 OK 14 8 6 0 0 6
11 11 linear 3 0 OK 13 8 5 0 0 6
11 11 linear 3 7 OK 13 8 5 0 0 6
11 11 linear 3 15 OK 13 8 5 0 0 6
11 11 linear 3 23 OK 13 8 5 0 0 6
11 11 linear 4 0 OK 13 8 5 0 0 6
11 11 linear 4 7 OK 13 8 5 0 0 6
11 11 linear 4 15 OK 13 8 5 0 0 6
11 11 linear 4 23 OK 13 8 5 0 0 6
11 11 uniform 0 0 OK 17 3 12 2 0 10
11 11 uniform 0 7 OK 16 3 10 3 0 8
11 11 uniform 0 15 OK 16 3 10 3 0 8
11 11 uniform 0 23 OK 16 4 9 3 0 8
11 11 uniform 1 0 OK 15 2 11 2 0 6
11 11 uniform 1 7 OK 15 2 11 2 0 5
11 11 uniform 1 15 OK 17 3 11 3 0 10
11 11 uniform 1 23 OK 17 3 11 3 0 10
11 11 uniform 2 0 OK 13 5 8 0 0 4
11 11 uniform 2 7 OK 14 7 7 0 0 6
11 11 uniform 2 15 OK 14 7 7 0 0 6
11 11 uniform 2 23 OK 14 8 6 0 0 6
11 11 uniform 3 0 OK 13 8 5 0 0 6
11 11 uniform 3 7 OK 13 8 5 0 0 6
11 11 uniform 3 15 OK 13 8 5 0 0 6
11 11 uniform 3 23 OK 13 8 5 0 0 6
11 11 uniform 4 0 OK 13 8 5 0 0 6
11 11 uniform 4 7 OK 13 8 5 0 0 6
11 11 uniform 4 15 OK 13 8 5 0 0 6
11 11 uniform 4 23 OK 13 8 5 0 0 6
12 12 linear 0 0 OK 14 8 6 0 0 8
12 12 linear 0 7 OK 14 8 6 0 0 8
12 12 linear 0 15 OK 14 8 6 0 0 8
12 12 linear 0 23 OK 14 8 6 0 0 8
12 12 linear 1 0 OK 14 9 5 0 0 8
12 12 linear 1 7 OK 14 9 5 0 0 8
12 12 linear 1 15 OK 14 9 5 0 0 8
12 12 linear 1 23 OK 14 9 5 0 0 8
12 12 linear 2 0 OK 14 9 5 0 0 8
12 12 linear 2 7 OK 15 10 5 0 0 10
12 12 linear 2 15 OK 15 10 5 0 0 10
12 12 linear 2 23 OK 15 10 5 0 0 10
12 12 linear 3 0 OK 13 10 3 0 0 6
12 12 linear 3 7 OK 13 10 3 0 0 6
12 12 linear 3 15 OK 13 10 3 0 0 6
12 12 linear 3 23 OK 13 10 3 0 0 6
12 12 linear 4 0 OK 15 10 5 0 0 10
12 12 linear 4 7 OK 15 10 5 0 0 10
12 12 linear 4 15 OK 15 10 5 0 0 10
12 12 linear 4 23 OK 15 10 5 0 0 10
12 12 uniform 0 0 OK 14 8 6 0 0 8
12 12 uniform 0 7 OK 14 8 6 0 0 8
12 12 uniform 0 15 OK 14 8 6 0 0 8
12 12 uniform 0 23 OK 14 8 6 0 0 8
12 12 uniform 1 0 OK 14 9 5 0 0 8
12 12 uniform 1 7 OK 14 9 5 0 0 8
12 12 uniform 1 15 OK 14 9 5 0 0 8
12 12 uniform 1 23 OK 14 9 5 0 0 8
12 12 uniform 2 0 OK 14 9 5 0 0 8
12 12 uniform 2 7 OK 15 10 5 0 0 10
12 12 uniform 2 15 OK 15 10 5 0 0 10
12 12 uniform 2 23 OK 15 10 5 0 0 10
12 12 uniform 3 0 OK 13 10 3 0 0 6
12 12 uniform 3 7 OK 13 10 3 0 0 6
12 12 uniform 3 15 OK 13 10 3 0 0 6
