sample	physical_oracle	physical0	physical2	physical4
1001	6	2	5	7
1002	8	2	6	8
1003	10	2	5	9
1004	6	4	6	6
1005	6	4	6	6
1006	6	4	6	6
1007	6	4	6	6
1008	6	0	1	2
1009	6	0	1	3
1010	6	0	1	3
1011	6	0	1	3
1012	6	0	1	2
1013	6	0	1	2
1014	6	0	1	2
1015	6	0	1	2
1016	6	0	2	2
1017	6	0	2	2
1018	6	0	2	2
1019	6	0	2	2
1020	6	2	6	6
1021	6	2	5	7
1022	8	2	6	8
1023	10	2	5	9
1024	6	4	6	6
1025	6	4	6	6
1026	6	4	6	6
1027	6	4	6	6
1028	6	0	1	2
1029	6	0	1	3
1030	6	0	1	3
1031	6	0	1	3
1032	6	0	1	2
1033	6	0	1	2
1034	6	0	1	2
1035	6	0	1	2
1036	6	0	2	2
1037	6	0	2	2
1038	6	0	2	2
1039	6	0	2	2
1040	6	0	0	0
1041	6	0	0	0
1042	6	0	0	0
1043	6	0	0	0
1044	8	0	0	0
1045	8	0	0	0
1046	8	0	0	0
1047	8	0	0	0
1048	10	0	0	0
1049	10	0	0	0
1050	8	0	0	0
1051	8	0	0	0
1052	6	0	0	0
1053	6	0	0	0
1054	6	0	0	0
1055	6	0	0	0
1056	10	1	0	1
1057	10	1	0	1
1058	10	1	0	1
1059	10	1	1	1
1060	6	0	0	0
1061	6	0	0	0
1062	6	0	0	0
1063	6	0	0	0
1064	8	0	0	0
1065	8	0	0	0
1066	8	0	0	0
1067	8	0	0	0
1068	10	0	0	0
1069	10	0	0	0
1070	8	0	0	0
1071	8	0	0	0
1072	6	0	0	0
1073	6	0	0	0
1074	6	0	0	0
1075	6	0	0	0
1076	10	1	0	1
1077	10	1	0	1
1078	10	1	0	1
1079	10	1	1	1
1080	8	0	0	2
1081	8	0	0	2
1082	8	0	0	2
1083	8	0	0	2
1084	6	0	0	0
1085	6	0	0	0
1086	6	0	0	0
1087	6	0	0	0
1088	8	0	1	1
1089	8	0	0	1
1090	8	0	0	1
1091	8	0	0	1
1092	10	0	1	1
1093	10	0	1	1
1094	10	0	1	1
1095	10	0	1	1
1096	10	0	0	0
1097	10	0	0	0
1098	10	0	0	0
1099	10	0	0	0
1100	8	0	0	2
1101	8	0	0	2
1102	8	0	0	2
1103	8	0	0	2
1104	6	0	0	0
1105	6	0	0	0
1106	6	0	0	0
1107	6	0	0	0
1108	8	0	1	1
1109	8	0	0	1
1110	8	0	0	1
1111	8	0	0	1
1112	10	0	1	1
1113	10	0	1	1
1114	10	0	1	1
1115	10	0	1	1
1116	10	0	0	0
1117	10	0	0	0
1118	10	0	0	0
1119	10	0	0	0
1120	8	0	0	0
1121	8	0	0	0
1122	8	0	0	0
1123	8	0	0	0
1124	8	0	0	0
1125	8	0	0	0
1126	8	0	0	0
1127	8	0	0	0
1128	10	0	0	0
1129	10	0	0	0
1130	10	0	0	0
1131	10	0	0	0
1132	6	0	0	0
1133	6	0	0	0
1134	6	0	0	0
1135	6	0	0	0
1136	10	0	0	0
1137	10	0	0	0
1138	10	0	0	0
1139	10	0	0	0
1140	8	0	0	0
1141	8	0	0	0
1142	8	0	0	0
1143	8	0	0	0
1144	8	0	0	0
1145	8	0	0	0
1146	8	0	0	0
1147	8	0	0	0
1148	10	0	0	0
1149	10	0	0	0
1150	10	0	0	0
1151	10	0	0	0
1152	6	0	0	0
1153	6	0	0	0
1154	6	0	0	0
1155	6	0	0	0
1156	10	0	0	0
1157	10	0	0	0
1158	10	0	0	0
1159	10	0	0	0
1160	8	0	0	0
1161	8	0	0	0
1162	8	0	0	0
1163	8	0	0	0
1164	8	0	0	0
1165	8	0	0	0
1166	8	0	0	0
1167	8	0	0	0
1168	6	0	0	0
1169	8	0	3	3
1170	8	0	3	3
1171	8	0	2	3
1172	6	0	0	0
1173	6	0	0	0
1174	6	0	0	0
1175	6	0	0	0
1176	10	0	0	0
1177	10	0	0	0
1178	10	0	0	0
1179	10	0	0	0
1180	8	0	0	0
1181	8	0	0	0
1182	8	0	0	0
1183	8	0	0	0
1184	8	0	0	0
1185	8	0	0	0
1186	8	0	0	0
1187	8	0	0	0
1188	6	0	0	0
1189	8	0	3	3
1190	8	0	3	3
1191	8	0	2	3
1192	6	0	0	0
1193	6	0	0	0
1194	6	0	0	0
1195	6	0	0	0
1196	10	0	0	0
1197	10	0	0	0
1198	10	0	0	0
1199	10	0	0	0
1200	10	0	2	7
1201	10	0	2	7
1202	10	0	2	6
1203	8	0	1	4
1204	4	0	1	1
1205	4	0	1	1
1206	6	0	2	2
1207	6	1	1	5
1208	6	4	6	6
1209	8	6	8	8
1210	10	7	9	10
1211	10	5	8	10
1212	6	0	2	2
1213	6	0	2	2
1214	6	0	2	2
1215	6	0	2	2
1216	8	8	8	8
1217	8	8	8	8
1218	8	8	8	8
1219	8	8	8	8
1220	10	0	2	7
1221	10	0	2	7
1222	10	0	2	6
1223	8	0	1	4
1224	4	0	1	1
1225	4	0	1	1
1226	6	0	2	2
1227	6	1	1	5
1228	6	4	6	6
1229	8	6	8	8
1230	10	7	9	10
1231	10	5	8	10
1232	6	0	2	2
1233	6	0	2	2
1234	6	0	2	2
1235	6	0	2	2
1236	8	8	8	8
1237	8	8	8	8
1238	8	8	8	8
1239	8	8	8	8
1240	6	0	5	6
1241	6	0	5	6
1242	6	0	5	6
1243	6	0	5	6
1244	6	0	2	4
1245	6	0	2	2
1246	6	0	2	2
1247	6	0	2	2
1248	4	0	1	2
1249	4	0	1	3
1250	4	0	1	3
1251	6	0	2	4
1252	6	0	2	2
1253	6	0	2	3
1254	6	0	2	2
1255	6	0	2	2
1256	6	0	0	2
1257	6	0	0	1
1258	6	0	0	1
1259	6	0	0	1
1260	6	0	5	6
1261	6	0	5	6
1262	6	0	5	6
1263	6	0	5	6
1264	6	0	2	4
1265	6	0	2	2
1266	6	0	2	2
1267	6	0	2	2
1268	4	0	1	2
1269	4	0	1	3
1270	4	0	1	3
1271	6	0	2	4
1272	6	0	2	2
1273	6	0	2	3
1274	6	0	2	2
1275	6	0	2	2
1276	6	0	0	2
1277	6	0	0	1
1278	6	0	0	1
1279	6	0	0	1
1280	8	0	0	0
1281	8	0	0	0
1282	8	0	0	0
1283	8	0	0	0
1284	8	0	0	0
1285	8	0	0	0
1286	8	0	0	0
1287	8	0	0	0
1288	8	0	0	0
1289	8	0	0	0
1290	8	0	0	0
1291	6	0	0	0
1292	6	0	0	0
1293	6	0	0	0
1294	6	0	0	0
1295	6	0	0	0
1296	10	0	0	0
1297	10	0	0	0
1298	10	0	0	0
1299	10	0	0	0
1300	8	0	0	0
1301	8	0	0	0
1302	8	0	0	0
1303	8	0	0	0
1304	8	0	0	0
1305	8	0	0	0
1306	8	0	0	0
1307	8	0	0	0
1308	8	0	0	0
1309	8	0	0	0
1310	8	0	0	0
1311	6	0	0	0
1312	6	0	0	0
1313	6	0	0	0
1314	6	0	0	0
1315	6	0	0	0
1316	10	0	0	0
1317	10	0	0	0
1318	10	0	0	0
1319	10	0	0	0
1320	8	0	4	6
1321	8	0	3	5
1322	8	0	3	5
1323	8	0	2	3
1324	6	4	6	6
1325	6	4	6	6
1326	6	4	6	6
1327	6	4	6	6
1328	6	4	6	6
1329	10	8	10	10
1330	10	8	10	10
1331	10	8	10	10
1332	6	0	1	2
1333	6	0	1	2
1334	6	0	1	2
1335	6	0	2	2
1336	6	0	2	2
1337	6	0	2	2
1338	6	0	2	2
1339	6	0	2	2
1340	8	0	4	6
1341	8	0	3	5
1342	8	0	3	5
1343	8	0	2	3
1344	6	4	6	6
1345	6	4	6	6
1346	6	4	6	6
1347	6	4	6	6
1348	6	4	6	6
1349	10	8	10	10
1350	10	8	10	10
1351	10	8	10	10
1352	6	0	1	2
1353	6	0	1	2
1354	6	0	1	2
