name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
tiny-rho,0.5,1e-05,Converged,38.322870590723504,0.000136691475,38.322870590796938,38.322870590796775,1.63424829e-13,7.32711669e-11,1,0
tiny-rho,0.5,1e-06,Converged,38.322870590797137,1.56190569e-06,38.322870590796938,38.322870590796775,1.63424829e-13,3.62376795e-13,1,0
tiny-rho,0.5,1e-08,Converged,38.322870590796718,1.41480646e-07,38.322870590796938,38.322870590796775,1.63424829e-13,5.68434189e-14,1,0
caustic-cross,0,0.001,TopologyUnresolved,0,inf,31.943875683723448,31.943881821085636,6.13736219e-06,31.9438818,0,-1
caustic-cross,0,0.0001,TopologyUnresolved,0,inf,31.943875683723448,31.943881821085636,6.13736219e-06,31.9438818,0,-1
caustic-cross,0,1e-05,TopologyUnresolved,0,inf,31.943875683723448,31.943881821085636,6.13736219e-06,31.9438818,0,-1
caustic-cross,0,1e-06,TopologyUnresolved,0,inf,31.943875683723448,31.943881821085636,6.13736219e-06,31.9438818,0,-1
caustic-cross,0,1e-08,TopologyUnresolved,0,inf,31.943875683723448,31.943881821085636,6.13736219e-06,31.9438818,0,-1
caustic-cross,0.5,0.001,TopologyUnresolved,0,inf,33.288796886608651,33.288800638714044,3.75210539e-06,33.2888006,0,-1
caustic-cross,0.5,0.0001,TopologyUnresolved,0,inf,33.288796886608651,33.288800638714044,3.75210539e-06,33.2888006,0,-1
caustic-cross,0.5,1e-05,TopologyUnresolved,0,inf,33.288796886608651,33.288800638714044,3.75210539e-06,33.2888006,0,-1
caustic-cross,0.5,1e-06,TopologyUnresolved,0,inf,33.288796886608651,33.288800638714044,3.75210539e-06,33.2888006,0,-1
caustic-cross,0.5,1e-08,TopologyUnresolved,0,inf,33.288796886608651,33.288800638714044,3.75210539e-06,33.2888006,0,-1
extreme-q-lo,0,0.001,Converged,1.6758184942762702,0.000586990381,1.675818494242973,1.675818494242973,0,3.32971428e-11,1,0
extreme-q-lo,0,0.0001,Converged,1.6758184942457062,0.000118303025,1.675818494242973,1.675818494242973,0,2.73314704e-12,1,0
extreme-q-lo,0,1e-05,Converged,1.6758184942425276,4.97789168e-10,1.675818494242973,1.675818494242973,0,4.45421477e-13,1,0
extreme-q-lo,0,1e-06,Converged,1.6758184942425276,4.97789168e-10,1.675818494242973,1.675818494242973,0,4.45421477e-13,1,0
extreme-q-lo,0,1e-08,Converged,1.6758184942425276,4.97789168e-10,1.675818494242973,1.675818494242973,0,4.45421477e-13,1,0
extreme-q-lo,0.5,0.001,Converged,1.6758050593043397,0.000570130686,1.6758050595865557,1.6758050595865555,2.22044605e-16,2.82215806e-10,1,0
extreme-q-lo,0.5,0.0001,Converged,1.6758050595845737,4.4888689e-09,1.6758050595865557,1.6758050595865555,2.22044605e-16,1.9817481e-12,1,0
extreme-q-lo,0.5,1e-05,Converged,1.6758050595845737,4.4888689e-09,1.6758050595865557,1.6758050595865555,2.22044605e-16,1.9817481e-12,1,0
extreme-q-lo,0.5,1e-06,Converged,1.6758050595845737,4.4888689e-09,1.6758050595865557,1.6758050595865555,2.22044605e-16,1.9817481e-12,1,0
extreme-q-lo,0.5,1e-08,Converged,1.6758050595845737,4.4888689e-09,1.6758050595865557,1.6758050595865555,2.22044605e-16,1.9817481e-12,1,0
extreme-q-planet,0,0.001,Converged,1.3710384430032845,0.00115804091,1.3710366555559492,1.3710366555559474,1.77635684e-15,1.78744734e-06,1,0
extreme-q-planet,0,0.0001,Converged,1.3710366675865318,7.44394769e-05,1.3710366555559492,1.3710366555559474,1.77635684e-15,1.20305843e-08,1,0
extreme-q-planet,0,1e-05,Converged,1.3710366561261138,5.44279288e-06,1.3710366555559492,1.3710366555559474,1.77635684e-15,5.70166359e-10,1,0
extreme-q-planet,0,1e-06,Converged,1.3710366555620708,1.06745094e-06,1.3710366555559492,1.3710366555559474,1.77635684e-15,6.12332407e-12,1,0
extreme-q-planet,0,1e-08,Converged,1.3710366555559486,1.71599229e-09,1.3710366555559492,1.3710366555559474,1.77635684e-15,1.11022302e-15,1,0
extreme-q-planet,0.5,0.001,Converged,1.3699291917046847,0.000892141156,1.3699283118200305,1.3699283118200287,1.77635684e-15,8.79884656e-07,1,0
extreme-q-planet,0.5,0.0001,Converged,1.3699283224607157,9.02089413e-05,1.3699283118200305,1.3699283118200287,1.77635684e-15,1.0640687e-08,1,0
extreme-q-planet,0.5,1e-05,Converged,1.3699283116312626,5.13738066e-06,1.3699283118200305,1.3699283118200287,1.77635684e-15,1.88766114e-10,1,0
extreme-q-planet,0.5,1e-06,Converged,1.3699283118237626,1.76891775e-07,1.3699283118200305,1.3699283118200287,1.77635684e-15,3.73390208e-12,1,0
extreme-q-planet,0.5,1e-08,Converged,1.3699283118200041,3.00627555e-09,1.3699283118200305,1.3699283118200287,1.77635684e-15,2.46469511e-14,1,0
