case profile db epoch whole mu ok nodes topology setup physics estimator scheduler struct expand presearch real qf residual completeness classification soft probes arc endpoint k rescue trajectory_pos bracket_attempts bracket_successes native_ms native_calls native_pass native_violations native_root_pass native_root_violations solve_total radial_total prepare conjugate metadata chart diagnostic noise_checks noise_all noise_first noise_ratio noise_valid rootpair_calls rootpair_success rootpair_cold predictor_reject newton_reject branch_reject tmax_reject vfloor_reject newton_iterations newton_pairs_accepted quartic_cold quartic_warm rootpair_ms predictor_nonpositive corrected_nonpositive corrected_tiny_positive
0 linear 2 15 47.910752000000002 2.4659804224859272 1 61 47.600068 0.011653999999999999 0.26962300000000006 0.0063579999999999999 0.0010600000000000002 0.00313 0.010159 0.0085719999999999998 0.24129300000000001 47.231753999999995 0.084377000000000008 1.9000000000000001e-05 0.0094680000000000007 0.001451 0.0038420000000000004 0.18069999999999997 0.039425999999999989 0.011508000000000004 0 2 19 18 0 0 0 0 0 0 47.548327 47.593240999999999 0.0014339999999999999 0.0056350000000000003 0.012851 2.5000000000000001e-05 0 1 1 8 0.0016090859999255856 1 50 19 31 1 14 15 0 6 106 19 3 39 0.13519100000000001 0 0 6
0 linear 2 23 50.008105 2.5300557252343201 1 61 49.700412 0.011802999999999999 0.26889199999999991 0.0063499999999999997 0.001041 0.003189 0.010279 0.0098759999999999994 0.261019 49.303355000000003 0.092475000000000002 2.1999999999999999e-05 0.0095449999999999979 0.001671 0.0038199999999999996 0.18878099999999998 0.034998000000000008 0.0098830000000000012 0 3 17 16 0 0 0 0 0 0 49.648691999999997 49.693584000000001 0.0015 0.0056730000000000001 0.012631 2.5000000000000001e-05 0 1 1 8 0.0026246619501964687 1 50 17 33 1 15 16 0 7 106 17 3 41 0.14334799999999998 0 0 7
0 linear 3 0 0.69445199999999996 488.05716329461848 1 83 0.466275 0.018034999999999999 0.17761400000000002 0.0064660000000000004 0.0015929999999999998 0.0032460000000000002 0.010022 0.17769099999999999 0.114922 0 0.0049540000000000001 0.001147 0.11168299999999999 0.00069800000000000005 0.0041969999999999993 0.098166000000000073 0.040837000000000012 0.0099910000000000016 0 0 0 0 0.0041989999999999996 1 0 0 14 0 0.30445299999999997 0.459455 0.0011360000000000001 0.0018370000000000001 0.020534999999999998 2.6999999999999999e-05 0 0 0 0 0 0 74 56 18 4 4 8 0 4 194 56 5 22 0.062920999999999977 0 0 4
0 linear 3 7 0.60867700000000002 497.79296944733449 1 83 0.37768000000000002 0.015630000000000002 0.18746999999999997 0.0055839999999999996 0.0011840000000000002 0.0040670000000000003 0.0090629999999999999 0.017240999999999999 0.097769999999999996 0 0.003761 0.0022829999999999999 0.202121 0.00076300000000000001 0.0036220000000000002 0.12064600000000003 0.033281000000000033 0.0092960000000000004 0 1 56 56 0.0031110000000000001 1 0 0 14 0 0.127775 0.37168000000000001 0.0014400000000000001 0.0028649999999999999 0.019959999999999999 2.8e-05 0 2 1 16 0.0088212496358149681 2 74 56 18 4 4 8 0 4 194 56 5 22 0.092238000000000001 0 0 4
0 linear 3 15 0.60586700000000004 510.01575430523195 1 83 0.37672800000000001 0.015373 0.18654299999999999 0.0050090000000000004 0.001168 0.0027239999999999999 0.0083999999999999995 0.0081530000000000005 0.088231000000000004 0 0.0035079999999999998 0.001116 0.22827600000000003 0.00061399999999999996 0.0035389999999999996 0.11932800000000003 0.033778000000000009 0.0092759999999999995 0 2 56 56 0.0029390000000000002 1 0 0 14 0 0.107028 0.37136599999999997 0.0011969999999999999 0.002532 0.017446 2.8e-05 0 1 1 8 0.0009877516298322979 1 74 56 18 6 4 8 0 6 197 56 5 22 0.091012999999999983 2 0 4
0 linear 3 23 0.54557199999999995 523.7378225007634 1 99 0.28438000000000002 0.015015000000000001 0.21386200000000005 0.0060990000000000003 0.0011659999999999999 0.0022859999999999998 0.0079559999999999995 0.0080169999999999998 0.087887999999999994 0 0.0034169999999999999 0.0010250000000000001 0.13887099999999999 0.00060800000000000003 0.0034459999999999998 0.13634300000000002 0.038736999999999994 0.011158000000000005 0 3 70 70 0.002885 1 0 0 14 0 0.106236 0.279142 0.0013090000000000001 0.0024480000000000001 0.016313000000000001 2.0999999999999999e-05 0 1 1 8 0.0017264993823830933 1 90 70 20 6 6 10 0 8 241 70 5 24 0.106282 2 0 6
0 linear 4 0 0.477719 2.6196476657497758 1 52 0.307888 0.01209 0.14156599999999997 0.0030739999999999999 0.00087599999999999993 0.0029250000000000001 0.0096799999999999994 0.17494000000000001 0.069966 0 0.013552 0.0010449999999999999 0.00058599999999999993 0.0013079999999999999 0.0032829999999999999 0.094124999999999973 0.022139000000000013 0.005644999999999999 0 0 0 0 0.002941 1 0 0 10 0 0.26665100000000003 0.301728 0.00081800000000000004 0.004006 0.013746 2.5000000000000001e-05 0 0 0 0 0 0 47 15 32 2 8 10 0 6 63 15 4 33 0.077530999999999989 0 0 6
0 linear 4 7 0.316326 2.5174331937787979 1 52 0.144597 0.011115 0.14509999999999998 0.0028220000000000003 0.00071699999999999997 0.0026740000000000002 0.0084960000000000001 0.0079959999999999996 0.080125000000000002 0 0.012293 0.00095299999999999996 0.00059699999999999987 0.001217 0.0031130000000000003 0.097607000000000027 0.022486000000000003 0.0056489999999999995 0 1 25 24 0.002921 1 0 0 10 0 0.108935 0.13902100000000001 0.0011999999999999999 0.0041380000000000002 0.010841999999999999 2.5000000000000001e-05 0 1 1 8 0.002527145321730481 1 52 25 27 3 6 9 0 6 86 25 4 23 0.091409999999999991 0 0 6
0 linear 4 15 0.39866400000000002 2.4212389482948047 1 68 0.16036400000000001 0.010631 0.20832399999999993 0.0038419999999999999 0.000794 0.002598 0.0078279999999999999 0.0078759999999999993 0.098685999999999996 0 0.011984 0.00087200000000000005 0.00056700000000000001 0.00090700000000000004 0.0031329999999999999 0.14519299999999999 0.031228000000000013 0.0074170000000000017 0 2 28 23 0.0028739999999999998 1 0 0 10 0 0.126578 0.15512899999999999 0.0011349999999999999 0.0037569999999999999 0.010814000000000001 2.5999999999999998e-05 0 1 1 8 0.0021007554509754668 1 67 28 39 2 9 11 0 8 103 28 4 36 0.13505700000000004 0 0 8
0 linear 4 23 0.33398699999999998 2.3408509317784856 1 61 0.12689800000000001 0.010664999999999999 0.17512200000000003 0.0038859999999999997 0.00092499999999999982 0.002555 0.0081019999999999998 0.008208 0.065032999999999994 0 0.012132 0.00089400000000000005 0.00058099999999999992 0.00093700000000000001 0.0029849999999999998 0.11953199999999997 0.027600000000000013 0.0067110000000000008 0 3 25 23 0.0028679999999999999 1 0 0 10 0 0.093391000000000002 0.121821 0.001178 0.003738 0.010447999999999999 2.3e-05 0 1 1 8 0.059615655559615663 1 53 25 28 3 8 11 0 6 96 25 3 33 0.095886999999999986 0 0 6
