case_id configuration_id profile d_bin_index epoch_index lane stage candidate_converged candidate_finite scalar_certificate residual ambiguous_roots oracle_tier candidate_positive oracle_positive candidate_physical oracle_physical candidate_real_soft oracle_real_soft candidate_complex_soft oracle_complex_soft positive_radius_maxdiff soft_radius_maxdiff candidate_cells oracle_cells candidate_topology_status oracle_topology_status rtol candidate_stop oracle_stop candidate_value_converged oracle_value_converged candidate_mu oracle_mu mu_absdiff local_attempts local_successes local_max_shift event_build_ms positive_certificate positive_count positive_certificate_ms positive_reason exact_positive_certificate exact_positive_count exact_positive_ms
149 149 linear 1 7 cold qf_warm 0 1 1 7.4088298428500556e-27 0 2 8 8 8 8 0 0 3 3 0 1.1102230246251565e-16 14 14 0 0 0.0001 0 0 1 1 367.76380536694154 367.76380536708132 1.3977796697872691e-10 0 0 0 0.010891 0 0 0.32525500000000002 ChainPivotUncertain 1 8 94.661597
149 149 linear 1 7 cold qf_warm_local 0 1 1 7.4088298428500556e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.1102230246251565e-16 14 14 0 0 0.001 0 0 1 1 367.76380537586169 367.76380537600147 1.3977796697872691e-10 8 8 1.1102230246251565e-16 0.113924 0 0 0.32525500000000002 ChainPivotUncertain 1 8 94.661597
149 149 linear 1 7 cold qf_warm_local 0 1 1 7.4088298428500556e-27 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 1.1102230246251565e-16 14 14 0 0 0.0001 0 0 1 1 367.76380536694154 367.76380536708132 1.3977796697872691e-10 8 8 1.1102230246251565e-16 0.113924 0 0 0.32525500000000002 ChainPivotUncertain 1 8 94.661597
149 149 linear 1 7 cold qf_warm_nosoft 0 1 1 7.4088298428500556e-27 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 367.76382045843053 367.76380537600147 1.5082429058566049e-05 0 0 0 0.0075100000000000002 0 0 0.32525500000000002 ChainPivotUncertain 1 8 94.661597
149 149 linear 1 7 cold qf_warm_nosoft 0 1 1 7.4088298428500556e-27 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 367.76380531611602 367.76380536708132 5.0965297759830719e-08 0 0 0 0.0075100000000000002 0 0 0.32525500000000002 ChainPivotUncertain 1 8 94.661597
149 149 linear 1 7 cold oracle_nosoft 1 1 1 inf 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.001 0 0 1 1 367.76382045843053 367.76380537600147 1.5082429058566049e-05 0 0 0 0.0074539999999999997 0 0 0 Unattempted 0 -1 0
149 149 linear 1 7 cold oracle_nosoft 1 1 1 inf 0 2 8 8 8 8 0 0 0 3 0 -1 11 14 0 0 0.0001 0 0 1 1 367.76380531611602 367.76380536708132 5.0965297759830719e-08 0 0 0 0.0074539999999999997 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold d14real 0 1 1 1.6050621220028973e-25 0 2 8 8 8 8 0 0 3 3 1.2989609388114332e-14 7.1054273576010019e-15 14 14 0 0 0.001 0 0 1 1 295.21528638698294 295.21528638717774 1.9480239643598907e-10 0 0 0 0.0085100000000000002 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold d14real 0 1 1 1.6050621220028973e-25 0 2 8 8 8 8 0 0 3 3 1.2989609388114332e-14 7.1054273576010019e-15 14 14 0 0 0.0001 0 0 1 1 295.21528638097493 295.21528638116973 1.9480239643598907e-10 0 0 0 0.0085100000000000002 0 0 0 Unattempted 0 -1 0
149 149 linear 1 15 cold d14real_local 0 1 1 1.6050621220028973e-25 0 2 8 8 8 8 0 0 3 3 1.1102230246251565e-16 7.1054273576010019e-15 14 14 0 0 0.001 0 0 1 1 295.21528638698294 295.21528638717774 1.9480239643598907e-10 8 8 1.2878587085651816e-14 0.12463299999999999 0 0 0 Unattempted 0 -1 0
