# current V2 input; unique geometry/profile rows from merged_final; VBM references are RelTol=1e-6; xs=-time,barycentric=true
# case_id configuration_id profile d_bin_index epoch_index s q rho x y time u X reference
115 115 linear 2 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0017177063757995116 0.5 -0.00022797218525633209 1417.9441106670799
115 115 linear 3 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.449434619728176 0.5 1.4509243539187191 3.6818857098478346
115 115 linear 3 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.4493831936450052 0.5 1.4508729278355483 3.8368218339272406
115 115 linear 3 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.4493244209785241 0.5 1.4508141551690672 4.0508643906387389
115 115 linear 3 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.4492656483120432 0.5 1.4507553825025863 4.3239414261829374
115 115 linear 4 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.4587763760768009 0.5 1.460266110267344 8.6315938181738581
115 115 linear 4 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.4587249499936301 0.5 1.4602146841841732 8.5289012771697461
115 115 linear 4 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.458666177327149 0.5 1.4601559115176921 8.4163350381840729
115 115 linear 4 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4586918903687345 0.00086035486048768395 -1.4586074046606681 0.5 1.4600971388512112 8.3085013085827359
115 115 uniform 0 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0013350821353557731 0 0.00015465205518740643 3715.5647489372814
115 115 uniform 0 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0013865082185266174 0 0.00010322597201656205 3461.5643276283431
115 115 uniform 0 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0014452808850075826 0 4.4453305535596893e-05 3103.7015222183477
115 115 uniform 0 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0014195678434221603 5.6351400808077953e-05 0.0015040535514885475 0 -1.4319360945368046e-05 2752.4664639312105
115 115 uniform 1 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4421594965998981 0 1.4436492307904412 5.6178434631466398
115 115 uniform 1 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4421080705167273 0 1.4435978047072704 5.0622038575630954
115 115 uniform 1 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4420492978502462 0 1.4435390320407893 4.4031178544253944
115 115 uniform 1 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4420750108918317 0.0043907603621731357 -1.4419905251837652 0 1.4434802593743083 3.7192405339481485
115 115 uniform 2 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0015487349596667371 0 -5.9000769123557619e-05 2551.1188292974707
115 115 uniform 2 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0016001610428375815 0 -0.00011042685229440199 2032.6501863306585
115 115 uniform 2 15 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0016589337093185466 0 -0.00016919951877536715 1603.5496163377559
115 115 uniform 2 23 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 0.0016332206677331243 0.00024733848153663933 0.0017177063757995116 0 -0.00022797218525633209 1431.4181586855993
115 115 uniform 3 0 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.449434619728176 0 1.4509243539187191 3.6938106635118682
115 115 uniform 3 7 1.9599718681909375 0.00076065753405687151 0.0004224285403319365 -1.4493501340201096 0.012593477790135487 -1.4493831936450052 0 1.4508729278355483 3.852078566087942
