row profile bin epoch event_index X Y rho q a radius topology old_decision old_p4_steps old_probe_ms fast_screen fast_screen_ms p4_interval_lo p4_interval_hi p3_interval_lo p3_interval_hi p3_qf_gate_hi d14_gap overlap_budget fast_reject_old_accept
49 rand010 0 0 2 0.060302356035932432 -0.015103587054432476 0.020165281218853134 0.00056268795246238953 4.1109789690115459 0.97657761752857752 OK no_coincident_d14_event 3 0.017356 no_d14_overlap 0.0084049999999999993 0.97657761752857386 0.97657761752858119 nan nan nan 0.0024150829696503173 8.5556243348555495e-14 0
50 rand010 0 0 1 0.060302356035932432 -0.015103587054432476 0.020165281218853134 0.00056268795246238953 4.1109789690115459 0.9636186452438289 OK no_coincident_d14_event 3 0.016163 no_d14_overlap 0.0075820000000000002 0.96361864524382534 0.96361864524383245 nan nan nan 0.0041655026488622848 8.4112717291730119e-14 0
50 rand010 0 0 2 0.060302356035932432 -0.015103587054432476 0.020165281218853134 0.00056268795246238953 4.1109789690115459 0.97657761752857752 OK no_coincident_d14_event 3 0.012302 no_d14_overlap 0.0050410000000000003 0.97657761752857386 0.97657761752858119 nan nan nan 0.0024150829696503173 8.5556243348555495e-14 0
51 rand011 0 0 6 -0.19907743781190917 0.0018176719899298966 0.022416924297235834 2.0226608361839909e-07 6.5237746364988682 1.0922638629856498 OK no_coincident_d14_event 3 0.016532999999999999 no_d14_overlap 0.0054710000000000002 1.0922638629856458 1.0922638629856538 nan nan nan 3.5641175875289477e-05 9.1439125691572671e-14 0
51 rand011 0 0 7 -0.19907743781190917 0.0018176719899298966 0.022416924297235834 2.0226608361839909e-07 6.5237746364988682 1.1168199061144397 OK no_coincident_d14_event 3 0.013942 no_d14_overlap 0.0050850000000000001 1.1168199061144357 1.1168199061144437 nan nan nan 4.5574687297156302e-05 9.2139358707804073e-14 0
52 rand011 0 0 6 -0.19907743781190917 0.0018176719899298966 0.022416924297235834 2.0226608361839909e-07 6.5237746364988682 1.0922638629856498 OK no_coincident_d14_event 3 0.014283000000000001 no_d14_overlap 0.0056039999999999996 1.0922638629856458 1.0922638629856538 nan nan nan 3.5641175875289477e-05 9.1439125691572671e-14 0
52 rand011 0 0 7 -0.19907743781190917 0.0018176719899298966 0.022416924297235834 2.0226608361839909e-07 6.5237746364988682 1.1168199061144397 OK no_coincident_d14_event 3 0.012675000000000001 no_d14_overlap 0.0049940000000000002 1.1168199061144357 1.1168199061144437 nan nan nan 4.5574687297156302e-05 9.2139358707804073e-14 0
61 rand016 0 0 6 -0.72663959556701652 -0.0052986782574229088 0.027353309466368856 2.2235448344102405e-07 3.0446434143368619 1.4093508311889695 OK no_coincident_d14_event 3 0.015931000000000001 no_d14_overlap 0.0057939999999999997 1.4093508311889651 1.409350831188974 nan nan nan 0.000331741630539506 1.0399557736373101e-13 0
61 rand016 0 0 7 -0.72663959556701652 -0.0052986782574229088 0.027353309466368856 2.2235448344102405e-07 3.0446434143368619 1.4453490695464577 OK no_coincident_d14_event 3 0.012933999999999999 no_d14_overlap 0.0050200000000000002 1.445349069546453 1.4453490695464624 nan nan nan 0.0003634836649104578 1.068148251650704e-13 0
62 rand016 0 0 6 -0.72663959556701652 -0.0052986782574229088 0.027353309466368856 2.2235448344102405e-07 3.0446434143368619 1.4093508311889695 OK no_coincident_d14_event 3 0.012640999999999999 no_d14_overlap 0.0054070000000000003 1.4093508311889651 1.409350831188974 nan nan nan 0.000331741630539506 1.0399557736373101e-13 0
