polynomial_l1_sample	polynomial_l1_upper	name	panel	kind	q7	hermite	q15	reference	reference_uncertainty	estimate	error7	errorH	error15	fd_max_scaled	base_us	derivative_us
1.6538425685059445e-11	1.4186240814816873e-09	fold-tangent	10	2	0.02400166356078637	0.024001663560235035	0.0240016635602358	0.0240016635602358	1.0061396160665481e-16	5.513367540288527e-13	5.50570006252471e-13	7.667477763817487e-16	0.0	1.7393916874145342e-11	44.646	0.8219999999999998
0.0011911751797955487	0.24336490125483426	fold-tangent	11	3	1.9367042761969309	1.9368591617665714	1.936858694107101	1.9368587012210727	1.9984014443252818e-15	0.00015488556964049494	0.00015442502414186876	4.605454986261748e-07	7.113971633998517e-09	5.357404843891176e-10	89.68299999999999	1.3279999999999998
0.005357838263512443	0.5762242675887794	fold-tangent	12	3	1.2822392990740576	1.282290419907964	1.2822907257712344	1.28229072441071	1.9984014443252818e-15	5.1120833906459495e-05	5.142533665236648e-05	3.045027459069871e-07	1.3605243598391326e-09	6.189012214278127e-10	35.087	0.813
3.4779917766182055e-05	0.0027473307724736776	rand000	2	1	0.3007292379394084	0.30072650351877184	0.3007264867745395	0.3007264866477001	1.6653345369377348e-16	2.734420636585355e-06	2.7512917083472033e-06	1.68710717618481e-08	1.2683942784974533e-10	1.2680337633561817e-10	23.426	0.8689999999999999
3.4185962192376035e-16	7.930361509486215e-14	rand000	3	0	0.011980286622698915	0.011980286622698639	0.011980286622699	0.011980286622699	0.0	2.7582103268031233e-16	8.500145032286355e-17	3.608224830031759e-16	0.0	3.703156039617494e-12	8.641	0.8609999999999998
1.0804061267193354e-06	8.961864384182382e-05	rand000	4	2	0.15683239582776515	0.1568323451185043	0.1568323450997036	0.1568323450996532	8.326672684688674e-17	5.0709260845938076e-08	5.0728111961051425e-08	1.8851115113349692e-11	5.040412531798211e-14	7.070568737143976e-11	12.080000000000002	0.833
2.0587193026417435e-15	2.2835380403327446e-13	rand000	9	3	2.2207829224755137e-12	2.221174081887369e-12	2.221174055312608e-12	2.2211740515962423e-12	3.745894674088488e-21	3.9115941185530297e-16	3.9112912072866517e-16	3.029112663780278e-20	3.716365780248766e-21	9.22787566941227e-16	15.216000000000001	2.2829999999999995
0.0013771990531537739	0.20200160698744457	rand000	12	3	1.4692847684405956	1.4695381742803821	1.469538188554094	1.469538188492017	0.0	0.00025340583978650244	0.00025342005142126034	1.4211634757899105e-08	6.2077010198891e-11	3.289059069298637e-10	93.453	0.9049999999999999
0.0013758974120275762	0.1481117529336687	rand001	2	3	0.43131312611025374	0.43134977937262164	0.4313498306030373	0.4313498309856662	4.996003610813204e-16	3.6653262367902784e-05	3.6704875412463256e-05	5.161304456047233e-08	3.826289285413509e-10	7.418530092113028e-11	16.734	0.8419999999999999
2.685801917230091e-05	0.0021076390997431804	rand001	7	1	0.7496061351431819	0.7496047434798535	0.7496047404651622	0.7496047404503635	7.771561172376096e-16	1.3916633283539426e-06	1.3946928183461438e-06	3.0294899922012064e-09	1.4798717806741024e-11	6.414557923891056e-11	7.675000000000001	0.816
2.767367638154931e-05	0.002266583830680109	rand001	8	2	0.6740291338660906	0.6740274532652877	0.6740274505770645	0.6740274505647486	2.220446049250313e-16	1.6806008029668362e-06	1.6833013420924914e-06	2.7005391256551547e-09	1.2315926056771787e-11	3.734609173275029e-11	11.253	0.7729999999999998
1.1763442009937723e-08	1.308169335699385e-06	rand001	12	3	1.2689471821754128e-05	1.2691706887613917e-05	1.2691706747171748e-05	1.2691706747258284e-05	2.383550713573601e-18	2.235065859788619e-09	2.2349255041558225e-09	1.40355632796468e-13	8.653627402328834e-17	1.4025984376828596e-12	11.891000000000002	0.8449999999999998
0.0015366110012421795	0.21175311731617075	rand002	2	3	0.7735602610943052	0.7736663731870633	0.773666481163047	0.7736664810861295	4.440892098500626e-16	0.00010611209275812605	0.00010621999182425235	1.0789906612629352e-07	7.69175834136604e-11	1.427856092799825e-10	8.411	0.879
0.002222080819580958	0.33752768467127303	rand002	7	3	1.7734417430139395	1.773686087593199	1.7736862370466655	1.773686237385393	0.0	0.00024434457925948116	0.0002444943714534631	1.4979219398192356e-07	3.387274905009008e-10	1.9246860652490112e-10	39.045	1.068
3.3170650426017987e-15	3.6794599763902007e-13	rand002	10	3	3.578184686110289e-12	3.5788149331099467e-12	3.578814893096023e-12	3.57881489069962e-12	2.356349182860176e-21	6.302469996575011e-16	6.30204589330802e-16	4.241032669910835e-20	2.396402819083642e-21	5.741324321734571e-16	15.235	0.851
1.1297651188060253e-19	1.2530714486572462e-17	rand003	2	3	1.218717301126061e-16	1.2189319579765686e-16	1.218931943411354e-16	1.218931951445478e-16	3.269359572940553e-25	2.1465685050760162e-20	2.146503194169872e-20	6.531090614408586e-25	8.034124060420416e-25	4.8305234026636804e-20	15.385	0.8559999999999997
0.0029356090135257474	0.31038786941710295	rand003	7	3	0.5781094265086116	0.5780007601688059	0.5779993800928288	0.5779993788153612	2.220446049250313e-16	0.00010866633980577411	0.00011004769325040353	1.3813534446294184e-06	1.2774675761662024e-09	1.0411672639803284e-10	8.0	0.9329999999999999
7.525000628158773e-14	6.037485897584125e-12	rand003	12	1	0.0006921662930852333	0.0006921662930840993	0.0006921662930841	0.0006921662930842	0.0	1.133967052202589e-15	1.0333530905959343e-15	1.0061396160665481e-16	9.996344030316351e-17	3.5438817399779256e-12	93.83	1.0019999999999998
0.005386466758722603	1.3016736004763179	rand003	13	0	1.5768858679533952	1.575099025463942	1.5740895129040784	1.5739331164167452	2.361888462587558e-11	0.0017868424894531554	0.002952751536650089	0.0011659090471969336	0.00015639648733323241	1.6585461858855747e-09	8.746	0.8529999999999999
4.1212918752466307e-13	3.2806252591800885e-11	rand003	14	2	0.0033741682271615234	0.003374168227154433	0.0033741682271545	0.0033741682271545	0.0	7.090248527186205e-15	7.023461673361098e-15	6.678685382510707e-17	0.0	2.959401533870217e-12	77.683	0.9049999999999999
5.051464018684295e-08	5.913026904377222e-06	rand004	2	3	5.4473235534874074e-05	5.448283105469354e-05	5.448283044663797e-05	5.448283044703957e-05	1.8295911660692887e-19	9.595519819464808e-09	9.59491216549589e-09	6.076539689177721e-13	4.016020372157869e-16	6.882182748297877e-14	10.459000000000001	0.843
0.0003556107784237637	0.05327043420861416	rand004	5	3	0.19274991775384712	0.19277921929677488	0.1927792387775727	0.1927792387451299	8.326672684688674e-17	2.9301542927767654e-05	2.932099128277743e-05	1.944835500977682e-08	3.2442798447718246e-11	4.685820407050185e-11	67.027	0.9059999999999997
