name,u,policy,warm,rtol,repeat,stop,value_stop,gradient_stop,value_converged,mu,value_error,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,nodes,evaluations,event_double_checks,event_dd_checks,event_dd_accepts,qf_family_constructions,event_qf_refinements,event_topology_reuses,event_radius_reuses,event_direct_qf_failures,gq0,gq1,gq2,gq3,gq4,gr0,gr1,gr2,gr3,gr4
rand013,0.0,None,0,1.0e-03,0,Converged,Converged,Converged,1,4.3953750974934529,2.2944177e-07,0.763888,0.670445,0.007806,0.000026,0.001194,0.004945,0.001508,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand013,0.0,None,0,1.0e-04,0,Converged,Converged,Converged,1,4.3953750974934529,2.2944177e-07,0.746113,0.663643,0.006101,0.000025,0.000774,0.004707,0.000484,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand013,0.0,None,1,1.0e-03,0,Converged,Converged,Converged,1,4.4031972667975232,2.2979272e-07,0.647226,0.565194,0.005813,0.000028,0.000776,0.004496,0.000411,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand013,0.0,None,1,1.0e-04,0,Converged,Converged,Converged,1,4.4031972667975232,2.2979272e-07,0.689406,0.608432,0.005654,0.000029,0.000741,0.004430,0.000355,62,62,0,4,4,0,0,4,4,0,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested,NotRequested
rand013,0.0,Strict,0,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,4.3953750974934529,2.2944177e-07,13.471925,0.641777,0.006325,0.000018,0.000982,0.004438,0.000781,3009,3009,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand013,0.0,Strict,0,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,4.3953750974934529,2.2944177e-07,10.272716,0.683767,0.007463,0.000051,0.000953,0.005445,0.000870,3009,3009,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand013,0.0,Strict,1,1.0e-03,0,EventLocationLimited,Converged,EventLocationLimited,1,4.4031972667975232,2.2979272e-07,13.220930,0.602262,0.007594,0.000047,0.001079,0.005443,0.000872,3009,3009,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand013,0.0,Strict,1,1.0e-04,0,EventLocationLimited,Converged,EventLocationLimited,1,4.4031972667975232,2.2979272e-07,15.838472,0.932009,0.009696,0.000057,0.001372,0.007162,0.000898,3009,3009,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited,EventLocationLimited
rand013,0.0,ValueFirst,0,1.0e-03,0,Converged,Converged,BudgetExceeded,1,4.3953750974934529,2.2944177e-07,1.211126,0.819952,0.008597,0.000027,0.001544,0.005604,0.001246,190,190,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand013,0.0,ValueFirst,0,1.0e-04,0,Converged,Converged,BudgetExceeded,1,4.3953750974934529,2.2944177e-07,1.041600,0.711852,0.006421,0.000019,0.000869,0.004868,0.000549,190,190,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand013,0.0,ValueFirst,1,1.0e-03,0,Converged,Converged,BudgetExceeded,1,4.4031972667975232,2.2979272e-07,0.965714,0.616281,0.006123,0.000027,0.000820,0.004677,0.000498,190,190,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
rand013,0.0,ValueFirst,1,1.0e-04,0,Converged,Converged,BudgetExceeded,1,4.4031972667975232,2.2979272e-07,0.976566,0.631332,0.006012,0.000026,0.000737,0.004682,0.000469,190,190,0,4,4,0,0,4,4,0,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,FiniteUncertified,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded,BudgetExceeded
