lane	row	case	u	mu_reference	policy	topology_status	topology_events	topology_cells	chart_events	projective_promotions	event_identity_unchanged	cell_plan_unchanged	value_converged	value_stop	mu	value_error	numerical_status	stop	wall_ms	grad_x	grad_y	grad_rho	grad_q	grad_a	quality_x	quality_y	quality_rho	quality_q	quality_a	gradient_a_error	nodes	panels	splits
projective_fold	21	extreme-q-planet	0	4.6431154648307711	ValueFirst	0	14	15	2	0	1	1	1	Converged	1.3710366675865318	7.4439476872680799e-05	0	Converged	0.61020200000000002	-2.199501998245827	-4.6001112302179248	1.1536015532949779	1090.8599610510471	2.0277335962939964	FiniteUncertified	FiniteUncertified	FiniteUncertified	ToleranceMet	FiniteUncertified	0.0034409004249857369	154	6	0
projective_fold	22	extreme-q-planet	0.5	4.6434127409011126	None	0	14	15	2	0	1	1	1	Converged	1.3699283224607157	9.0208941252417331e-05	0	Converged	0.52090599999999998	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	90	6	0
projective_fold	22	extreme-q-planet	0.5	4.6434127409011126	ValueFirst	0	14	15	2	0	1	1	1	Converged	1.3699283224607157	9.0208941252461418e-05	0	Converged	0.79447500000000004	-2.0226040987764082	-4.863126828439392	1.2062045135706618	1048.8881917346614	1.7856565712752883	FiniteUncertified	FiniteUncertified	FiniteUncertified	ToleranceMet	FiniteUncertified	0.0025109219154995678	162	6	0
projective_fold	23	very-wide	0	4.9401889555156231e-05	None	0	12	13	0	0	1	1	1	Converged	1.032499564055972	3.5242533445978422e-06	0	Converged	0.30132300000000001	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	61	3	0
projective_fold	23	very-wide	0	4.9401889555156231e-05	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.032499564055972	3.5242533446097744e-06	0	Converged	0.36927199999999999	0.011006400369657046	-0.015145572412824678	4.5718590898821774e-05	0.03067919585287239	-0.032042872845373084	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	ToleranceMet	1.5890352325088028e-06	93	3	0
projective_fold	24	very-wide	0.5	5.4054951760917902e-05	None	0	12	13	0	0	1	1	1	Converged	1.032499473239388	1.6885836749368709e-05	0	Converged	0.30137599999999998	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	61	3	0
projective_fold	24	very-wide	0.5	5.4054951760917902e-05	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.032499473239388	1.6885836749380957e-05	0	Converged	0.41756900000000002	0.011005406368788363	-0.015148125509550145	4.1994080515409611e-05	0.030678708752274259	-0.032042393605454168	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	ToleranceMet	9.9337209628510588e-07	93	3	0
projective_fold	25	very-close	0	0.068072454072535038	None	0	14	15	2	0	1	1	1	Converged	25.120844828671679	0.001765736390352736	0	Converged	0.61663599999999996	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	111	9	0
projective_fold	25	very-close	0	0.068072454072535038	ValueFirst	0	14	15	2	0	1	1	1	Converged	25.120844828671679	0.0017657363903528021	0	Converged	0.74703699999999995	-70.540570148790664	-451.45218095031208	16.786696770363836	5.5379247566860066	3.0353989339203653	FiniteUncertified	FiniteUncertified	FiniteUncertified	FiniteUncertified	FiniteUncertified	0.30642892148033996	183	9	0
projective_fold	26	very-close	0.5	0.059250488877296448	None	0	14	15	2	0	1	1	1	Converged	24.840309469393112	0.0024065485962617441	0	Converged	0.75973500000000005	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	111	9	0
projective_fold	26	very-close	0.5	0.059250488877296448	ValueFirst	0	14	15	2	0	1	1	1	Converged	24.840309469393112	0.0024065485962674583	0	Converged	1.1768179999999999	-69.814570982547494	-486.55292776954076	45.818936701516961	5.6513384304780407	5.0920766730900242	FiniteUncertified	FiniteUncertified	FiniteUncertified	FiniteUncertified	FiniteUncertified	0.3732404587178092	183	9	0
projective_fold	27	fold-tangent	0	0.032063627033494413	None	0	13	14	0	0	1	1	1	Converged	6.0800735555911922	0.0005176847445563631	0	Converged	0.45516699999999999	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	136	8	0
projective_fold	27	fold-tangent	0	0.032063627033494413	ValueFirst	0	13	14	0	0	1	1	1	Converged	6.0800735555911922	0.00051768474455637307	0	Converged	0.58150800000000002	21.200107016553606	-1.279151593266687	-32.896535118427352	-5.1624464007994737	-27.247351486668197	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.0016265009986937695	208	8	0
projective_fold	28	fold-tangent	0.5	0.031508547952398658	None	0	13	14	0	0	1	1	1	Converged	6.0643547132427233	0.00050557081428601373	0	Converged	0.48815700000000001	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	152	8	0
projective_fold	28	fold-tangent	0.5	0.031508547952398658	ValueFirst	0	13	14	0	0	1	1	1	Converged	6.0643547132427233	0.00050557081428607249	0	Converged	0.69105099999999997	34.607734041333856	2.3626075001064484	-21.708370140288043	-9.401027420581066	-41.946840493820304	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.0075078466655153654	192	8	0
projective_fold	29	rand000	0	0.014252951077651232	None	0	12	12	0	0	1	1	1	Converged	1.9390773069911766	5.6569913990391651e-06	0	Converged	0.38547700000000001	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	75	5	0
projective_fold	29	rand000	0	0.014252951077651232	ValueFirst	0	12	12	0	0	1	1	1	Converged	1.9390773069911766	5.6569913990448538e-06	0	Converged	0.46566000000000002	2.0324766225235411	-1.7037918518927406	0.04230619375605827	1.110299341483663	-2.9174592639356865e-06	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	8.2538175758237528e-09	115	5	0
projective_fold	30	rand000	0.5	0.014132565935142338	None	0	12	12	0	0	1	1	1	Converged	1.9390266451764753	3.4069988526292597e-06	0	Converged	0.42424299999999998	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	75	5	0
projective_fold	30	rand000	0.5	0.014132565935142338	ValueFirst	0	12	12	0	0	1	1	1	Converged	1.9390266451764753	3.4069988525096066e-06	0	Converged	0.60850499999999996	2.0322828211315231	-1.7036293914441401	0.0389180812362259	1.1099091132460677	-2.9156008311661911e-06	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.8875434281615015e-07	115	5	0
projective_fold	31	rand001	0	0.028276485099922866	None	0	12	13	0	0	1	1	1	Converged	1.8549947114997143	9.664289880901219e-06	0	Converged	0.36151100000000003	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	68	4	0
projective_fold	31	rand001	0	0.028276485099922866	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.8549947114997143	9.6642898808916679e-06	0	Converged	0.40019300000000002	-1.6160846902219144	-1.7400753176343096	0.20297876610931387	-0.87021561689153826	0.0075014639827637722	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.7392751750877692e-06	108	4	0
projective_fold	32	rand001	0.5	0.030639454897027463	None	0	12	13	0	0	1	1	1	Converged	1.8537210283970971	8.5631501532578482e-06	0	Converged	0.33650400000000003	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	68	4	0
projective_fold	32	rand001	0.5	0.030639454897027463	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.8537210283970971	8.5631501532479803e-06	0	Converged	0.484711	-1.6120765928632508	-1.7352799365720051	0.18624762082208607	-0.87368512596900338	0.0074951027191697732	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	2.3072979224680705e-08	124	4	0
projective_fold	33	rand002	0	0.013185361982323229	None	0	10	10	0	0	1	1	1	Converged	2.5473527185520197	0.00022897423834038918	0	Converged	0.42622500000000002	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	53	3	0
projective_fold	33	rand002	0	0.013185361982323229	ValueFirst	0	10	10	0	0	1	1	1	Converged	2.5473527185520197	0.00022897423834039032	0	Converged	0.47805399999999998	5.2755502362840625	1.1031034336288432	0.25085161474784717	-1.7895160354682829	1.0470381115231726e-05	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	6.1850635443511142e-09	77	3	0
projective_fold	34	rand002	0.5	0.013282940955832601	None	0	10	10	0	0	1	1	1	Converged	2.5466658117848757	1.0876810148150267e-08	0	Converged	0.449573	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	69	3	0
projective_fold	34	rand002	0.5	0.013282940955832601	ValueFirst	0	10	10	0	0	1	1	1	Converged	2.5466658117848757	1.0876810163335646e-08	0	Converged	0.53675099999999998	5.2708313168055456	1.1021167057498249	0.23055961937976943	-1.7885806749509594	1.0461168417359396e-05	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.059171455781331e-07	77	3	0
