name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,setup_frame_ms,setup_cuts_ms,setup_event_ms,setup_panel_ms,event_double_checks,event_dd_checks,event_dd_accepts,event_qf_refinements,qf_family_constructions,first_value_pass_nodes,first_gradient_error_pass_nodes,first_gradient_contract_nodes,gradient_error_pass_mask,gradient_contract_mask,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.5,0,0,1.0e-03,1,0,Converged,6.1205006645589828,0.0043222585,128,128,64,0,1.032071,0.310815,0.719953,0.000025,0.002533,0.439219,0.003367,8,0,0,8,1,128,56,56,0,0,3650378606,0.008498,0.002038,0.947054,6.120963,0,870506269,5.4279902e-14,1.0123962e-14,2.7180483e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-03,0,0,Converged,6.1205006645589828,0.0043222585,128,192,0,0,1.066262,0.293302,0.771411,0.000021,0.001329,0.423931,0.001841,8,0,0,8,1,192,56,56,0,0,577793365,0.007876,0.001722,0.944875,6.120963,0,728264378,5.4243617e-14,1.0123962e-14,2.7180483e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,1,0,Converged,6.1205016288542371,0.00042465197,176,176,109,0,1.025737,0.295915,0.727941,0.000018,0.001343,0.422659,0.001811,8,0,0,8,1,176,56,56,0,0,421387833,0.012223,0.002223,0.943754,6.120963,0,1235427344,5.4346679e-14,1.0055176e-14,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,0,0,Converged,6.1205016288542371,0.00042465197,176,285,0,0,1.214806,0.299428,0.913538,0.000019,0.001334,0.436170,0.001717,8,0,0,8,1,285,56,56,0,0,2754276625,0.012319,0.002549,0.947953,6.120963,0,1093185453,5.4307563e-14,1.0055176e-14,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,1,0,Converged,6.1205016227633111,2.1517843e-05,216,216,146,0,1.109146,0.289926,0.816755,0.000021,0.001285,0.423867,0.001744,8,0,0,8,1,216,56,56,0,0,3081931094,0.013476,0.002782,0.935102,6.120963,0,-913745624,5.4373419e-14,9.992235e-15,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,0,0,Converged,6.1205016227633111,2.1517843e-05,216,362,0,0,1.358751,0.292169,1.064555,0.000021,0.001275,0.434667,0.001582,8,0,0,8,1,362,56,56,0,0,1716612531,0.012743,0.002670,0.944651,6.120963,0,-1012952879,5.4395148e-14,9.992235e-15,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,1,0,Converged,6.1205016227777005,5.8046703e-06,248,248,177,0,1.152440,0.285798,0.863700,0.000021,0.001353,0.445167,0.001685,8,0,0,8,1,248,56,56,0,0,1230353509,0.016529,0.002764,0.944060,6.120963,0,1797002419,5.4426041e-14,9.9922099e-15,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,0,0,Converged,6.1205016227777005,5.8046703e-06,248,425,0,0,1.386006,0.284543,1.099187,0.000019,0.001300,0.427849,0.001638,8,0,0,8,1,425,56,56,0,0,2808427573,0.016426,0.002932,0.945321,6.120963,0,1698909519,5.4454936e-14,9.9922099e-15,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,1,0,Converged,6.1205016227172306,3.6030366e-08,328,328,254,0,1.281902,0.295476,0.983127,0.000020,0.001315,0.418967,0.001575,8,0,0,8,1,328,56,56,0,0,4227622217,0.023236,0.003354,0.938480,6.120963,0,-147690212,5.4717336e-14,9.9628559e-15,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,0,0,Converged,6.1205016227172315,3.6030366e-08,328,582,0,0,1.716928,0.299259,1.414952,0.000025,0.001333,0.434202,0.001557,8,0,0,8,1,582,56,56,0,0,3226241988,0.025180,0.003402,0.944607,6.120963,0,-295684568,5.4678318e-14,9.9628559e-15,2.7180487e-15,3.3596464e-322,0,0,0,0,0,0,0,0,0,0
