case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok cold_status shadow_cold_status warm_status shadow_warm_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes cold_jet_ok warm_jet_ok shadow_panels eligible jet_ms shadow_ms
0 0 linear 2 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1410334214605786 -4.0468798240857806 1.141067954151374 0.5 -1.0578023623789572 2.5300573667300794 0.0001 49.692419000000001 49.733280999999998 49.642127000000002 49.62961 2.5300557261582268 2.5300557261582268 2.5300557261582268 2.5300557261582268 1 1 1 1 Converged Converged Converged Converged 77 77 77 77 0 0 3 0 0 5.8e-05
0 0 linear 3 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.018977085702248479 0.5 0.064288506070168366 488.05744869038392 0.001 0.61767300000000003 0.58037499999999997 0.57387699999999997 0.56570399999999998 488.05716329463445 488.05716329463445 488.05716329463445 488.05716329463445 1 1 1 1 Converged Converged Converged Converged 83 83 83 83 0 0 5 0 0 7.8999999999999996e-05
0 0 linear 3 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.01899810560099353 0.5 0.064267486171423319 497.79328032918818 0.001 0.65264299999999997 0.65778899999999996 0.52820800000000001 0.53010299999999999 497.79296944730254 497.79296944730254 497.79296944730254 497.79296944730254 1 1 1 1 Converged Converged Converged Converged 83 83 83 83 0 0 5 0 0 7.4999999999999993e-05
0 0 linear 3 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.019022128342416442 0.5 0.064243463430000411 510.01613600715001 0.001 0.67897099999999999 0.67948699999999995 0.54871800000000004 0.54347699999999999 510.0157543051937 510.0157543051937 510.0157543051937 510.0157543051937 1 1 1 1 Converged Converged Converged Converged 83 83 83 83 0 0 5 0 0 8.1000000000000004e-05
0 0 linear 3 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.019046151083839356 0.5 0.064219440688577489 523.73830156079396 0.001 0.60916700000000001 0.60319900000000004 0.49178500000000003 0.50689399999999996 523.73782250077227 523.73782250077227 523.73782250077227 523.73782250077227 1 1 1 1 Converged Converged Converged Converged 99 99 99 99 0 0 5 0 0 7.1000000000000005e-05
0 0 linear 3 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.018977085702248479 0.5 0.064288506070168366 488.05744869038392 0.0001 0.61706000000000005 0.61412 0.60244500000000001 0.60620799999999997 488.05716442286604 488.05716442286604 488.05716442286604 488.05716442286604 1 1 1 1 Converged Converged Converged Converged 115 115 115 115 0 0 5 0 0 7.8000000000000012e-05
0 0 linear 3 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.01899810560099353 0.5 0.064267486171423319 497.79328032918818 0.0001 0.692967 0.69035599999999997 0.589171 0.59418099999999996 497.7929706854278 497.7929706854278 497.7929706854278 497.7929706854278 1 1 1 1 Converged Converged Converged Converged 115 115 115 115 0 0 5 0 0 9.7e-05
0 0 linear 3 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.019022128342416442 0.5 0.064243463430000411 510.01613600715001 0.0001 0.72381200000000001 0.71940999999999999 0.60945099999999996 0.607155 510.01575572595578 510.01575572595578 510.01575572595578 510.01575572595578 1 1 1 1 Converged Converged Converged Converged 115 115 115 115 0 0 5 0 0 7.6000000000000004e-05
0 0 linear 3 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 0.019011618393043918 -0.00044021513465950505 0.019046151083839356 0.5 0.064219440688577489 523.73830156079396 0.0001 0.61330099999999999 0.618892 0.51505100000000004 0.51983800000000002 523.73782257756272 523.73782257756272 523.73782257756272 523.73782257756272 1 1 1 1 Converged Converged Converged Converged 115 115 115 115 0 0 5 0 0 7.2000000000000002e-05
0 0 linear 4 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1436514944760341 -4.0397331535590295 1.1436169617852388 0.5 -1.060351370012822 2.6196492485236935 0.001 0.426811 0.41159899999999999 0.41950599999999999 0.416377 2.6196476657537855 2.6196476657537855 2.6196476657537855 2.6196476657537855 1 1 1 1 Converged Converged Converged Converged 52 52 52 52 0 0 4 0 0 7.5000000000000007e-05
