name tol panel cell depth value_resolved q7 qh3 qh7 correction model inner geometry event roundoff model_budget_pass_ignoring_value_detail panel_local_budget_pass ref64 ref128 ref_unc qh_error q7_error model_under jet_count jet_endpoint_ift_max_scaled derivative_detail3 derivative_detail7 derivative_detail_decays
plan15 0.001 20 8 2 1 0.27523171923481776 0.2752143236175425 0.27523172858178452 9.3469667561407732e-09 0.00020411773986210764 0 1.5424802639274863e-15 2.4017578037082251e-15 1.222274367206645e-16 1 1 0.27523172857598499 0.2752317285759851 1.1102230246251565e-16 5.799416502583199e-12 9.34116733963819e-09 0 7 1.3339202889519258e-15 0.01806023204352241 0.004408884381668917 1
plan15 0.001 21 8 2 1 0.73792232605333696 0.73792550091524522 0.73792232290941473 3.1439222336615558e-09 0.00016865971817318351 0 3.0011161956268467e-15 0 3.2770334270774669e-16 1 1 0.73792232290942927 0.73792232290942961 3.3306690738754696e-16 1.4876988529977098e-14 3.1439073566730258e-09 0 7 1.7845511495899512e-14 0.10558327418366149 0.0025703399198263505 1
plan15 0.001 22 6 2 1 0.64067636523542304 0.6407348069123544 0.64067719597924022 8.3074381718173385e-07 0.00012484007208241673 0 3.1406874082018829e-15 0 2.8451746080700914e-16 1 1 0.6406771950826331 0.64067719508263421 1.1102230246251565e-15 8.9660601165775233e-10 8.2984721117007609e-07 0 7 4.5245776430534243e-14 0.062329806805009817 0.0051080057296821356 1
plan15 0.001 23 6 2 1 0.29936959719744721 0.29936902352987776 0.29936959698512638 2.1232082758615434e-10 5.2744051634332005e-05 0 2.1249664483805294e-15 0 1.3294680787254585e-16 1 1 0.29936959698498916 0.29936959698498916 0 1.3722356584366935e-13 2.1245805115199801e-10 0 7 3.4609956862880817e-15 0.020874195692955115 0.00034779548435463368 1
plan15 0.001 24 3 1 1 0.092200716753738962 0.092200252714500677 0.092200716735604579 1.8134382884227307e-11 4.4143476780886616e-05 0 2.100296354079937e-15 1.0027070190357769e-16 4.0945343450777366e-17 1 1 0.092200716735494806 0.092200716735494778 2.7755575615628914e-17 1.0980105713542798e-13 1.8244183941362735e-11 0 7 6.1439971590524371e-13 0.079960542592444478 0.0004157418619913326 1
plan15 0.001 25 3 1 1 0.69942283698921448 0.69949372193815773 0.69942338481417776 5.4782496328176222e-07 0.00014067424795993766 0 4.1656155834091887e-15 0 3.1060613502962941e-16 1 1 0.69942337914897801 0.69942337914897834 3.3306690738754696e-16 5.6651994206902145e-09 5.4215976386107201e-07 0 7 6.1751528380924055e-13 0.11900811536500373 0.0046999711388071991 1
plan15 0.001 26 1 2 1 0.082794789506310529 0.082795306477151706 0.082794789744297007 2.3798647774686543e-10 3.8415636468354709e-05 0 1.3051154968951737e-15 0 3.6768272651559699e-17 1 1 0.082794789744297242 0.082794789744297298 5.5511151231257827e-17 2.9143354396410359e-16 2.379867691804094e-10 0 7 6.9475351349617883e-16 0.013497466053312623 0.00041183645839645865 1
plan15 0.001 27 1 2 1 0.019817629495808106 0.019817261626308268 0.019817629389561109 1.0624699731121012e-10 6.3336295075423112e-05 0 7.7017516626940746e-16 2.582733974935455e-17 8.8007954238947167e-18 0 0 0.019817629389559124 0.019817629389559117 6.9388939039072284e-18 1.9914625504213745e-15 1.0624898877376054e-10 0 7 1.3812056896559827e-12 0.012438813484835411 0.00034713608636930315 1
plan15 0.001 28 4 1 1 0.70934636000321805 0.70934620223168998 0.70934634758102044 1.2422197603889629e-08 5.808257025563422e-06 0 2.2547949079112648e-15 0 3.1501306452384716e-16 1 1 0.70934634757465675 0.70934634757465675 0 6.3636873548489348e-12 1.2428561291244478e-08 0 7 4.9492376302563554e-12 0.018150736118346212 0.00025353485627245483 1
plan15 0.001 29 4 1 1 0.76820409974964421 0.76820194950109166 0.76820411342512951 1.3675485299735612e-08 5.904569846574622e-05 0 2.3728631904605172e-15 0 3.4115115166139818e-16 1 1 0.76820411342355743 0.76820411342355754 1.1102230246251565e-16 1.5719647805667591e-12 1.3673913334955046e-08 0 7 1.2225908194687908e-11 0.024472034270505181 0.00044497935380045803 1
