name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
rand013,0.0,1,0,1.0e-08,EventLocationLimited,4.3953750974934529,2.2944177e-07,62,44,0,0.934519,0.635983,0.065376,0.017759,0.001134,0.776714,4.3953750974934476,0,5.7014004e-14,4.9955381e-16,1.9519387e-15,11.338885692493449,-14.490009067174221,1.4509905677316908,-1.787585291768597,2.6813954757716392e-07,5.4710272e-06,6.9914536e-06,1.5566451e-05,1.1183899e-05,4.545363e-12
rand013,0.0,1,1,1.0e-03,Converged,4.4031972667975241,2.2979273e-07,62,44,0,1.088882,0.556863,0.068461,0.017642,0.001463,0.731598,4.403197266797525,0,5.9584584e-14,5.5457567e-16,1.9554124e-15,11.34853010756262,-14.571782607503446,1.4591580862214892,-1.7826929763917938,2.7055624849815914e-07,5.7612592e-06,7.3975993e-06,1.6075357e-05,1.1376936e-05,4.5877176e-12
rand013,0.0,1,1,1.0e-04,Converged,4.4031972667975241,2.2979273e-07,62,44,0,0.893321,0.594191,0.066163,0.013967,0.001100,0.677309,4.403197266797525,0,5.9584584e-14,5.5457567e-16,1.9554124e-15,11.34853010756262,-14.571782607503446,1.4591580862214892,-1.7826929763917938,2.7055624849815914e-07,5.7612592e-06,7.3975993e-06,1.6075357e-05,1.1376936e-05,4.5877176e-12
rand013,0.0,1,1,1.0e-05,Converged,4.4031972667975241,1.0147567e-07,94,75,0,0.917639,0.554837,0.103760,0.030928,0.001428,0.674205,4.403197266797525,0,5.8601013e-14,2.5989722e-16,1.9554124e-15,11.348530107506907,-14.571782607431903,1.4591580861408837,-1.782692976406107,2.7055624849544742e-07,5.7454552e-06,7.3773058e-06,1.2307847e-05,8.1921686e-06,4.3218495e-12
rand013,0.0,1,1,1.0e-06,EventLocationLimited,4.4031972667975241,2.2979273e-07,62,44,0,0.846382,0.546660,0.066163,0.013785,0.001181,0.673258,4.403197266797525,0,5.9584584e-14,5.5457567e-16,1.9554124e-15,11.34853010756262,-14.571782607503446,1.4591580862214892,-1.7826929763917938,2.7055624849815914e-07,5.7612592e-06,7.3975993e-06,1.6075357e-05,1.1376936e-05,4.5877176e-12
rand013,0.0,1,1,1.0e-08,EventLocationLimited,4.4031972667975241,2.2979273e-07,62,44,0,0.840856,0.548675,0.065830,0.012747,0.001109,0.674379,4.403197266797525,0,5.9584584e-14,5.5457567e-16,1.9554124e-15,11.34853010756262,-14.571782607503446,1.4591580862214892,-1.7826929763917938,2.7055624849815914e-07,5.7612592e-06,7.3975993e-06,1.6075357e-05,1.1376936e-05,4.5877176e-12
rand013,0.5,0,0,1.0e-03,Converged,4.3914301288671256,7.4989556e-07,62,44,0,0.925668,0.635337,0.075586,0.004443,0.000709,0.745426,4.3914300145614966,1.8965484e-12,6.8416805e-14,3.0151619e-16,1.9501867e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,0,1.0e-04,Converged,4.3914301288671256,7.4989556e-07,62,44,0,0.961756,0.649683,0.086752,0.003121,0.000581,0.732333,4.3914300145614966,1.8965484e-12,6.8416805e-14,3.0151619e-16,1.9501867e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,0,1.0e-05,Converged,4.3914301288671256,7.4989556e-07,62,44,0,0.907324,0.630501,0.070170,0.002692,0.000564,0.728419,4.3914300145614966,1.8965484e-12,6.8416805e-14,3.0151619e-16,1.9501867e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,0,1.0e-06,Converged,4.3914301288671256,7.4989556e-07,62,44,0,0.903968,0.630152,0.070392,0.002858,0.000578,0.736295,4.3914300145614966,1.8965484e-12,6.8416805e-14,3.0151619e-16,1.9501867e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,0,1.0e-08,Converged,4.3914301288671247,1.9867046e-12,126,106,0,0.994837,0.628254,0.138794,0.008347,0.000780,0.728647,4.3914300145614966,1.8965214e-12,6.982679e-14,7.5090657e-17,1.9501867e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,1,1.0e-03,Converged,4.3992303142498947,7.5519165e-07,62,44,0,0.845171,0.545054,0.075198,0.003522,0.000605,0.633808,4.3992301997307548,1.9423329e-12,7.1501501e-14,3.3472621e-16,1.9536507e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,1,1.0e-04,Converged,4.3992303142498947,7.5519165e-07,62,44,0,0.872685,0.586171,0.073850,0.002706,0.000552,0.633906,4.3992301997307548,1.9423329e-12,7.1501501e-14,3.3472621e-16,1.9536507e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,1,1.0e-05,Converged,4.3992303142498947,7.5519165e-07,62,44,0,0.839816,0.549797,0.075900,0.003618,0.000587,0.641741,4.3992301997307548,1.9423329e-12,7.1501501e-14,3.3472621e-16,1.9536507e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,1,1.0e-06,Converged,4.3992303142498947,7.5519165e-07,62,44,0,0.825748,0.546242,0.073513,0.002679,0.000532,0.638436,4.3992301997307548,1.9423329e-12,7.1501501e-14,3.3472621e-16,1.9536507e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,0,1,1.0e-08,Converged,4.3992303142498939,2.0299591e-12,126,106,0,0.942129,0.546844,0.157704,0.008271,0.000800,0.632773,4.3992301997307548,1.9423448e-12,6.980238e-14,8.3361319e-17,1.9536507e-15,0,0,0,0,0,0,0,0,0,0
rand013,0.5,1,0,1.0e-03,Converged,4.3914301288671256,7.4989556e-07,62,44,0,0.969417,0.632808,0.107044,0.019308,0.001425,0.772305,4.3914300145614966,1.8965447e-12,6.8416805e-14,3.0151619e-16,1.9501867e-15,11.307077447766472,-14.449361184772888,1.3304753293738012,-1.7700542346912032,2.7409301575138405e-07,5.4133168e-06,6.9177255e-06,3.7499585e-05,1.1620868e-05,3.6750383e-12
