name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
plan15,0.0,1,1,1.0e-08,1,0,EventLocationLimited,6.026774081862742,2.2032672e-08,328,328,254,0,1.136891,0.171564,0.377309,0.112217,0.011443,1.045471,6.0272324234265131,0,0,4.5706548e-14,1.1208874e-14,2.6764253e-15,5.3515593739648555,-16.945458078822746,-10.617977031971543,-4.9307707227791573,1.2299369678153798,2.614439e-06,3.8073234e-06,4.504872e-06,2.1907455e-06,1.1504133e-06
plan15,0.0,1,1,1.0e-08,0,0,EventLocationLimited,6.026774081862742,2.2032673e-08,328,582,0,0,1.355986,0.170389,0.576717,0.096913,0.009874,1.020266,6.0272324234265131,0,0,4.5724528e-14,1.1208874e-14,2.6764253e-15,5.3515593739842764,-16.945458078809512,-10.617977031948092,-4.9307707227708439,1.2299369678179768,2.6144081e-06,3.8073094e-06,4.5048308e-06,2.1907383e-06,1.1504122e-06
plan15,0.5,0,0,1.0e-03,1,0,Converged,6.1205006645589837,0.0043222585,128,128,64,0,0.973453,0.303933,0.206850,0.007773,0.002064,0.940988,6.1209627244296385,0,1.1114462e-09,5.4831344e-14,1.0123962e-14,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-03,0,0,Converged,6.1205006645589837,0.0043222585,128,192,0,0,1.017298,0.281391,0.273312,0.006613,0.001606,0.938084,6.1209627244296385,0,1.1114462e-09,5.4984694e-14,1.0123962e-14,2.7180483e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,1,0,Converged,6.120501628854238,0.00042465197,176,176,109,0,0.972368,0.281244,0.243771,0.009254,0.002117,0.938048,6.1209627244296385,0,1.019971e-09,5.457547e-14,1.0055176e-14,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-04,0,0,Converged,6.120501628854238,0.00042465197,176,285,0,0,1.106755,0.281898,0.354521,0.008435,0.001965,0.945329,6.1209627244296385,0,1.019971e-09,5.4706521e-14,1.0055176e-14,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,1,0,Converged,6.120501622763312,2.1517843e-05,216,216,146,0,1.067896,0.286421,0.322748,0.011281,0.002659,0.940850,6.1209627244296385,0,1.0754382e-09,5.4604916e-14,9.992235e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-05,0,0,Converged,6.120501622763312,2.1517843e-05,216,362,0,0,1.271761,0.281432,0.495863,0.010562,0.002575,0.937512,6.1209627244296385,0,1.0754382e-09,5.4761201e-14,9.992235e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,1,0,Converged,6.1205016227777005,5.8046703e-06,248,248,177,0,1.094824,0.290139,0.346912,0.014245,0.002730,0.944741,6.1209627244296385,0,1.1649494e-09,5.4544194e-14,9.9922099e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-06,0,0,Converged,6.1205016227777014,5.8046703e-06,248,425,0,0,1.325089,0.289483,0.554801,0.013378,0.002646,0.937444,6.1209627244296385,0,1.1649494e-09,5.4707645e-14,9.9922099e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,1,0,Converged,6.1205016227172306,3.6030366e-08,328,328,254,0,1.215491,0.282038,0.461782,0.018383,0.003154,0.935829,6.1209627244296385,0,1.3394822e-09,5.4732531e-14,9.9628559e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,0,1.0e-08,0,0,Converged,6.1205016227172315,3.6030366e-08,328,582,0,0,1.606662,0.279499,0.771810,0.019795,0.003348,0.929675,6.1209627244296385,0,1.3394822e-09,5.4784305e-14,9.9628559e-15,2.7180487e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-03,1,0,Converged,6.129454459435534,0.0043589451,128,128,64,0,0.802962,0.170546,0.203789,0.006857,0.001665,0.821145,6.1299183453595569,0,1.4330001e-09,5.4818172e-14,1.0213417e-14,2.7220246e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-03,0,0,Converged,6.1294544594355349,0.0043589451,128,192,0,0,0.883471,0.171046,0.276475,0.005973,0.001482,0.818844,6.1299183453595569,0,1.4330001e-09,5.4790855e-14,1.0213417e-14,2.7220246e-15,0,0,0,0,0,0,0,0,0,0
plan15,0.5,0,1,1.0e-04,1,0,Converged,6.129455477263571,0.00044604833,176,176,109,0,0.858206,0.170477,0.256286,0.008517,0.002055,0.815256,6.1299183453595569,0,1.3034049e-09,5.4733627e-14,1.014538e-14,2.722025e-15,0,0,0,0,0,0,0,0,0,0
