name,u,jac,warm,rtol,cache,repeat,stop,mu,error,nodes,evaluations,reused,splits,whole_ms,topology_ms,setup_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,fixed64_status,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
rand015,0.0,1,1,1.0e-08,0,1,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.053424,0.576651,0.274981,0.163376,0.013618,0.001248,0.743491,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.0,1,1,1.0e-08,0,2,EventLocationLimited,2.1020062070196248,3.0637826e-09,62,106,0,0,1.062883,0.595318,0.263949,0.168910,0.010948,0.001201,0.741344,2.1020062070196346,0,0,9.7316099e-14,7.5163763e-16,9.3347828e-16,-2.5380312353112675,-2.1212128935870416,0.041742563508171293,-1.1214065594775857,1.1585581322493883e-06,1.7844395e-05,1.4913838e-05,2.3529963e-05,2.2668035e-05,1.8759999e-12
rand015,0.5,0,0,1.0e-03,1,0,Converged,2.102531467702009,6.2201342e-08,62,62,44,0,1.138426,0.717972,0.277180,0.114193,0.005934,0.000927,0.911122,2.1025314142366853,0,1.0419295e-16,1.1991619e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-03,1,1,Converged,2.102531467702009,6.2201342e-08,62,62,44,0,1.073091,0.715373,0.262492,0.077247,0.003787,0.000624,0.844114,2.1025314142366853,0,1.0419295e-16,1.1991619e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-03,1,2,Converged,2.102531467702009,6.2201342e-08,62,62,44,0,1.065560,0.715734,0.253142,0.079503,0.003350,0.000628,0.832146,2.1025314142366853,0,1.0419295e-16,1.1991619e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-03,0,0,Converged,2.1025314677020064,6.2201341e-08,62,106,0,0,1.131596,0.721909,0.257724,0.123582,0.003122,0.000627,0.824363,2.1025314142366853,0,1.1250298e-16,1.1961931e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-03,0,1,Converged,2.1025314677020064,6.2201341e-08,62,106,0,0,1.138365,0.718043,0.263102,0.131625,0.003230,0.000654,0.826986,2.1025314142366853,0,1.1250298e-16,1.1961931e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-03,0,2,Converged,2.1025314677020064,6.2201341e-08,62,106,0,0,1.104174,0.694650,0.263509,0.121454,0.002801,0.000613,0.826197,2.1025314142366853,0,1.1250298e-16,1.1961931e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-04,1,0,Converged,2.102531467702009,6.2201342e-08,62,62,44,0,1.083585,0.731063,0.256978,0.078526,0.002876,0.000618,0.812335,2.1025314142366853,0,1.0419295e-16,1.1991619e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-04,1,1,Converged,2.102531467702009,6.2201342e-08,62,62,44,0,1.046637,0.695423,0.258074,0.076552,0.003266,0.000607,0.798979,2.1025314142366853,0,1.0419295e-16,1.1991619e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
rand015,0.5,0,0,1.0e-04,1,2,Converged,2.102531467702009,6.2201342e-08,62,62,44,0,1.066984,0.714928,0.256479,0.079047,0.002970,0.000594,0.831086,2.1025314142366853,0,1.0419295e-16,1.1991619e-13,4.8511879e-16,9.3371154e-16,0,0,0,0,0,0,0,0,0,0
