name,u,jac,warm,rtol,stop,mu,error,nodes,reused,splits,whole_ms,topology_ms,physics_ms,estimator_ms,scheduler_ms,fixed64_ms,fixed64_mu,inner,geometry,event,roundoff,grad0,grad1,grad2,grad3,grad4,graderr0,graderr1,graderr2,graderr3,graderr4
resonant,0.5,0,0,1.0e-04,Converged,13.877481553095597,0.0013859533,159,87,0,0.988367,0.397134,0.392977,0.008493,0.002076,1.631135,13.878583406718777,7.497417e-08,2.0155557e-13,2.3039525e-13,6.1628398e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,0,1.0e-05,Converged,13.877481425865192,9.8603778e-05,191,116,0,1.072049,0.395261,0.474906,0.010202,0.002526,1.634696,13.878583406718777,7.497417e-08,2.0154597e-13,2.3037755e-13,6.1628398e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,0,1.0e-06,Converged,13.877481424418802,6.9392935e-06,287,208,0,1.408854,0.412512,0.758006,0.016536,0.003110,1.632644,13.878583406718777,7.4473099e-08,2.00747e-13,2.303971e-13,6.1628398e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,0,1.0e-08,Converged,13.87748142439796,1.3316948e-07,327,245,0,1.545735,0.402252,0.893911,0.016870,0.003462,1.632267,13.878583406718777,7.4473097e-08,2.0064944e-13,2.3029219e-13,6.1628398e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,1,1.0e-03,Converged,13.960822824509579,0.012731106,103,35,0,0.834573,0.373190,0.289275,0.004934,0.001306,1.667720,13.961935811172173,7.849832e-07,2.0279058e-13,2.6918468e-13,6.1998508e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,1,1.0e-04,Converged,13.960820125801247,0.0011646144,159,87,0,1.003990,0.374098,0.434080,0.008938,0.002023,1.709175,13.961935811172173,7.3575288e-07,2.0531236e-13,2.6881046e-13,6.1998496e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,1,1.0e-05,Converged,13.96082011697227,0.00011023486,191,116,0,1.078545,0.373247,0.494600,0.016368,0.002562,1.665654,13.961935811172173,7.3575288e-07,2.0527225e-13,2.6860368e-13,6.1998496e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,1,1.0e-06,Converged,13.96082011576393,6.1952686e-06,287,208,0,1.398055,0.373696,0.784949,0.016745,0.003062,1.668952,13.961935811172173,7.3668735e-07,2.0456259e-13,2.6866655e-13,6.1998496e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,0,1,1.0e-08,InnerAccuracyLimited,13.960820115727049,1.2719257e-06,295,215,0,1.441367,0.372514,0.827063,0.016724,0.003382,1.660833,13.961935811172173,7.3668735e-07,2.0479172e-13,2.6866655e-13,6.1998496e-15,0,0,0,0,0,0,0,0,0,0
resonant,0.5,1,0,1.0e-03,Converged,13.877481424295292,2.9291447e-05,319,240,0,1.961341,0.403671,1.161449,0.136132,0.014065,1.881831,13.878583406718777,7.3482063e-08,2.0168326e-13,2.3043115e-13,6.1628398e-15,166.71135124789637,-122.31934024713964,-85.564469806407047,-44.316877999912514,-2.9008855930392734,0.025154508,0.024302288,0.035346834,0.010719152,0.0022896034
resonant,0.5,1,0,1.0e-04,InnerAccuracyLimited,13.877481424412521,6.9346464e-06,351,271,0,1.991558,0.406367,1.185942,0.139592,0.011432,1.864605,13.878583406718777,7.3309338e-08,2.008242e-13,2.3039692e-13,6.1628398e-15,166.71135115787055,-122.31934038420837,-85.564469649907153,-44.316878049334349,-2.90088560322536,0.017347017,0.013048098,0.022982152,0.0066617755,0.0014546747
resonant,0.5,1,0,1.0e-05,InnerAccuracyLimited,13.877481424301573,2.9296094e-05,255,177,0,1.574270,0.398776,0.871290,0.071671,0.010070,1.899747,13.878583406718777,7.4645824e-08,2.0160607e-13,2.3043133e-13,6.1628398e-15,166.71136360750228,-122.31932038489089,-85.564493200491327,-44.316870806387939,-2.9008841098924121,0.030325971,0.032642001,0.045090314,0.013720923,0.0029079961
resonant,0.5,1,0,1.0e-06,InnerAccuracyLimited,13.877481424301573,2.9296094e-05,255,177,0,1.621060,0.419167,0.893660,0.069571,0.010378,1.865570,13.878583406718777,7.4645824e-08,2.0160607e-13,2.3043133e-13,6.1628398e-15,166.71136360750228,-122.31932038489089,-85.564493200491327,-44.316870806387939,-2.9008841098924121,0.030325971,0.032642001,0.045090314,0.013720923,0.0029079961
resonant,0.5,1,0,1.0e-08,InnerAccuracyLimited,13.877481424284895,0.00030570109,239,162,0,1.522986,0.399596,0.842632,0.056636,0.008417,1.864301,13.878583406718777,7.4645824e-08,2.01522e-13,2.3045829e-13,6.1628398e-15,166.71136360745447,-122.31932038490055,-85.564493199476075,-44.316870806244154,-2.9008841100715026,0.033889973,0.032735607,0.060956261,0.024148763,0.011650793
resonant,0.5,1,1,1.0e-03,Converged,13.96082011572809,8.7771861e-05,2097,1885,7,11.329384,0.390827,8.191242,1.766676,0.039229,1.985251,13.961935811172173,7.3676523e-07,2.0269496e-13,2.688501e-13,6.1998496e-15,166.63752517179398,-122.36237754683606,-87.886033614880077,-44.463233161080225,-2.9170566472587867,0.01792836,0.037918181,0.047285159,0.013069036,0.0026156993
resonant,0.5,1,1,1.0e-04,InnerAccuracyLimited,13.960820115071016,0.0001167124,231,155,0,1.556220,0.402522,0.853951,0.066460,0.011967,1.907774,13.961935811172173,7.3685303e-07,2.0589851e-13,2.6878527e-13,6.1998496e-15,166.63736968901875,-122.36261773484769,-87.885747756175391,-44.463321180193411,-2.9170748354265097,0.049012657,0.060455988,0.080568935,0.02410228,0.0050299985
resonant,0.5,1,1,1.0e-05,InnerAccuracyLimited,13.960820115071016,0.0001167124,231,155,0,1.422443,0.381800,0.756882,0.064701,0.009333,1.909514,13.961935811172173,7.3685303e-07,2.0589851e-13,2.6878527e-13,6.1998496e-15,166.63736968901875,-122.36261773484769,-87.885747756175391,-44.463321180193411,-2.9170748354265097,0.049012657,0.060455988,0.080568935,0.02410228,0.0050299985
