sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
141 35 0.062495000000000002 0.044511000000000002 0.19376599999999999 0.18351200000000001 14 14 14 0 0 0 0.0075040000000000003
142 35 0.061560999999999998 0.046634000000000002 0.19353500000000001 0.186006 14 14 14 0 0 0 0.0076610000000000011
143 35 0.057236000000000002 0.042542999999999997 0.18973300000000001 0.18226400000000001 14 14 14 0 0 0 0.0075339999999999999
144 35 0.060285999999999999 0.043281 0.18936500000000001 0.18436 14 14 14 0 0 0 0.0078510000000000003
145 35 0.059996000000000001 0.041744000000000003 0.190945 0.18169199999999999 14 14 14 0 0 0 0.0077470000000000004
146 35 0.061349000000000001 0.043611999999999998 0.18865199999999999 0.18010799999999999 14 14 14 0 0 0 0.0076330000000000009
147 35 0.062008000000000001 0.049438000000000003 0.19184399999999999 0.18426000000000001 14 14 14 0 0 0 0.0076070000000000009
148 35 0.063464999999999994 0.041905999999999999 0.18615899999999999 0.18077799999999999 14 14 14 0 0 0 0.0082109999999999995
149 35 0.063948000000000005 0.045104999999999999 0.18593199999999999 0.183194 14 14 14 0 0 0 0.0081510000000000003
150 35 0.060761999999999997 0.044776000000000003 0.18698999999999999 0.18710299999999999 14 14 14 0 0 0 0.0077479999999999997
151 35 0.060086000000000001 0.043529999999999999 0.18835499999999999 0.18243599999999999 14 14 14 0 0 0 0.0076919999999999992
152 35 0.059679000000000003 0.044227000000000002 0.188004 0.184612 14 14 14 0 0 0 0.0077770000000000001
153 35 0.059408000000000002 0.044436999999999997 0.18864600000000001 0.18267 14 14 14 0 0 0 0.0078410000000000007
154 35 0.058341999999999998 0.043076000000000003 0.188387 0.18684999999999999 14 14 14 0 0 0 0.0077060000000000002
155 35 0.060700999999999998 0.042956000000000001 0.19198999999999999 0.18482000000000001 14 14 14 0 0 0 0.0076109999999999997
156 35 0.063115000000000004 0.043886000000000001 0.18834500000000001 0.184308 14 14 14 0 0 0 0.0077280000000000005
157 35 0.064223000000000002 0.042778999999999998 0.18745600000000001 0.18323600000000001 14 14 14 0 0 0 0.0079819999999999995
158 35 0.065005999999999994 0.043750999999999998 0.18882499999999999 0.18364800000000001 14 14 14 0 0 0 0.0077099999999999998
159 35 0.064030000000000004 0.043450000000000003 0.189582 0.183226 14 14 14 0 0 0 0.0080499999999999999
160 88 0.14621300000000001 0.046082999999999999 0.183224 0.165269 14 14 14 8 8 8 0.56520700000000001
161 88 0.14885200000000001 0.042755000000000001 0.17782500000000001 0.16402600000000001 14 14 14 8 8 8 0.317276
162 88 0.14239599999999999 0.042247 0.174925 0.164052 14 14 14 8 8 8 0.56666899999999998
163 88 0.14116000000000001 0.043679000000000003 0.174871 0.15911800000000001 14 14 14 8 8 8 0.58670699999999998
164 88 0.089291999999999996 0.044447 0.181753 0.16828000000000001 14 14 14 0 0 1 0.47839500000000001
165 88 0.077931 0.043957999999999997 0.17968799999999999 0.17802000000000001 14 14 14 0 0 0 0.62173199999999995
166 88 0.094635999999999998 0.044103999999999997 0.17560300000000001 0.17016600000000001 14 14 14 0 0 1 0.53223999999999994
167 88 0.08788 0.044578 0.18219399999999999 0.16898199999999999 14 14 14 0 0 2 0.65895400000000004
168 96 0.13320199999999999 0.043352000000000002 0.18884000000000001 0.173287 14 14 14 2 2 4 0.66543400000000008
169 96 0.093812999999999994 0.041981999999999998 0.17769699999999999 0.17414499999999999 14 14 14 2 2 4 0.63069900000000001
170 96 0.117146 0.044139999999999999 0.17803099999999999 0.17149700000000001 14 14 14 2 2 4 0.58495000000000008
171 96 0.112509 0.043042999999999998 0.182757 0.17527699999999999 14 14 14 2 2 3 0.55286000000000002
172 38 0.061606000000000001 0.043106999999999999 0.18651400000000001 0.178899 14 14 14 0 0 0 0.0078539999999999999
173 38 0.060335 0.042888999999999997 0.17921400000000001 0.17383799999999999 14 14 14 0 0 0 0.0076249999999999998
174 38 0.058484000000000001 0.044045000000000001 0.18216499999999999 0.17279900000000001 14 14 14 0 0 0 0.007685
175 38 0.060066000000000001 0.041229000000000002 0.17646400000000001 0.173682 14 14 14 0 0 0 0.0075530000000000007
176 38 0.059262000000000002 0.043482 0.18553700000000001 0.17311199999999999 14 14 14 0 0 0 0.0083610000000000004
177 38 0.058538 0.043347999999999998 0.18451799999999999 0.17910799999999999 14 14 14 0 0 0 0.0079120000000000006
