sample low_sweeps factor_ms split_ms refine2_ms refine4_ms finite0 finite2 finite4 physical0 physical2 physical4 classify_ms
94 46 0.80769299999999999 0.045883 0.18898999999999999 0.17714199999999999 14 14 14 0 0 2 0.242925
95 46 0.79861700000000002 0.046015 0.187222 0.175848 14 14 14 0 0 2 0.11756299999999999
96 46 0.77964900000000004 0.047100000000000003 0.191298 0.178314 14 14 14 0 0 4 0.008293
97 46 0.780609 0.045657000000000003 0.192968 0.176007 14 14 14 0 0 4 0.0082449999999999989
98 46 0.77736300000000003 0.046150999999999998 0.187447 0.173591 14 14 14 0 0 4 0.0082050000000000005
99 47 0.79999299999999995 0.044769000000000003 0.19075900000000001 0.17532700000000001 14 14 14 0 1 4 0.0080169999999999998
100 44 0.75692899999999996 0.048364999999999998 0.191939 0.19444700000000001 14 14 14 0 0 0 0.0079900000000000006
101 44 0.78285499999999997 0.045143999999999997 0.19586300000000001 0.181584 14 14 14 0 0 0 0.007562000000000001
102 44 0.75486399999999998 0.045099 0.19351099999999999 0.183195 14 14 14 0 0 0 0.0074160000000000007
103 44 0.75547799999999998 0.046385999999999997 0.19069800000000001 0.18184900000000001 14 14 14 0 0 0 0.0076930000000000002
104 44 0.753054 0.045511000000000003 0.19037599999999999 0.18223300000000001 14 14 14 0 0 0 0.0075130000000000006
105 44 0.75085800000000003 0.045606000000000001 0.19294500000000001 0.183786 14 14 14 0 0 0 0.0074359999999999999
106 44 0.752112 0.045622999999999997 0.18990699999999999 0.17708499999999999 14 14 14 0 0 0 0.007293
107 44 0.75518799999999997 0.044889999999999999 0.19231899999999999 0.17747199999999999 14 14 14 0 0 0 0.0074730000000000005
108 45 0.77884100000000001 0.046177000000000003 0.191057 0.17424999999999999 14 14 14 0 0 0 0.0075729999999999999
109 45 0.782501 0.048212999999999999 0.19206899999999999 0.18440699999999999 14 14 14 0 0 0 0.0077040000000000008
110 45 0.77453000000000005 0.045451999999999999 0.19484299999999999 0.18064 14 14 14 0 0 0 0.0058760000000000001
111 46 0.81137300000000001 0.048937000000000001 0.19814899999999999 0.184143 14 14 14 0 0 0 0.0068700000000000002
112 48 0.83367999999999998 0.045982000000000002 0.18800900000000001 0.17979100000000001 14 14 14 0 0 2 0.33823799999999998
113 46 0.80001699999999998 0.045134000000000001 0.186529 0.17483299999999999 14 14 14 0 0 2 0.241817
114 46 0.80104500000000001 0.045164999999999997 0.18634800000000001 0.17605999999999999 14 14 14 0 0 2 0.24538499999999996
115 46 0.79867200000000005 0.045576999999999999 0.18750700000000001 0.17588799999999999 14 14 14 0 0 2 0.117534
116 46 0.77642999999999995 0.047494000000000001 0.19023999999999999 0.175564 14 14 14 0 0 4 0.0082720000000000016
117 46 0.77934599999999998 0.046747999999999998 0.19040599999999999 0.17516799999999999 14 14 14 0 0 4 0.0082269999999999982
118 46 0.77236300000000002 0.046509000000000002 0.19383 0.17308899999999999 14 14 14 0 0 4 0.0083009999999999994
119 47 0.80045100000000002 0.044341999999999999 0.191834 0.17610799999999999 14 14 14 0 1 4 0.0079570000000000005
120 36 0.62977799999999995 0.047534 0.20278599999999999 0.19059200000000001 14 14 14 0 0 0 0.0081550000000000008
121 36 0.62979799999999997 0.046646 0.19731799999999999 0.18570200000000001 14 14 14 0 0 0 0.0079330000000000008
122 36 0.62085000000000001 0.045295000000000002 0.19605800000000001 0.185025 14 14 14 0 0 0 0.0077929999999999996
123 36 0.623112 0.04616 0.19638700000000001 0.19201299999999999 14 14 14 0 0 0 0.0080470000000000003
124 36 0.62080999999999997 0.046359999999999998 0.19525400000000001 0.189691 14 14 14 0 0 0 0.0081580000000000003
125 36 0.61935499999999999 0.046219999999999997 0.19828599999999999 0.186726 14 14 14 0 0 0 0.0080469999999999986
126 36 0.61765300000000001 0.045544000000000001 0.19719100000000001 0.187419 14 14 14 0 0 0 0.00777
127 36 0.61670199999999997 0.045435999999999997 0.19656499999999999 0.186417 14 14 14 0 0 0 0.011815000000000001
128 36 0.61917100000000003 0.046760999999999997 0.19626099999999999 0.18566199999999999 14 14 14 0 0 0 0.0081899999999999994
129 36 0.61924199999999996 0.046414999999999998 0.196161 0.18512500000000001 14 14 14 0 0 0 0.0082050000000000005
130 36 0.61868900000000004 0.046461000000000002 0.20075899999999999 0.186083 14 14 14 0 0 0 0.008319
131 36 0.622089 0.046953000000000002 0.19673199999999999 0.191966 14 14 14 0 0 0 0.008267
132 36 0.63868199999999997 0.047282999999999999 0.20050000000000001 0.19283600000000001 14 14 14 0 0 0 0.0081689999999999992
133 36 0.62310900000000002 0.046824999999999999 0.196515 0.18900500000000001 14 14 14 0 0 0 0.0082679999999999993
134 36 0.61964200000000003 0.047295999999999998 0.19705500000000001 0.19125300000000001 14 14 14 0 0 0 0.0079810000000000002
135 36 0.61311099999999996 0.046808000000000002 0.200351 0.18840899999999999 14 14 14 0 0 0 0.0081409999999999989
136 36 0.61552700000000005 0.046734999999999999 0.198126 0.18557599999999999 14 14 14 0 0 0 0.0079799999999999992
137 36 0.61946400000000001 0.050250999999999997 0.19847500000000001 0.18814800000000001 14 14 14 0 0 0 0.008234
138 36 0.62490800000000002 0.046035 0.19736400000000001 0.18832599999999999 14 14 14 0 0 0 0.0079640000000000006
139 36 0.61621499999999996 0.046080000000000003 0.19489200000000001 0.186137 14 14 14 0 0 0 0.0081089999999999999
140 36 0.62216800000000005 0.046843999999999997 0.196071 0.18616199999999999 14 14 14 0 0 0 0.008005
141 36 0.62261 0.046781999999999997 0.194217 0.18537899999999999 14 14 14 0 0 0 0.0076889999999999997
