sample	stage	finite	max_scaled_root_error	nearest_assignment_duplicates	positive_real_candidate_count_delta
131	2	True	2.004924951309915	7	-4
131	4	True	1.6255698325201093	7	-4
132	0	True	2.4327388322029844	7	-4
132	2	True	1.9918767074628398	7	-4
132	4	True	1.615105437981419	7	-4
133	0	True	2.418544970190905	7	-4
133	2	True	1.9795720190132446	7	-4
133	4	True	1.6047651526517381	7	-4
134	0	True	2.401867358987836	7	-4
134	2	True	1.9650547853176428	7	-4
134	4	True	1.5924899843610518	7	-4
135	0	True	2.385444210936424	7	-4
135	2	True	1.9507736309637753	7	-4
135	4	True	1.5804295211457404	7	-4
136	0	True	2.768140273392335	7	-4
136	2	True	2.28540868420768	7	-4
136	4	True	1.863166553240555	7	-4
137	0	True	2.75320278076645	7	-4
137	2	True	2.2691031904897034	7	-4
137	4	True	1.849157088445727	7	-4
138	0	True	2.732349133254182	7	-4
138	2	True	2.2508295339615874	7	-4
138	4	True	1.83347531938397	7	-4
139	0	True	2.711918776317492	7	-4
139	2	True	2.232932037086581	7	-4
139	4	True	1.8181359660268874	7	-4
140	0	True	2.642226869407661	9	-4
140	2	True	2.1732967502781744	9	-4
140	4	True	1.7680009456623758	9	-4
141	0	True	2.6255206544655905	9	-4
141	2	True	2.158666934728988	9	-4
141	4	True	1.7555071870560488	9	-4
142	0	True	2.6067747204581995	9	-4
142	2	True	2.1422588919332277	9	-4
142	4	True	1.7415125063053551	9	-4
143	0	True	2.588383330703564	7	-4
143	2	True	2.1261700811670368	7	-4
143	4	True	1.7278083325366758	7	-4
144	0	True	2.8115634527828326	8	-2
144	2	True	2.3212357542729714	8	-2
144	4	True	1.8947518428675896	8	-2
145	0	True	2.792394527142757	7	-2
145	2	True	2.304386369665865	7	-2
145	4	True	1.8801992445395495	7	-2
146	0	True	2.771040659591008	9	-2
146	2	True	2.2856214172142577	9	-2
146	4	True	1.8640159853082225	9	-2
147	0	True	2.750151556202707	9	-2
147	2	True	2.267266770292331	9	-2
147	4	True	1.8482059800046386	9	-2
148	0	True	2.5000735789184585	7	-4
148	2	True	2.0497273181612825	7	-4
148	4	True	1.6634937561354743	7	-4
149	0	True	2.4841962690865684	7	-4
